abolition	a b ɔ l i s j ɔ̃
abîme	a b i m
accroissement	a k ʁ w a s m ɑ̃
administration	a d m i n i s t ʁ a s j ɔ̃
admission	a d m i s j ɔ̃
adrien	a d ʁ i j ɛ̃
affiche	a f i ʃ
afrique	a f ʁ i k
agréablement	a ɡ ʁ e a b l ə m ɑ̃
aigriras	ɛ ɡ ʁ i ʁ ɑ
ailes	ɛ l
alangui	a l ɑ̃ ɡ i
alexandre	a l ɛ k s ɑ̃ d ʁ
alignées	a l i ɲ e
alimentation	a l i m ɑ̃ t a s j ɔ̃
allergique	a l ɛ ʁ ʒ i k
alphonse	a l f ɔ̃ s
amassent	a m a s
amassé	a m a s e
ambassade	ɑ̃ b a s a d
ambiance	ɑ̃ b j ɑ̃ s
ami	a m i
amont	a m ɔ̃
amusant	a m y z ɑ̃
américaine	a m e ʁ i k ɛ n
amérique	a m e ʁ i k
analyse	a n a l i z
andalousie	ɑ̃ d a l u z i
andorre	ɑ̃ d ɔ ʁ
angleterre	ɑ̃ ɡ l ə t ɛ ʁ
animales	a n i m a l
animateur	a n i m a t œ ʁ
animaux	a n i m o
années	a n e
anthropologue	ɑ̃ t ʁ ɔ p ɔ l ɔ ɡ
aperçu	a p ɛ ʁ s y
apeuré	a p œ ʁ e
apologie	a p ɔ l ɔ ʒ i
apostrophe	a p ɔ s t ʁ ɔ f
appartenir	a p a ʁ t ə n i ʁ
appâtasses	a p a t a s
arcade	a ʁ k a d
armand	a ʁ m ɑ̃
arménie	a ʁ m e n i
articulation	a ʁ t i k y l a s j ɔ̃
arts	a ʁ
assiette	a s j ɛ t
assister	a s i s t e
assurément	a s y ʁ e m ɑ̃
astronaute	a s t ʁ ɔ n o t
astronomique	a s t ʁ ɔ n ɔ m i k
audience	o d j ɑ̃ s
auger	o ʒ e
auguste	o ɡ y s t
aune	o n
auprès	o p ʁ ɛ
authentique	o t ɑ̃ t i k
autrefois	o t ʁ ə f w a
avancée	a v ɑ̃ s e
avant	a v ɑ̃
avertir	a v ɛ ʁ t i ʁ
avocat	a v ɔ k a
aéronavale	a e ʁ ɔ n a v a l
baliser	b a l i z e
ballon	b a l ɔ̃
banlieue	b ɑ̃ l j ø
baromètre	b a ʁ ɔ m ɛ t ʁ
barricadé	b a ʁ i k a d e
bec	b ɛ k
bic	b i k
biceps	b i s ɛ p s
birmanie	b i ʁ m a n i
bizarre	b i z a ʁ
blesse	b l ɛ s
blocage	b l ɔ k a ʒ
bombarder	b ɔ̃ b a ʁ d e
bonnet	b ɔ n ɛ
botté	b ɔ t e
boucher	b u ʃ e
bouclages	b u k l a ʒ
bourgeois	b u ʁ ʒ w a
brassée	b ʁ a s e
bretons	b ʁ ə t ɔ̃
brume	b ʁ y m
brushing	b ʁ œ ʃ i ŋ
