demokratyčno	d ɪ m ɔ k r ɛ t ɪ t͡ʃ n ɔ
samobutnij	s ɛ m ɔ b u tʲ nʲ i i
satana	s ɛ t ɛ n ɑ
afhans'kyj	ɛ f ɦ ɑ nʲ sʲ k ɪ i
lit	lʲ i t
avtobusna	ɛ u t ɔ b u s n ɛ
ščokoju	ʃ t͡ʃ ɔ k ɔ j u
olenyna	ɔ ɫ ɪ n ɪ n ɛ
kosmodrom	k ɔ s m ɔ d r ɔ m
postupku	p ɔ s t u p k u
oznajomlennja	ɔ z n ɛ j ɔ m ɫ ɪ nʲ ɛ
druhyj	d r u ɦ ɪ i
sviča	sʲ ʋ i t͡ʃ ɛ
kapital	k ɛ p i t ɑ ɫ
im'ja	i m j ɛ
nasolodytysja	n ɛ s ɔ ɫ ɔ d ɪ t ɪ sʲ ɛ
čort	t͡ʃ ɔ r t
kaplyci	k ɛ p ɫ ɪ t͡sʲ i
perevyxovaty	p ɪ r ɪ ʋ ɪ x ɔ ʋ ɛ t ɪ
svojak	s ʋ ɔ j ɑ k
nezaležnosty	n ɪ z ɛ ɫ ɛ ʒ n ɔ s t ɪ
dosjahnennja	d ɔ sʲ ɑ ɦ n ɪ nʲ ɛ
ideal'nyj	i d ɪ ɑ lʲ n ɪ i
zavdjaky	z ɛ u dʲ ɛ k ɪ
tuneljax	t u n ɛ lʲ ɛ x
obhovorjuvaty	ɔ b ɦ ɔ ʋ ɔ rʲ u ʋ ɛ t ɪ
lakros	ɫ ɛ k r ɔ s
zanotuvaty	z ɛ n ɔ t u ʋ ɑ t ɪ
epoxy	ɪ p ɔ x ɪ
nepryjnjatnyj	n ɪ p r ɪ i nʲ ɛ t n ɪ i
pryčynnyj	p r ɪ t͡ʃ ɪ n ɪ i
ščotyžnevyj	ʃ t͡ʃ ɔ t ɪ ʒ n ɛ ʋ ɪ i
kapituljuvaty	k ɛ p i t u lʲ u ʋ ɑ t ɪ
protytankovyj	p r ɔ t ɪ t ɑ n k ɔ ʋ ɪ i
traktor	t r ɑ k t ɔ r
konflikt	k ɔ n f lʲ i k t
lebedynyj	ɫ ɪ b ɪ d ɪ n ɪ i
pšenycja	p ʃ ɪ n ɪ t͡sʲ ɛ
krab	k r ɑ b
nedostupnyj	n ɪ d ɔ s t u p n ɪ i
rozzbrojuvaty	r ɔ z b r ɔ j u ʋ ɛ t ɪ
klaviatur	k ɫ ɛ ʋ i ɛ t u r
trotuary	t r ɔ t u ɑ r ɪ
izraïl'tjanyn	i z r ɛ j i lʲ tʲ ɑ n ɪ n
čudovys'ko	t͡ʃ u d ɔ ʋ ɪ sʲ k ɔ
usta	u s t ɑ
rozpočaty	r ɔ z p ɔ t͡ʃ ɑ t ɪ
dynamika	d ɪ n ɑ m i k ɛ
hospitalizacija	ɦ ɔ sʲ p i t ɛ lʲ i z ɑ t͡sʲ i j ɛ
afrykanec'	ɛ f r ɪ k ɑ n ɪ t͡sʲ
povist'	p ɔ ʋ i sʲ tʲ
hirs'kyj	ɦ i r sʲ k ɪ i
ostatočnyj	ɔ s t ɛ t ɔ t͡ʃ n ɪ i
pohnaty	p ɔ ɦ n ɑ t ɪ
siryj	sʲ i r ɪ i
pokaran'	p ɔ k ɛ r ɑ nʲ
pošyryty	p ɔ ʃ ɪ r ɪ t ɪ
plivka	p lʲ i u k ɛ
policijax	p ɔ lʲ i t͡sʲ i j ɛ x
potvornyj	p ɔ t ʋ ɔ r n ɪ i
motocykl	m ɔ t ɔ t͡s ɪ k ɫ
postupky	p ɔ s t u p k ɪ
pozbavljaty	p ɔ z b ɛ u lʲ ɑ t ɪ
vysnažuvaty	ʋ ɪ s n ɑ ʒ u ʋ ɛ t ɪ
smertonosnyj	s m ɪ r t ɔ n ɔ s n ɪ i
hlava	ɦ ɫ ɛ ʋ ɑ
rozdil	r ɔ zʲ dʲ i ɫ
pozdorovljaty	p ɔ z d ɔ r ɔ u lʲ ɑ t ɪ
doroha	d ɔ r ɔ ɦ ɛ
analizuvaty	ɛ n ɛ lʲ i z u ʋ ɑ t ɪ
iljuzija	i lʲ u zʲ i j ɛ
personal'nyj	p ɪ r s ɔ n ɑ lʲ n ɪ i
koronavirus	k ɔ r ɔ n ɛ ʋ i r u s
zaspokijlyvyj	z ɛ s p ɔ k i i ɫ ɪ ʋ ɪ i
dev'janostyj	d ɪ ʋ j ɛ n ɔ s t ɪ i
vstupaty	ʋ s t u p ɑ t ɪ
vybyraty	ʋ ɪ b ɪ r ɑ t ɪ
zaručaty	z ɛ r u t͡ʃ ɑ t ɪ
pomyraty	p ɔ m ɪ r ɑ t ɪ
promovljaty	p r ɔ m ɔ u lʲ ɑ t ɪ
mikroskop	m i k r ɔ s k ɔ p
spivrobitnyk	sʲ p i u r ɔ b i t n ɪ k
nominal'nyj	n ɔ m i n ɑ lʲ n ɪ i
prybičnycja	p r ɪ b i t͡ʃ n ɪ t͡sʲ ɛ
den'	d ɛ nʲ
z'jasuvaty	z j ɛ s u ʋ ɑ t ɪ
virtual'nyj	ʋ i r t u ɑ lʲ n ɪ i
peresičnyj	p ɪ r ɪ sʲ i t͡ʃ n ɪ i
spivisnuvannja	sʲ p i ʋ i s n u ʋ ɑ nʲ ɛ
melodijam	m ɪ ɫ ɔ dʲ i j ɛ m
vidokremyty	ʋ i d ɔ k r ɛ m ɪ t ɪ
procedurnyj	p r ɔ t͡s ɪ d u r n ɪ i
allo	ɛ ɫ ɔ
hipoteza	ɦ i p ɔ t ɪ z ɛ
rozv'jazuvaty	r ɔ z ʋ j ɑ z u ʋ ɛ t ɪ
ti	tʲ i
antydot	ɛ n t ɪ d ɔ t
movoznavec'	m ɔ ʋ ɔ z n ɑ ʋ ɪ t͡sʲ
zabobon	z ɛ b ɔ b ɔ n
orenda	ɔ r ɛ n d ɛ
etap	ɪ t ɑ p
poviky	p ɔ ʋ i k ɪ
avstromarksyst	ɛ u s t r ɔ m ɛ r k s ɪ s t
etyka	ɛ t ɪ k ɛ
bolharyn	b ɔ ɫ ɦ ɑ r ɪ n
postat'	p ɔ s t ɛ tʲ
mil'jon	m i lʲ j ɔ n
šči	ʃ t͡ʃʲ i
lavandovyj	ɫ ɛ ʋ ɑ n d ɔ ʋ ɪ i
šveds'kyj	ʃ ʋ ɛ d͡zʲ sʲ k ɪ i
ocymy	ɔ t͡s ɪ m ɪ
včytel'	ʋ t͡ʃ ɪ t ɪ lʲ
bezžurnyj	b ɪ ʒ u r n ɪ i
xotitysja	x ɔ tʲ i t ɪ sʲ ɛ
slyna	s ɫ ɪ n ɛ
variantamy	ʋ ɛ rʲ i ɑ n t ɛ m ɪ
vidčuty	ʋ i d͡ʒ t͡ʃ u t ɪ
perlyna	p ɪ r ɫ ɪ n ɛ
relihijnyj	r ɪ lʲ i ɦ i i n ɪ i
stat'	s t ɑ tʲ
strymaty	s t r ɪ m ɛ t ɪ
vypromenyty	ʋ ɪ p r ɔ m ɪ n ɪ t ɪ
nahromadžuvaty	n ɛ ɦ r ɔ m ɑ d͡ʒ u ʋ ɛ t ɪ
korin'	k ɔ rʲ i nʲ
klasovyj	k ɫ ɑ s ɔ ʋ ɪ i
