دلیل	d a l i l
گلو	ɡ a l oː
دگرجنس‌گرا	d e ɡ a ɾ d͡ʒ e n s ɡ a ɾ ɑː
مرند	m a ɾ a n d
حمام	h a m m ɑː m
کتاب	k e t ɑː b
اعضا	a ʔ z ɑː
پیچیدن	p e t͡ʃ i d a
برادر	b a ɾ ɑː d a ɾ
رفتار	ɾ a f t ɑː ɾ
شور	ʃ oː ɾ
بوی	b oː j
چطور	t͡ʃ e t o v ɾ
بنیادگرا	b o n j ɑː d ɡ a ɾ ɑː
رأی	ɾ a ʔ j
غافت	ɢ ɑː f e t
هشت	h a ʃ t
پاکستانی	p ɑː k i s t ɑː n iː
ذهن	z e h n
بهشت	b e h e ʃ t
رباعی	ɾ o b ɑː ʔ iː
فهرست	f e h ɾ e s t
دراییدن	d a ɾ ɑː j iː d a n
کس	k a s
بختر	b e x t a ɾ
شعب	ʃ o ʔ a b
آهنگ	ɑː h a n ɡ
چاشنی	t ʃ ɑː ʃ n iː
بز	b o z
صورتی	s uː ɾ a t iː
هی	h e j
سلیمان	s o l e j m ɑː n
اجازه	e d͡ʒ ɑː z e
پوشیدن	p oː ʃ iː d a n
قسمت	ɢ i s m a t
پختن	p o x t a n
برخوردار	b a ɾ x o ɾ d ɑː ɾ
بامداد	b ɑː m d ɑː n
کهکشان‌ها	k a h k a ʃ ɑː n h ɑː
دچار	d o t͡ʃ ɑː ɾ
سرودن	s o ɾ uː d a n
ژامبون	ʒ ɑː m b o n
پتک	p o t k
آینده	ɑː j a n d a
حساب	h e s ɑː b
هفده	h a b d a h
آبدست	ɑː b d a s t
گیان	ɡ o j ɑː n
هنر	h o n a ɾ
زورخانه	z oː ɾ x ɑː n a
گواه	ɡ o v ɑː h
سردار	s a ɾ d ɑː ɾ
مهم	m o h e m m
اسپرزه	e s p a ɾ z e
گی	a ɡ iː
نسخه	n o s x e
مردها	m a ɾ d h ɑː
مؤسسه	m o ʔ a s s a s e
کیمیا	k iː m i j ɑː
کاروان	k ɑː ɾ v ɑː n
مهربانی	m e h ɾ a b ɑː n iː
فضا	f a z ɑː
تقسیم	t a ɢ s i m
زیرزمین	z iː ɾ z a m iː n
پناهنده	p a n ɑː h a n d e
سده	s a d a
ترازو	t a ɾ ɑː z uː
باب	b ɑː b
ذبح	z e b h
دادار	d ɑː d ɑː r
آلرژی	ɑː l i ɾ ʒ iː
زین	z i n
دزد	d o z d
ذکر	z a k a ɾ
مسافت	m a s ɑː f a t
کندن	k a n d a n
کنفرانس	k o n f e ɾ ɑː n s
میغ	m e ɢ
جنسی	d͡ʒ e n s iː
بیش	b e ʃ
آستانه‌ای	ɑː s t ɑː n a iː
گلابی	ɡ o l ɑː b iː
زیاد	z i j ɑː d
تکیدن	t a k i d a n
بهتان	b o h t u n
جایگاه	d͡ʒ ɑː j ɡ ɑː h
زیست‌شناس	z iː s t ʃ e n ɑː s
ایدون	e d u n
بابل	b ɑː b i l
مربوط	m a ɾ b u t
غور	ɢ o v ɾ
پاداش	p ɑː d ɑː ʃ
بیمار	b e m ɑː ɾ
لثه	l a s e
البرز	ʔ a l b o ɾ z
هدیه	h a d i j a
ملاقات	m o l ɑː ɢ ɑː t
فریدون	f e ɾ e i d uː n
مجازات	m o d ʒ ɑː z ɑː t
شوره	ʃ oː ɾ e
ویر	v i ɾ
چمیدن	t͡ʃ a m i d a n
کالبد	k ɑː l b u d
سرپرستی	s a ɾ p a ɾ a s t iː
یخچال	j a x t͡ʃ ɑː l
ادغام	e d ɢ ɑː m
آنغوزه	ɑː n ɢ u z a
پردیس	p a ɾ d e s
هنوز	h a n oː z
گراز	ɡ o ɾ ɑː z
قهرمان	ɢ a h ɾ a m ɑː n
ترش	t o ɾ ʃ
بیمناک	b i n m ɑː k
ژولیدن	ʒ uː l iː d a n
واش	v ɑ ʃ
می‌خواهم	m iː x ɑː h a m
پرندگان	p a ɾ a n d a ɡ ɑː n
سورپرایز	s u r p e ɾ ɑ j z
دماغ	d a m ɑː ɢ
خاکستری	x ɑː k i s t a ɾ iː
ژرفا	ʒ a ɾ f ɑː
زرناپا	z u r n ɑː p ɑː
دین‌داری	d i n d ɑː ɾ iː
بلعیدن	b a l ʔ iː d a n
ذات	z ɑː t
چیش	t ʃ i ʃ
همیشه	h a m e ʃ a
مرغ	m o ɾ ɢ
