سوسمار	s uː s m ɒː r
توسی	t uː s iː
اسفند	e s f æ n d̪
مشکل	m u ʃ k i l
لایه	l ɒː j e
عجان	ʔ e d ʒ ɒː n
شوروی	ʃ uː ɾ æ v iː
خوشگل‌ترین	x o ʃ ɡ e l t æ ɾ iː n
مرمی	m a r m iː
تقصیر	t æ ɣ s iː ɾ
صدا	s æ d ɒː
مشق	m æ ʃ ɢ
تمبر	t æ m b ɾ
بنگ	b æ ŋ ɡ
درها	d æ ɾ h ɒː
گاز	ɡ ɒː z
المزده	æ l æ m z æ d e
افیون	ʔ æ f j uː n
بەت	b æː t
شلوغ‌تر	ʃ o l uː ɣ t æ ɾ
شیک	ʃ iː k
بال	b ɒː l
رحیم	r æ h iː m
اشرج	æ ʃ r æ d ʒ
حاد	h ɒː d
سپاهی	s e p ɒː h iː
لایه	l ɒː j e
شادمان	ʃ ɒː d m ɒː n
فسیل	f o s iː l
گسترده	ɡ o s t æ ɾ d e
گاب	ɡ ɒː b
شمال	ʃ o m ɒː l
آرامی	ɒː ɾ ɒː m iː
درزی	d æ ɾ z iː
لثه	l a s e
پسی	p o s eː
آدم‌ها	ɒː d æ m h ɒː
می‌گم	m iː ɡ æ m
ویژگی‌ها	v iː ʒ e ɡ iː h ɒː
ذاتی	z ɒː t iː
فانوس	f ɒː n uː s
گز	ɡ æ z
نیرومند	n iː ɾ uː m æ n d̪
کنسرت	k o n s e ɾ t
دودل	d o d e l
شروع	ʃ o r uː ʔ
ناو	n ɒː w
نومد	n o w m a d
گیتا	ɡ iː t ɒː
بیمارترین	b iː m ɒː ɾ t æ ɾ iː n
چاشت	t ʃʰ ɒː ʃ tʰ
ترسایی	t æ ɾ s ɒː j iː
وای	v ɒː j
هجران	h i d͡ʒ ɾ ɒː n
رختن	r e x t æ n
فیلیپ	f i l i p
پارسه	p ɒː ɾ s e
انگیختن	æ ŋ ɡ iː x t æ n
مجرد	m o d͡ʒ æ ɾ ɾ æ d
ابری‌سازی	ʔ æ b ɾ iː s ɒː z iː
تاریک‌ترین	t ɒː ɾ iː k t æ ɾ iː n
خاص‌ترین	x ɒː s tʰ æ ɾ iː n
پیرتر	p iː ɾ t æ ɾ
بریدن	b o ɾ iː d æ n
توزیع	tʰ o ʊ̯ z iː ʔ
مرداد	m o ɾ d̪ ɒː d̪
سرای	s æ ɾ ɒː j
زیست‌شناسی	z iː s t ʃ e n ɒː s iː
ونوس	v e n uː s
خواستار	x ɒː s t̪ ɒː ɾ
سریدن	s o ɾ iː d æ n
فک	f æ k
بختر	b e x t æ ɾ
اهواز	æ h w ɒː z
شمال	ʃ o m ɒː l
شکستنی	ʃ i k æ s t̪ æ n iː
نعوظ	n o ʔ uː z
مختل	m o x t æ l
بزاق	b o z ɒː ɣ
گاری	ɡ ɒː ɾ iː
تقریبا	t æ ɣ ɾ iː b æ n
ژکفر	ʒ æ k f æ ɾ
کتی	k a t iː
آشتی	ɒː ʃ t iː
سنگ	s æ ŋ ɡ
ویژگی‌ها	v iː ʒ e ɡ iː h ɒː
رختن	r e x t æ n
پشیمان	p æ ʃ iː m ɒː n
هی	h e j
شاذ	ʃ ɒː z
شکلاتی	ʃ o kʰ o l ɒ tʰ i
قایق	ɢ ɒː j e ɣ
کهکشان‌ها	k æ h k æ ʃ ɒː n h ɒː
عام‌المنفعه	ʔ ɒː m o l m æ n f æ ʔ e
شاخه	ʃ ɒː x e
بدرود	b e d ɾ uː d
زال	z ɒː l
وای	v ɒː j
زرناپا	z u r n ɒː p ɒː
بیمارترین	b iː m ɒː ɾ t æ ɾ iː n
مجازات‌ها	m o d ʒ ɒː z ɒː t h ɒː
یاساق	j ɒː s ɒː q
رستوران	r e s t o ɾ ɒː n
اراده	e ɾ ɒː d e
پیرترین	p iː ɾ t æ ɾ iː n
قرغیزستان	q ɪ ɾ ɣ iː z ɪ s t ɒː n
سپاهی	s e p ɒː h iː
عجیب‌ترین	æ d ʒ iː b t æ ɾ iː n
