nepreprečen	n e p r e p r e t͡ʃ e n
rangiranje	r a ŋ ɡ i ɾ a ɲ e
došepnuvan	d ɔ ʃ e p n u v a n
miluvanje	m i ɫ u v a ɲ e
ksenofobično	k s e n ɔ f ɔ b i t͡ʃ n ɔ
čizburger	t͡ʃ i z b u r ɡ e r
kalkulira	k a ɫ k u l i ɾ a
nusproizvod	n u s p r ɔ i z v ɔ t
troreden	t r ɔ ɾ e d e n
zol	z ɔ ɫ
sence	s e n t͡s e
poništen	p ɔ n i ʃ t e n
brava	b r a v a
kosken	k ɔ s k e n
običai	ɔ b i t͡ʃ a i
spojuva	s p ɔ j u v a
nadade	n a d a d e
cinik	t͡s i n i k
beknuva	b e k n u v a
nalepnici	n a l e p n i t͡s i
et	e t
kružno	k r u ʒ n ɔ
graničenje	ɡ r a n i t͡ʃ e ɲ e
izbrojan	i z b r ɔ j a n
gurabii	ɡ u r a b i i
čačkanje	t͡ʃ a t͡ʃ k a ɲ e
vladar	v ɫ a d a r
orjatka	ɔ r j a t k a
nokširče	n ɔ k ʃ i r t͡ʃ e
sjaj	s j a j
zarǵavi	z a r̩ ɟ a v i
džavkajḱi	d͡ʒ a f k a j c i
velipetok	v e l i p e t ɔ k
šura	ʃ u ɾ a
urnisa	u r n i s a
as	a s
hieroglif	x i j e ɾ ɔ ɡ l i f
ramnodušno	r a m n ɔ d u ʃ n ɔ
nastojuva	n a s t ɔ j u v a
kievjanka	k i e v j a ŋ k a
pišuva	p i ʃ u v a
eksperiment	e k s p e ɾ i m e n t
patešestvenici	p a t e ʃ e s t v e n i t͡s i
nevlezen	n e v l e z e n
diopter	d i ɔ p t e r
kolokvium	k ɔ ɫ ɔ k v i j u m
dotrošuvan	d ɔ t r ɔ ʃ u v a n
mavriciec	m a v r i t͡s i j e t͡s
bigorosuvanje	b i ɡ ɔ ɾ ɔ s u v a ɲ e
motociklistički	m ɔ t ɔ t͡s i k l i s t i t͡ʃ k i
poddržuvač	p ɔ d d r̩ ʒ u v a t͡ʃ
košarkar	k ɔ ʃ a r k a r
obvivka	ɔ b v i f k a
izgine	i z ɡ i n e
gaziran	ɡ a z i ɾ a n
vnedruvan	v n e d r u v a n
oživee	ɔ ʒ i v e e
pišman	p i ʃ m a n
materijalistka	m a t e ɾ i j a l i s t k a
zgasnuvanje	z ɡ a s n u v a ɲ e
stalež	s t a l e ʃ
neblokiran	n e b ɫ ɔ k i ɾ a n
sliknat	s l i k n a t
timar	t i m a r
lome	ɫ ɔ m e
komponiranje	k ɔ m p ɔ n i ɾ a ɲ e
stažantka	s t a ʒ a n t k a
obzeme	ɔ b z e m e
zgoden	z ɡ ɔ d e n
gulabov	ɡ u ɫ a b ɔ f
dizelaš	d i z e ɫ a ʃ
pretškolski	p r e t ʃ k ɔ ɫ s k i
ratovi	r a t ɔ v i
antagonizam	a n t a ɡ ɔ n i z a m
erevanec	e r e v a n e t͡s
proslavi	p r ɔ s ɫ a v i
potpadne	p ɔ t p a d n e
suzbivanje	s u z b i v a ɲ e
poplavi	p ɔ p ɫ a v i
soba	s ɔ b a
telefoni	t e l e f ɔ n i
nerakovoden	n e ɾ a k ɔ v ɔ d e n
sobere	s ɔ b e ɾ e
doruček	d ɔ ɾ u t͡ʃ e k
ladnikav	ɫ a d n i k a f
proteran	p r ɔ t e ɾ a n
cionistički	t͡s i j ɔ n i s t i t͡ʃ k i
požarnikar	p ɔ ʒ a r n i k a r
država	d r̩ ʒ a v a
bliznak	b l i z n a k
vžaren	v ʒ a ɾ e n
krimtehnika	k r i m t e x n i k a
skinuva	s k i n u v a
gostilničarski	ɡ ɔ s t i ɫ n i t͡ʃ a r s k i
slobodarski	s ɫ ɔ b ɔ d a r s k i
masovno	m a s ɔ v n ɔ
truben	t r u b e n
mikroskopi	m i k r ɔ s k ɔ p i
lj	ʎ a
nesoglasnost	n e s ɔ ɡ ɫ a s n ɔ s t
nesleden	n e s l e d e n
razlošenost	r a z ɫ ɔ ʃ e n ɔ s t
srodstvo	s r ɔ t s t v ɔ
’rmbanje	r̩ m b a ɲ e
neosueten	n e ɔ s u e t e n
urne	u r n e
vijadukti	v i j a d u k t i
neustrašen	n e u s t r a ʃ e n
nereizbran	n e r e i z b r a n
pregazuvan	p r e ɡ a z u v a n
abonent	a b ɔ n e n t
kongo	k ɔ ŋ ɡ ɔ
lamja	ɫ a m j a
nedelegiran	n e d e l e ɡ i ɾ a n
bespričinski	b e s p r i t͡ʃ i n s k i
mustaḱ	m u s t a c
fide	f i d e
bolki	b ɔ ɫ k i
čokoladište	t͡ʃ ɔ k ɔ ɫ a d i ʃ t e
voobičajuvanje	v ɔ ɔ b i t͡ʃ a j u v a ɲ e
nasmee	n a s m e e
izmestuva	i z m e s t u v a
perceptiven	p e r t͡s e p t i v e n
vic	v i t͡s
sklučen	s k ɫ u t͡ʃ e n
buričkanje	b u r i t͡ʃ k a ɲ e
krivopalanečki	k r i v ɔ p a ɫ a n e t͡ʃ k i
moroždanec	m ɔ r ɔ ʒ d a n e t͡s
alergičnost	a l e r ɡ i t͡ʃ n ɔ s t
otporno	ɔ t p ɔ r n ɔ
isčašen	i ʃ t͡ʃ a ʃ e n
potpevnuvanje	p ɔ t p e v n u v a ɲ e
dozatvori	d ɔ z a t v ɔ ɾ i
treperi	t r e p e ɾ i
nerazdelnost	n e r a z d e ɫ n ɔ s t
dupol	d u p ɔ ɫ
zakvičuva	z a k v i t͡ʃ u v a
pušilnica	p u ʃ i ɫ n i t͡s a
