aandeel	aː n d eː l
aanhangen	aː n ɦ ɑ ŋ ə n
aanhangsel	aː n ɦ ɑ ŋ s ə l
aanhouding	aː n ɦ ɑ u̯ d ɪ ŋ
aanrijding	aː n r ɛ i̯ d ɪ ŋ
aanspreken	aː n s p r eː k ə n
aanvoerder	aː n v uː r d ə r
aanvoeren	aː n v uː r ə n
aanwakkeren	aː n ʋ ɑ k ə r ə n
aarden	aː r d ə n
abacus	ɑ b aː k ʏ s
achterblijven	ɑ x t ə r b l ɛ i̯ v ə n
achthoek	ɑ x t ɦ u k
achttien	ɑ x t i n
acrobatiek	ɑ k r oː b aː t i k
actrice	ɑ k t r i s ə
adel	aː d ə l
ademnood	aː d ə m n oː t
adriaan	aː d r i aː n
afbraak	ɑ f b r aː k
afgeleide	ɑ f x ə l ɛ i̯ d ə
afgoderij	ɑ f x oː d ə r ɛ i̯
afhangen	ɑ f ɦ ɑ ŋ ə n
afrit	ɑ f r ɪ t
afscheiding	ɑ f s x ɛ i̯ d ɪ ŋ
afslanken	ɑ f s l ɑ ŋ k ə n
afstandsbediening	ɑ f s t ɑ n t s b ə d i n ɪ ŋ
akelig	aː k ə l ə x
alarmsignaal	ɑ l ɑ r m s ɪ n j aː l
albanees	ɑ l b aː n eː s
ale	eː l
algemeenheid	ɑ l ɣ ə m eː n ɦ ɛ i̯ t
almaar	ɑ l m aː r
alsem	ɑ l s ə m
alsmaar	ɑ l s m aː r
alsnog	ɑ l s n ɔ x
ambtenaar	ɑ m p t ə n aː r
amerikaans	aː m eː r i k aː n s
andersom	ɑ n d ə r s ɔ m
andersvalide	ɑ n d ə r s f aː l i d ə
angstig	ɑ ŋ s t ə x
april	ɑ p r ɪ l
archiveren	ɑ r x i v eː r ə n
argon	ɑ r ɣ ɔ n
aristocraat	aː r ɪ s t oː k r aː t
arnhem	ɑ r n ɦ ɛ m
aroma	aː r oː m aː
artistiek	ɑ r t ɪ s t i k
astrid	ɑ s t r ɪ t
atelier	aː t ə l j eː
atol	aː t ɔ l
attribuut	ɑ t r i b y t
automatisering	ɑ u̯ t oː m aː t i z eː r ɪ ŋ
babbelen	b ɑ b ə l ə n
bakken	b ɑ k ə n
bakpoeder	b ɑ k p u d ə r
bankovervaller	b ɑ ŋ k oː v ə r v ɑ l ə r
bankroet	b ɑ ŋ k r u t
bankschroef	b ɑ ŋ k s x r u f
baren	b aː r ə n
beantwoorden	b ə ɑ n t ʋ oː r d ə n
bedrag	b ə d r ɑ x
beduidend	b ə d œ y̯ d ə n t
beerput	b eː r p ʏ t
beginnen	b ə ɣ ɪ n ə n
beginnerscursus	b ə ɣ ɪ n ə r s k ʏ r z ʏ s
begint	b ə ɣ ɪ n t
begrippenkader	b ə ɣ r ɪ p ə n k aː d ə r
begroeten	b ə ɣ r u t ə n
begroting	b ə ɣ r oː t ɪ ŋ
behaaglijk	b ə ɦ aː x l ə k
beheerbaar	b ə ɦ eː r b aː r
behendigheid	b ə ɦ ɛ n d ə x ɦ ɛ i̯ t
beiden	b ɛ i̯ d ə n
bek	b ɛ k
bekennen	b ə k ɛ n ə n
beladen	b ə l aː d ə n
belagen	b ə l aː ɣ ə n
beledigen	b ə l eː d ə ɣ ə n
benoemen	b ə n u m ə n
beoordelen	b ə oː r d eː l ə n
bepalen	b ə p aː l ə n
bepleiten	b ə p l ɛ i̯ t ə n
berber	b ɛ r b ə r
berging	b ɛ r ɣ ɪ ŋ
bes	b ɛ s
beschermen	b ə s x ɛ r m ə n
beschikken	b ə s x ɪ k ə n
bespelen	b ə s p eː l ə n
best	b ɛ s t
bestanden	b ə s t ɑ n d ə n
besturingssysteem	b ə s t yː r ɪ ŋ s i s t eː m
betreffen	b ə t r ɛ f ə n
