kot	k o t̚ ˨˩
kanok	k a ˨˩ n o k̚ ˨˩
kon	k ɔː n ˧
krɔːk	k r ɔː k̚ ˨˩
kraʔ	k r a ʔ ˨˩
kratrawoŋsɯkasaːtʰikaːn	k r a ˨˩ s u a̯ ŋ ˧ s ɯ k̚ ˨˩ s aː ˩˩˦ tʰ i ˦˥ k aː n ˧
krabiː	k r a ˨˩ b iː ˨˩
kriːt	k r iː t̚ ˨˩
krʉsadaː	k r i t̚ ˨˩ s a ˨˩ d aː ˧
klum	k l u m ˨˩
klaː	k l aː ˥˩
kwaːŋ	k w aː ŋ ˧
kwaː	k w aː ˨˩
kɔːŋ	k ɔː ŋ ˧
kɔːŋtʰapʰabok	k ɔː ŋ ˧ tʰ a p̚ ˦˥ b o k̚ ˨˩
kapiʔ	k a ˨˩ p i ʔ ˨˩
kanjaːjon	k a n ˧ j aː ˧ j o n ˧
kan	k a n ˧
kab	k a p̚ ˨˩
kampʰuːt͡ɕʰaː	k a m ˧ pʰ uː ˧ t͡ɕʰ aː ˧
kaːn	k aː n ˧
kaːnkɔːt	k aː n ˧ k ɔː t̚ ˨˩
kaːnkamhanot	k aː n ˧ k a m ˧ n o t̚ ˨˩
kaːnkɔːkaːnraːj	k aː n ˧ k ɔː ˨˩ k aː n ˧ r aː j ˦˥
kaːnt͡ɕadakaːn	k aː n ˧ t͡ɕ a t̚ ˨˩ k aː n ˧
kaːntʰaːtʰaːj	k aː n ˧ tʰ aː ˦˥ tʰ aː j ˧
kaːnbawok	k aː n ˧ b u a̯ k̚ ˨˩
kaːnrak	k aː n ˧ r a k̚ ˦˥
kaːnruk	k aː n ˧ r u k̚ ˦˥
kaːnlawoŋlam	k aː n ˧ l u a̯ ŋ ˥˩ l a m ˦˥
kaːnʔɔːk	k aː n ˧ ʔ ɔː k̚ ˨˩
kaːnmɯːa̯ŋ	k aː n ˧ m ɯ a̯ ŋ ˧
kaːnlɯːa̯kataŋ	k aː n ˧ l ɯ a̯ k̚ ˥˩ t a ŋ ˥˩
kaːnlɯːa̯kataŋtʰuːa̯paj	k aː n ˧ l ɯ a̯ k̚ ˥˩ t a ŋ ˥˩ tʰ u a̯ ˥˩ p a j ˧
kaːnleːn	k aː n ˧ l e n ˥˩
kamhanot	k a m ˧ n o t̚ ˨˩
kamraj	k a m ˧ r a j ˧
kileːn	k i ˨˩ l eː n ˧
kiloː	k i ˨˩ l oː ˧
kiloːkram	k i ˨˩ l oː ˧ k r a m ˧
