رائےدہندگان	ɽ a: ɪ d ə ɦ ə n d ɡ a: n
جدیدترین	d͡ʒ a d iː d t a r iː n
رامو	ɽ a: m ʊ
اتوار	ɪ t ʋ a: ɽ
منہ	m ʊ ɦ
خسارہ	x ɪ s a: ɽ a: ɦ
مشروب	m a ʃ r uː b
ارب	ə ɽ ə b
غیرمستحکم	ɣ ɪ r m ʊ s t ɦ a k a m
ابھشیک	ə bʰ ɪ ʂ eː k
رنگولی	ɽ ə ŋ ɡ oː l iː
آکاش	a: k a: ʃ
ہمسفر	ɦ ə m s ə f ə ɽ
حقارت	ɦ ʊ q a: ɽ ə t
مسئلہ	m ə s l a:
اسٹائسٹکس	ɪ s ʈ a: ɪ s ʈ k s
بالے	b a: l eː
گرنا	ɡ ɪ ɽ n a:
فلاحی	f l a: ɦ iː
تمھیں	t ʊ m e:
سکو	s k uː
سفر	s ə f ə ɽ
رویئہ	ɽ ə ʋ ə i a:
لوتھ	l oː tʰ
میزان	m iː z a: n
نافذ	n a: f ɪ z
پار	p a: ɽ
اودبلاؤ	uː d b ɪ l a: oː
باشندہ	b a: ʃ ɪ n d a:
راجو	ɽ a: d͡ʒ oː
جامعہ	d͡ʒ a: m ɪ ʔ a:
پالیسی	p a: l iː s iː
کارگزاری	k a: r ɡ ʊ z a: r iː
سمیع	s ə m iː a
سنگھ	s ɪ ŋ ɡʰ
اردو	ʊ ɽ d uː
ریمارک	r eɪ m a: r k
پرکاش	p ɽ ə k a: ʃ
صفرواں	s ɪ f ə ɽ ʋ a:
ملازم	m ʊ l a: z ə m
اختیارکردہ	ə x t iː j aː ɽ k ə ɽ d ə ɦ
کھاگ	kʰ a: ɡ
دیواکر	d iː ʋ a: k ə ɽ
ربوہ	ɽ ə b ʋ a: ɦ
ماک	m a: k
داردر	d a: ɽ ɪ d ɽ
پہلا	p ə ɦ l a:
راجا	ɽ a: d͡ʒ a:
ڈھيٹھ	ɖʰ iː ʈʰ
سترویں	s t ɽ oː ʋ eː n
بھونگیر	bʰ ʊ ŋ ɡ iː r
ڈیفنس	ɖ iː f n ɪ s
دستبردار	d ʊ s t b ɛ r d a: r
جگر	d͡ʒ ə ɡ ə r
جانی	d͡ʒ a: n iː
پولیت	p oː l iː t
شروع	ʃ ʊ ɽ uː a
ڈگیس	ɖ ɪ ɡ iː s
ورزش	ʋ ə ɽ z ɪ ʃ
فٹچ	f t͡ʃ
فتنہ	f ə t n ə
گودھرا	ɡ oː dʰ ɽ aː
سختی	s a x t iː
کوہیر	k oː ɦ iː ɽ
پریم	p ɽ eː m
غیرضروری	ɣ eː ɽ z ə ɽ uː ɽ iː
ڈر	ɖ ə ɽ
بہار	b ə ɦ a: ɽ
کمیشن	k a m iː ʃ a n
عکس	a k s
پنا	p ə n n a:
شائق	ʃ a: ɪ q
تکنیکی	t a k n iː k iː
ایرانڈیا	a iː r aː n d iː aː
خودکش	x ʊ d k ʊ ʃ
روپیا	ɽ uː p iː a:
افق	a: f ə q
عجائب	ə d͡ʒ a: ɪ b
تیسری	t eː s r iː
اردن	a: r d ə n
ژالہ	ʒ a: l ə
پیشاب	p eː ʃ a: b
لیبرمن	l iː b ə r m ə n
پرتبھا	p ə r t ʊ bʰ a:
ایماندار	iː m a: n d a: ɽ
پورکر	p u: r k ə r
بستی	b ə s t iː
مہلوک	m ə ɦ l oː k
لیگ	l iː ɡ
مئی	m eː ɪ
حالانکہ	ɦ a: l a: k iː
دیکشت	d iː k ʃ t
کشتی	k ə ʃ t iː
طوطی	ʈ ɔː ʈ iː
لڑکی	l ə ɽ k iː
کھانی	kʰ a: n iː
اطباء	ɪ t ɪ b a: a:
بوتھا	b oː tʰ a:
مالیت	m a: l iː t
گز	ɡ ʊ z
جوس	d͡ʒ oʊ s
تال	t a: l
وسنت	ʋ ʊ s n a t
کلکٹر	k ʊ l k ʈ ɛ ɽ
جھوٹ	d͡ʒ ʱ uː ʈ
دینا	d eː n a:
رنگاریڈی	ɽ ə ŋ ɡ a: ɽ iː d iː
ش	ʃ
عوامی	a ʋ aː m iː
دعائے	d̪ʊ a: ɪ eː
لیکچرر	l iː k t͡ʃ ə ɽ ɽ
کورٹ	k ɔː r ʈ
سؤر	s uː ə ɽ
میٹرس	m eː t ə r s
پرسوں	p ə ɽ s o:
گلال	ɡ ʊ l a: l
گرجنا	ɡ ə ɽ ə d͡ʒ n a:
یونیورسٹی	j uː n iː ʋ a r s ʈ iː
اختتام۔پزیر	a: x t t a: m p ə z iː ɽ
میٹابولائز	m eː ʈ a: b oː l aː ɪ z
کارڈ	k a: ɽ d
بند	b ə n d
فلک	f ə l ə k
چھاڑ	t͡ʃʰ a: ɽ
گردی	ɡ ʊ r d iː
دھول	dʰ uː l
ایمان	iː m a: n
چوٹ	t͡ʃ oː ʈ
وصولی	ʋ ʊ s uː l iː
ماریشیس	m a: r iː ʃ iː s
مستحکم	m ʊ s t a ɦ k a m
جرأت	d͡ʒ ʊ ɽ ɽ ə t
اکانٹس	ə k a: n ʈ s
جرثومہ	d͡ʒ ʊ ɽ s uː m a:
بابرہ	b a: b ɽ a:
پڑھنا	p ə ɽʰ n a:
ڈابسن	ɖ a: b s ə n
نظرانداز	n ʊ z ɽ a: n d a: z
احتمال	eː ɦ t eː m a: l
ئن	ʔ ɪ n
خون	x uː n
مجھ	m ʊ d͡ʒʰ
پستان	p ɪ s t a: n
علامہ	a ə l aː m ə
آیئنا	a: iː ə n ə
تگنا	t ɪ ɡ n a:
ذات	z a: t
بلین	b ɛː l iː n
دیکھنا	d eː kʰ n a:
اندر	ɪ n d ə ɽ
جھوٹی	d͡ʒ ʱ uː ʈ iː
کارخانہ	k a: r x a: n ə
منصور	m ə n s ʊ ɽ
سنجیدہ	s ʊ n d͡ʒ iː d a
اسرائیل	ɪ s ɽ a: iː l
پورہ	p uː r a:
پھول	pʰ uː l
پردیب	p ə ɽ d iː b
پیٹ	p eː ʈ
کاویہ	k a: ʋ j ə
لاپرواہی	l a: p ɽ ʋ a: ɦ iː
تئیں	t ɛː ɪ n
لسانیات	l ɪ s a: n ɪ j a: t
میٹنگ	m iː ʈ ɪ ŋ ɡ
سہولت	s ʊ ɦ ʊ l t
احسان	ə ɦ ə s a: n
یوگانڈا	j ʊ ɡ a: n ʈ a:
غرناطہ	ɣ ə ɽ n a: t a: ɦ
حصول	ɦ ʊ s uː l
شرینگر	ʃ ɽ iː n ə ɡ ə ɽ
فٹنس	f ɪ t n ə s
فرار	f a r aː r
کاڑھا	k a: ɽʰ a:
موجودہ	m oː d͡ʒ uː d a:
تحصیل	t ɦ ʊ s iː l
شعر	ʃ eː ɽ
دوران	d ʊ ɽ a: n
ذلیل	z ə l iː l
وہ	ʋ oː
کوی۶	k oː ɪ a 6
بلی	b ə l iː
خصوصا	x ʊ s uː s ə n
کھجلی	kʰ ʊ d͡ʒ l iː
اصول	ʊ s uː l
اترنا	ʊ t ə ɽ n a:
کشادہ	k ə ʃ aː d ə
سوالیہ	s uː aː l iː ə
باولی	b aː oː l iː
ارسطو	ə ɽ ə s t uː
حسین	ɦ ʊ s eɪ n
بغیر	b ɪ ɣ ɛː r
یہود	j ə ɦ uː d
مسوری	m ʊ s ʋ ʊ r iː
ویریا	ʋ iː r iː a:
کٹرپسند	k ʈ ə ɽ p s ʊ n d
چلانا	t͡ʃ ɪ l l a: n a:
ڈکار	ɖ ə k a: ɽ
صلیب	s ə l iː b
اسٹال	ɪ s ʈ aː l
چنگال	t͡ʃ ə ŋ ɡ a: l
شے۶	ʃ eː t͡ʃʰ ʰ
اودھاؤ	ɔː dʰ a: ʊ
آخرت	a: x ɪ ɽ ə t
چتا	t͡ʃ ʊ t a:
راجیش	ɽ a: d͡ʒ iː ʃ
پھاڑ	pʰ a: ɽ
وصال	ʋ ɪ s a: l
لکیج	l ə k iː d͡ʒ
بجٹ	b ə d͡ʒ ʈ
چوتھا	t͡ʃ ɔː tʰ a:
پولیو	p oː l iː oː
جلسہ	d͡ʒ ə l s a ɦ
اللہ	ə l l a: ɦ
بحیثیت	b ɦ ɪ s iː t
ارجت	ə ɽ d͡ʒ ɪ t
بالخصوص	b a: l x a s ʊ s
جنوری	d͡ʒ a n uː r iː
بتایاکہ	b ɪ t a: j a: k ɛː
دل	d ɪ l
نہ	n a:
بیلاروس	b eː l a: ɽ uː s
ریشی	r eː ʃ iː
باہوبلی	b a: ɦ ʊ b ə l iː
چوتھائی	t͡ʃ ɔː tʰ a: iː
مدیرا	m ə d iː ɽ a:
فرمائش	f ə ɽ m a: ɪ ʃ
بلکہ	b ə l k iː
انٹرملان	ɪ n ʈ ə ɽ m ə l a: n
تلبیہ	t ə l b iː ə
سمکھ	s ə m m ʊ kʰ
متوفی	m ʊ t ʋ ɔː f iː
پرچہ	p ə ɽ t͡ʃ ə
کتی	k ə t iː
ایکسپریس	aɪ k s p ɽ iː s
ناخوش	n a: x ʊ ʃ
روانہ	ɽ ə ʋ a: n a:
بیمار	b eː m a: ɽ
مورتی	m uː ɽ t iː
ٹھوس	ʈʰ oː s
باون	b a: ʊ n
جامن	d͡ʒ a: m ə n , d͡ʒ a: m ʊ n
ساتھ	s a: tʰ
مکھ	m ʊ kʰ
شیواجی	ʃ iː ʋ a: d͡ʒ iː
نعرہ	n a: ɽ a: ɦ
عجب	a d͡ʒ a b
