աբորտ	ɑ b ɔ ɾ t
աբրամ	ɑ b ɾ ɑ m
ագնոստիկ	ɑ ɡ n ɔ s t i k
ագուցել	ɑ ɡ u t͡sʰ ɛ l
ադրբեջանցի	ɑ d ə ɾ b ɛ d͡ʒ ɑ n t͡sʰ i
ազդվել	ɑ z d v ɛ l
ալանի	ɑ l ɑ n i
ալբոմ	ɑ l b ɔ m
ալեմաներեն	ɑ l ɛ m ɑ n ɛ ɾ ɛ n
ալյուր	ɑ l j u ɾ
ալուցք	ɑ l u t͡sʰ kʰ
ախտ	ɑ χ t
ակադեմիա	ɑ k ɑ d ɛ m j ɑ
ակնախնձոր	ɑ k n ɑ χ ə n d͡z ɔ ɾ
ակնածալից	ɑ k n ɑ t͡s ɑ l i t͡sʰ
ակնաղբյուր	ɑ k n ɑ χ p j u ɾ
ակնթարթ	ɑ k ə n tʰ ɑ ɾ tʰ
ահ	ɑ h
աղբ	ɑ χ p
աղեղ	ɑ ʁ ɛ ʁ
աղիողորմ	ɑ ʁ i ɔ ʁ ɔ ɾ m
աղունիկ	ɑ ʁ u n i k
աղջամուղջ	ɑ ʁ d͡ʒ ɑ m u ʁ d͡ʒ
ամենալավ	ɑ m ɛ n ɑ l ɑ v
ամերիկացի	ɑ m ɛ ɾ i k ɑ t͡sʰ i
ամնիստիա	ɑ m n i s t j ɑ
այծենի	ɑ j t͡s ɛ n i
այնուհետեւ	ɑ j n u h ɛ t ɛ v
այնտեղ	ɑ j n t ɛ ʁ
անալի	ɑ n ɑ l i
անակ	ɑ n ɑ k
անատոլիա	ɑ n ɑ t ɔ l j ɑ
անատոլիական	ɑ n ɑ t ɔ l j ɑ k ɑ n
անարատ	ɑ n ɑ ɾ ɑ t
անգնահատելի	ɑ ŋ ɡ ə n ɑ h ɑ t ɛ l i
անդեր	ɑ n d ɛ ɾ
անդրկովկասյան	ɑ n d ə ɾ k ɔ f k ɑ s j ɑ n
աներձագ	ɑ n ɛ ɾ d͡z ɑ kʰ
անիրավ	ɑ n i ɾ ɑ v
անկարելի	ɑ ŋ k ɑ ɾ ɛ l i
անհամեստություն	ɑ n h ɑ m ɛ s t u tʰ j u n
