<|ITA|>abbonamento	a b b o n a m e n t o
<|ITA|>accettare	a t t͡ʃ e t t a r e
<|ITA|>accoglienza	a k k o ʎ ʎ ɛ n t͡s a
<|ITA|>accompagnare	a k k o m p a ɲ ɲ a r e
<|ITA|>accordo	a k k ɔ r d o
<|ITA|>acqua	a k k w a
<|ITA|>acquazzone	a k k w a t t͡s o n e
<|ITA|>acquistare	a k k w i s t a r e
<|ITA|>ad	a d
<|ITA|>adatto	a d a t t o
<|ITA|>adesso	a d ɛ s s o
<|ITA|>affermato	a f f e r m a t o
<|ITA|>agenti	a d͡ʒ ɛ n t i
<|ITA|>agenzia	a d͡ʒ e n t͡s i a
<|ITA|>aggiunge	a d d͡ʒ u n d͡ʒ e
<|ITA|>aggiunto	a d d͡ʒ u n t o
<|ITA|>agli	a ʎ ʎ i
<|ITA|>aiuto	a j u t o
<|ITA|>albergo	a l b ɛ r ɡ o
<|ITA|>alberto	a l b ɛ r t o
<|ITA|>alessandra	a l e s s a n d r a
<|ITA|>alghero	a l ɡ ɛ r o
<|ITA|>alle	a l l e
<|ITA|>allenatore	a l l e n a t o r e
<|ITA|>allineato	a l l i n e a t o
<|ITA|>allo	a l l o
<|ITA|>allucinato	a l l u t͡ʃ i n a t o
<|ITA|>alternato	a l t e r n a t o
<|ITA|>alti	a l t i
<|ITA|>altra	a l t r a
<|ITA|>altre	a l t r e
<|ITA|>altri	a l t r i
<|ITA|>altro	a l t r o
<|ITA|>alture	a l t u r e
<|ITA|>america	a m ɛ r i k a
<|ITA|>amministrazione	a m m i n i s t r a t t͡s j o n e
<|ITA|>ampio	a m p j o
<|ITA|>anatroccolo	a n a t r ɔ k k o l o
<|ITA|>anche	a n k e
<|ITA|>andare	a n d a r e
<|ITA|>animale	a n i m a l e
<|ITA|>animazione	a n i m a t t͡s j o n e
<|ITA|>antognoni	a n t o ɲ ɲ o n i
<|ITA|>antonella	a n t o n ɛ l l a
<|ITA|>aperto	a p ɛ r t o
<|ITA|>appalti	a p p a l t i
<|ITA|>apparecchio	a p p a r e k k j o
<|ITA|>appello	a p p ɛ l l o
<|ITA|>appena	a p p e n a
<|ITA|>applicare	a p p l i k a r e
<|ITA|>aprile	a p r i l e
<|ITA|>ara	a r a
<|ITA|>armati	a r m a t i
<|ITA|>arricchito	a r r i k k i t o
<|ITA|>arrivare	a r r i v a r e
<|ITA|>arsenico	a r s ɛ n i k o
<|ITA|>articolo	a r t i k o l o
<|ITA|>assente	a s s ɛ n t e
<|ITA|>assenza	a s s ɛ n t͡s a
<|ITA|>assicurato	a s s i k u r a t o
<|ITA|>assistenza	a s s i s t ɛ n t͡s a
<|ITA|>assistere	a s s i s t e r e
<|ITA|>assolutistico	a s s o l u t i s t i k o
<|ITA|>attività	a t t i v i t a
<|ITA|>attraverso	a t t r a v ɛ r s o
<|ITA|>attuale	a t t u a l e
<|ITA|>attualità	a t t u a l i t a
<|ITA|>augusta	a w ɡ u s t a
<|ITA|>auto	a w t o
<|ITA|>autorevole	a u t o r e v o l e
<|ITA|>autorità	a u̯ t o r i t a
<|ITA|>autunno	a w t u n n o
<|ITA|>avanti	a v a n t i
<|ITA|>avere	a v e r e
<|ITA|>aveva	a v e v a
<|ITA|>badia	b a d i a
<|ITA|>ballo	b a l l o
<|ITA|>balzo	b a l t͡s o
<|ITA|>banca	b a n k a
<|ITA|>banda	b a n d a
<|ITA|>banditi	b a n d i t i
<|ITA|>basta	b a s t a
<|ITA|>battaglia	b a t t a ʎ ʎ a
<|ITA|>battere	b a t t e r e
<|ITA|>befana	b e f a n a
<|ITA|>benissimo	b e n i s s i m o
<|ITA|>beppe	b ɛ p p e
<|ITA|>biglietto	b i ʎ ʎ e t t o
<|ITA|>bisogno	b i z o ɲ ɲ o
<|ITA|>bolla	b o l l a
<|ITA|>bologna	b o l o ɲ ɲ a
<|ITA|>borse	b o r s e
<|ITA|>brevi	b r ɛ v i
<|ITA|>brutale	b r u t a l e
<|ITA|>buon	b w ɔ n
<|ITA|>cadavere	k a d a v e r e
<|ITA|>calabria	k a l a b r j a
<|ITA|>calcio	k a l t͡ʃ o
<|ITA|>calendario	k a l e n d a r j o
<|ITA|>calore	k a l o r e
<|ITA|>cambiare	k a m b j a r e
<|ITA|>camion	k a m j o n
<|ITA|>camminare	k a m m i n a r e
<|ITA|>cammino	k a m m i n o
<|ITA|>campagna	k a m p a ɲ ɲ a
<|ITA|>campo	k a m p o
<|ITA|>candidato	k a n d i d a t o
<|ITA|>cane	k a n e
<|ITA|>canzone	k a n t͡s o n e
<|ITA|>capire	k a p i r e
<|ITA|>capita	k a p i t a
<|ITA|>capito	k a p i t o
<|ITA|>capo	k a p o
<|ITA|>capolino	k a p o l i n o
<|ITA|>capoluogo	k a p o l w ɔ ɡ o
<|ITA|>cappa	k a p p a
<|ITA|>cardinale	k a r d i n a l e
<|ITA|>casinò	k a z i n ɔ
<|ITA|>caso	k a z o
<|ITA|>castello	k a s t ɛ l l o
<|ITA|>cattedrale	k a t t e d r a l e
<|ITA|>cattolico	k a t t o l i k o
<|ITA|>ce	t͡ʃ e
<|ITA|>celebre	t͡ʃ ɛ l e b r e
<|ITA|>cena	t͡ʃ e n a
<|ITA|>cento	t͡ʃ ɛ n t o
<|ITA|>centrale	t ʃ e n t r a l e
<|ITA|>centro	t ʃ ɛ n t r o
<|ITA|>cerca	t͡ʃ e r k a
<|ITA|>cercare	t ʃ e r k a r e
<|ITA|>cerco	t͡ʃ e r k o
<|ITA|>certo	t͡ʃ ɛ r t o
<|ITA|>che	k e
<|ITA|>chiamo	k j a m o
<|ITA|>chiaro	k j a r o
<|ITA|>chiedere	k j ɛ d e r e
<|ITA|>chiuso	k j u z o
<|ITA|>chiù	k j u
<|ITA|>ciclo	t͡ʃ i k l o
<|ITA|>cinque	t͡ʃ i n k w e
<|ITA|>cioccolato	t͡ʃ o k k o l a t o
<|ITA|>cittadino	t͡ʃ i t t a d i n o
<|ITA|>civile	t͡ʃ i v i l e
<|ITA|>coerenza	k o e r ɛ n t͡s a
<|ITA|>collegamento	k o l l e ɡ a m e n t o
<|ITA|>colloquio	k o l l ɔ k w j o
<|ITA|>colore	k o l o r e
<|ITA|>combattere	k o m b a t t e r e
<|ITA|>come	k o m e
<|ITA|>cominciare	k o m i n t͡ʃ a r e
<|ITA|>compagnia	k o m p a ɲ ɲ i a
<|ITA|>compilazione	k o m p i l a t t͡s j o n e
<|ITA|>complessità	k o m p l e s s i t a
<|ITA|>complotto	k o m p l ɔ t t o
