rɑːiːٔeːd̪ہnd̪ɡɑːn	ɽ a: ɪ d ə ɦ ə n d ɡ a: n
d͡ʒd̪یd̪t̪rیn	d͡ʒ a d iː d t a r iː n
rɑːmuː	ɽ a: m ʊ
ɑːt̪uːɑːr	ɪ t ʋ a: ɽ
mnہ	m ʊ ɦ
xsɑːrہ	x ɪ s a: ɽ a: ɦ
mʃruːb	m a ʃ r uː b
ɑːrb	ə ɽ ə b
ɣیrmst̪hکm	ɣ ɪ r m ʊ s t ɦ a k a m
ɑːbھʃیک	ə bʰ ɪ ʂ eː k
rnɡuːlی	ɽ ə ŋ ɡ oː l iː
ɑːٓکɑːʃ	a: k a: ʃ
ہmsfr	ɦ ə m s ə f ə ɽ
hqɑːrt̪	ɦ ʊ q a: ɽ ə t
msiːٔlہ	m ə s l a:
ɑːsʈɑːiːٔsʈکs	ɪ s ʈ a: ɪ s ʈ k s
bɑːleː	b a: l eː
ɡrnɑː	ɡ ɪ ɽ n a:
flɑːhی	f l a: ɦ iː
t̪mھی◌̃	t ʊ m e:
sکuː	s k uː
sfr	s ə f ə ɽ
ruːیiːٔہ	ɽ ə ʋ ə i a:
luːt̪ھ	l oː tʰ
mیzɑːn	m iː z a: n
nɑːfz	n a: f ɪ z
pɑːr	p a: ɽ
ɑːuːd̪blɑːuːٔ	uː d b ɪ l a: oː
bɑːʃnd̪ہ	b a: ʃ ɪ n d a:
rɑːd͡ʒuː	ɽ a: d͡ʒ oː
d͡ʒɑːmʔہ	d͡ʒ a: m ɪ ʔ a:
pɑːlیsی	p a: l iː s iː
کɑːrɡzɑːrی	k a: r ɡ ʊ z a: r iː
smی	s ə m iː a
snɡھ	s ɪ ŋ ɡʰ
ɑːrd̪uː	ʊ ɽ d uː
rیmɑːrک	r eɪ m a: r k
prکɑːʃ	p ɽ ə k a: ʃ
sfruːɑː◌̃	s ɪ f ə ɽ ʋ a:
mlɑːzm	m ʊ l a: z ə m
ɑːxt̪یɑːrکrd̪ہ	ə x t iː j aː ɽ k ə ɽ d ə ɦ
کھɑːɡ	kʰ a: ɡ
d̪یuːɑːکr	d iː ʋ a: k ə ɽ
rbuːہ	ɽ ə b ʋ a: ɦ
mɑːک	m a: k
d̪ɑːrd̪r	d a: ɽ ɪ d ɽ
pہlɑː	p ə ɦ l a:
rɑːd͡ʒɑː	ɽ a: d͡ʒ a:
ɖھiːʈھ	ɖʰ iː ʈʰ
st̪ruːی◌̃	s t ɽ oː ʋ eː n
bھuːnɡیr	bʰ ʊ ŋ ɡ iː r
ɖیfns	ɖ iː f n ɪ s
d̪st̪brd̪ɑːr	d ʊ s t b ɛ r d a: r
d͡ʒɡr	d͡ʒ ə ɡ ə r
d͡ʒɑːnی	d͡ʒ a: n iː
puːlیt̪	p oː l iː t
ʃruː	ʃ ʊ ɽ uː a
ɖɡیs	ɖ ɪ ɡ iː s
uːrzʃ	ʋ ə ɽ z ɪ ʃ
fʈt͡ʃ	f t͡ʃ
ft̪nہ	f ə t n ə
ɡuːd̪ھrɑː	ɡ oː dʰ ɽ aː
sxt̪ی	s a x t iː
کuːہیr	k oː ɦ iː ɽ
prیm	p ɽ eː m
ɣیrzruːrی	ɣ eː ɽ z ə ɽ uː ɽ iː
ɖr	ɖ ə ɽ
bہɑːr	b ə ɦ a: ɽ
کmیʃn	k a m iː ʃ a n
کs	a k s
pnɑː	p ə n n a:
ʃɑːiːٔq	ʃ a: ɪ q
t̪کnیکی	t a k n iː k iː
ɑːیrɑːnɖیɑː	a iː r aː n d iː aː
xuːd̪کʃ	x ʊ d k ʊ ʃ
ruːpیɑː	ɽ uː p iː a:
ɑːfq	a: f ə q
d͡ʒɑːiːٔb	ə d͡ʒ a: ɪ b
t̪یsrی	t eː s r iː
ɑːrd̪n	a: r d ə n
ʒɑːlہ	ʒ a: l ə
pیʃɑːb	p eː ʃ a: b
lیbrmn	l iː b ə r m ə n
prt̪bھɑː	p ə r t ʊ bʰ a:
ɑːیmɑːnd̪ɑːr	iː m a: n d a: ɽ
puːrکr	p u: r k ə r
bst̪ی	b ə s t iː
mہluːک	m ə ɦ l oː k
lیɡ	l iː ɡ
miːٔی	m eː ɪ
hɑːlɑːnکہ	ɦ a: l a: k iː
d̪یکʃt̪	d iː k ʃ t
کʃt̪ی	k ə ʃ t iː
t̪uːt̪ی	ʈ ɔː ʈ iː
lɽکی	l ə ɽ k iː
کھɑːnی	kʰ a: n iː
ɑːt̪bɑːʔ	ɪ t ɪ b a: a:
buːt̪ھɑː	b oː tʰ a:
mɑːlیt̪	m a: l iː t
ɡz	ɡ ʊ z
d͡ʒuːs	d͡ʒ oʊ s
t̪ɑːl	t a: l
uːsnt̪	ʋ ʊ s n a t
کlکʈr	k ʊ l k ʈ ɛ ɽ
d͡ʒھuːʈ	d͡ʒ ʱ uː ʈ
d̪یnɑː	d eː n a:
rnɡɑːrیɖی	ɽ ə ŋ ɡ a: ɽ iː d iː
ʃ	ʃ
uːɑːmی	a ʋ aː m iː
d̪ʔɑːiːٔeː	d̪ʊ a: ɪ eː
lیکt͡ʃrr	l iː k t͡ʃ ə ɽ ɽ
کuːrʈ	k ɔː r ʈ
suːٔr	s uː ə ɽ
mیʈrs	m eː t ə r s
prsuː◌̃	p ə ɽ s o:
ɡlɑːl	ɡ ʊ l a: l
ɡrd͡ʒnɑː	ɡ ə ɽ ə d͡ʒ n a:
یuːnیuːrsʈی	j uː n iː ʋ a r s ʈ iː
ɑːxt̪t̪ɑːm۔pzیr	a: x t t a: m p ə z iː ɽ
mیʈɑːbuːlɑːiːٔz	m eː ʈ a: b oː l aː ɪ z
کɑːrɖ	k a: ɽ d
bnd̪	b ə n d
flک	f ə l ə k
t͡ʃھɑːɽ	t͡ʃʰ a: ɽ
ɡrd̪ی	ɡ ʊ r d iː
d̪ھuːl	dʰ uː l
ɑːیmɑːn	iː m a: n
t͡ʃuːʈ	t͡ʃ oː ʈ
uːsuːlی	ʋ ʊ s uː l iː
mɑːrیʃیs	m a: r iː ʃ iː s
mst̪hکm	m ʊ s t a ɦ k a m
d͡ʒrɑːٔt̪	d͡ʒ ʊ ɽ ɽ ə t
ɑːکɑːnʈs	ə k a: n ʈ s
d͡ʒrsuːmہ	d͡ʒ ʊ ɽ s uː m a:
bɑːbrہ	b a: b ɽ a:
pɽھnɑː	p ə ɽʰ n a:
ɖɑːbsn	ɖ a: b s ə n
nzrɑːnd̪ɑːz	n ʊ z ɽ a: n d a: z
ɑːht̪mɑːl	eː ɦ t eː m a: l
iːٔn	ʔ ɪ n
xuːn	x uː n
md͡ʒھ	m ʊ d͡ʒʰ
pst̪ɑːn	p ɪ s t a: n
lɑːmہ	a ə l aː m ə
ɑːٓیiːٔnɑː	a: iː ə n ə
t̪ɡnɑː	t ɪ ɡ n a:
zɑːt̪	z a: t
blیn	b ɛː l iː n
d̪یکھnɑː	d eː kʰ n a:
ɑːnd̪r	ɪ n d ə ɽ
d͡ʒھuːʈی	d͡ʒ ʱ uː ʈ iː
کɑːrxɑːnہ	k a: r x a: n ə
mnsuːr	m ə n s ʊ ɽ
snd͡ʒیd̪ہ	s ʊ n d͡ʒ iː d a
ɑːsrɑːiːٔیl	ɪ s ɽ a: iː l
puːrہ	p uː r a:
pھuːl	pʰ uː l
prd̪یb	p ə ɽ d iː b
pیʈ	p eː ʈ
کɑːuːیہ	k a: ʋ j ə
lɑːpruːɑːہی	l a: p ɽ ʋ a: ɦ iː
t̪iːٔی◌̃	t ɛː ɪ n
lsɑːnیɑːt̪	l ɪ s a: n ɪ j a: t
mیʈnɡ	m iː ʈ ɪ ŋ ɡ
sہuːlt̪	s ʊ ɦ ʊ l t
ɑːhsɑːn	ə ɦ ə s a: n
یuːɡɑːnɖɑː	j ʊ ɡ a: n ʈ a:
ɣrnɑːt̪ہ	ɣ ə ɽ n a: t a: ɦ
hsuːl	ɦ ʊ s uː l
ʃrیnɡr	ʃ ɽ iː n ə ɡ ə ɽ
fʈns	f ɪ t n ə s
frɑːr	f a r aː r
کɑːɽھɑː	k a: ɽʰ a:
muːd͡ʒuːd̪ہ	m oː d͡ʒ uː d a:
t̪hsیl	t ɦ ʊ s iː l
ʃʔr	ʃ eː ɽ
d̪uːrɑːn	d ʊ ɽ a: n
zlیl	z ə l iː l
uːہ	ʋ oː
کuːی۶	k oː ɪ a 6
blی	b ə l iː
xsuːsɑː	x ʊ s uː s ə n
کھd͡ʒlی	kʰ ʊ d͡ʒ l iː
ɑːsuːl	ʊ s uː l
ɑːt̪rnɑː	ʊ t ə ɽ n a:
کʃɑːd̪ہ	k ə ʃ aː d ə
suːɑːlیہ	s uː aː l iː ə
bɑːuːlی	b aː oː l iː
ɑːrst̪uː	ə ɽ ə s t uː
hsیn	ɦ ʊ s eɪ n
bɣیr	b ɪ ɣ ɛː r
یہuːd̪	j ə ɦ uː d
msuːrی	m ʊ s ʋ ʊ r iː
uːیrیɑː	ʋ iː r iː a:
کʈrpsnd̪	k ʈ ə ɽ p s ʊ n d
t͡ʃlɑːnɑː	t͡ʃ ɪ l l a: n a:
ɖکɑːr	ɖ ə k a: ɽ
slیb	s ə l iː b
ɑːsʈɑːl	ɪ s ʈ aː l
t͡ʃnɡɑːl	t͡ʃ ə ŋ ɡ a: l
ʃeː۶	ʃ eː t͡ʃʰ ʰ
ɑːuːd̪ھɑːuːٔ	ɔː dʰ a: ʊ
ɑːٓxrt̪	a: x ɪ ɽ ə t
t͡ʃt̪ɑː	t͡ʃ ʊ t a:
rɑːd͡ʒیʃ	ɽ a: d͡ʒ iː ʃ
pھɑːɽ	pʰ a: ɽ
uːsɑːl	ʋ ɪ s a: l
lکیd͡ʒ	l ə k iː d͡ʒ
bd͡ʒʈ	b ə d͡ʒ ʈ
t͡ʃuːt̪ھɑː	t͡ʃ ɔː tʰ a:
puːlیuː	p oː l iː oː
d͡ʒlsہ	d͡ʒ ə l s a ɦ
ɑːllہ	ə l l a: ɦ
bhیsیt̪	b ɦ ɪ s iː t
ɑːrd͡ʒt̪	ə ɽ d͡ʒ ɪ t
bɑːlxsuːs	b a: l x a s ʊ s
d͡ʒnuːrی	d͡ʒ a n uː r iː
bt̪ɑːیɑːکہ	b ɪ t a: j a: k ɛː
d̪l	d ɪ l
nہ	n a:
bیlɑːruːs	b eː l a: ɽ uː s
rیʃی	r eː ʃ iː
bɑːہuːblی	b a: ɦ ʊ b ə l iː
t͡ʃuːt̪ھɑːiːٔی	t͡ʃ ɔː tʰ a: iː
md̪یrɑː	m ə d iː ɽ a:
frmɑːiːٔʃ	f ə ɽ m a: ɪ ʃ
blکہ	b ə l k iː
ɑːnʈrmlɑːn	ɪ n ʈ ə ɽ m ə l a: n
t̪lbیہ	t ə l b iː ə
smکھ	s ə m m ʊ kʰ
mt̪uːfی	m ʊ t ʋ ɔː f iː
prt͡ʃہ	p ə ɽ t͡ʃ ə
کt̪ی	k ə t iː
ɑːیکsprیs	aɪ k s p ɽ iː s
nɑːxuːʃ	n a: x ʊ ʃ
ruːɑːnہ	ɽ ə ʋ a: n a:
bیmɑːr	b eː m a: ɽ
muːrt̪ی	m uː ɽ t iː
ʈھuːs	ʈʰ oː s
bɑːuːn	b a: ʊ n
d͡ʒɑːmn	d͡ʒ a: m ə n , d͡ʒ a: m ʊ n
sɑːt̪ھ	s a: tʰ
mکھ	m ʊ kʰ
ʃیuːɑːd͡ʒی	ʃ iː ʋ a: d͡ʒ iː
nʔrہ	n a: ɽ a: ɦ
d͡ʒb	a d͡ʒ a b
ɑːnfrɑːsʈrکt͡ʃr	ɪ n f r a: s t ɽ ʊ k t͡ʃ ʊ ɽ
ɡmɑːnɑː	ɡ ʊ m a: n a:
pʈی	p ʈ iː
t͡ʃɽیɑː	t͡ʃ ɪ ɽ ɪ j a:
bیɑːɡ	b j aː ɡ
d̪mʃq	d ə m ɪ ʃ q
liːٔeː	l ɛː
lیɑːps	l iː a: p s
t̪b	t ə b
bɑːlکl	b ɪ l k ʊ l
ɑːیʃیn	eː ʃ iː n
کpɑːsی	k ə p a: s iː
ruːzɡɑːr	r oː z ɡ a: r
pɑːکst̪ɑːn	p a: k ɪ s t a: n
bیd̪	a ʊ b eː d
t̪یnt̪	ʈ ɪ n t
ɣیrd̪st̪uːrی	ɣ ɛː r d ʊ s t ʊ ɽ iː
bیʈھ	b eː ʈʰ
t͡ʃیt̪ɑːpuːr	t͡ʃ iː t aː p ɔː r
t͡ʃpl	t͡ʃ ə p ə l
rɑːʃʈrpt̪ی	r a: ʃ t r p a t iː
ʈیکsɑːs	ʈ iː k s a: s
bt̪d̪rیd͡ʒ	b ə t d ɽ iː d͡ʒ
t̪lx	t ə l ə x
t̪ھuːکnɑː	tʰ uː k n a:
ɑːmn	ə m ə n
brt̪r	b ɪ ɽ t ɽ
ہuːnɑː	ɦ oː n a:
ɡft̪ɡuː	ɡ ʊ f t ɡ oʊ
ɑːlmی	a a: l ə m iː
یuːsf	j uː s ə f
کɑːlɑː	k a: l a:
xɑːsی	x a: s iː
shɑːft̪	s ɪ ɦ a: f ə t
bیuːی	b iː ʋ iː
mʔluːm	m aː l uː m
mlک	m ʊ l k
beː۔t͡ʃیn	b eː t͡ʃ eː n
کɑːlnɡ	k a: l ə ŋ ɡ
sɑːɽھeː	s aː r a
d̪uːpہr	d uː p ɛː ɽ
sیnکɽɑː	s ɛː ŋ k ɽ a:
sruːt̪	s ə ɽ ʋ ə t
ɡnbz	ɡ ʊ m b ə z
ɑːnd̪rɑː	ɪ n d r a:
mnsʈrɑː	m ə n s ʈ ɽ a:
ɑːٓfsیr	a: f s iː ɽ
ʈɑːiːٔیls	ʈ a: ɪ l s
ɡɑːɽی	ɡ a: ɽ iː
ɑːیuːnʈ	a: j uː n ʈ
ɑːlbt̪ہ	a l b ə t a:
یuːnʈs	j ʊ n ɪ t s
bہnɑː	b ɛ ɦ n a:
ɑːٓnکھ	a: kʰ
sیnɑː	s iː n a:
t͡ʃuːʈکی	t͡ʃʰ ʊ ʈ k iː
lmbɑː	l ə m b a:
snہ	s ɪ ŋ ɦ
t̪nd̪rst̪	t ə n d ʊ ɽ ʊ s t
ɑːٓɡɑːr	a: ɡ a: ɽ
ɑːmیt̪	a m iː t
sfɑːiːٔی	s ɪ f a: iː
xrیd̪nɑː	x ə ɽ iː d n a:
ɡlbrɡہ	ɡ ʊ l b ə ɽ ɡ ə
sیd̪	s eː d
ɑːlm	ə l ə m
ɑːیzɑːrsɑːnیuː◌̃	a: ɪ z a: ɽ s a: n iː ʊ n
bکs	b ə k s
ʃrکrɑː	ʃ ə ɽ k ə ɽ a:
brیہ	b ə ɽ j ə
ɑːmd̪ɑːd̪	ɪ m d a: d
ɑːnt̪xɑːb	ɪ n t ɪ x a: b
srznʃ	s ə ɽ z n ɪ ʃ
hrیt̪	ɦ ʊ r iː t
bɑːʃɑːہ	b a: ʃ a: ɦ
sکnɑː	s ə k n a:
bکm	b ʊ k m
t̪nd̪rst̪ی	t ə n d ʊ ɽ ʊ s t iː
bہt̪r	b ə ɦ ə t t ə ɽ
nہɑːیt̪	n ɪ ɦ a: j ə t
mt̪	m ə t
msʈrsnہɑː	m ɪ s ʈ ə r s n ə ɦ a:
nکslɑːiːٔʈ	n ɪ k s l a: iː t
d͡ʒuːr	d͡ʒ ʋ ə ɽ
hrd͡ʒ	ɦ ʊ r d͡ʒ
کluːmیʈr	k ɪ l oʊ m iː t ə ɽ
mhnt̪	m ɪ ɦ n ə t
ɑːٓd̪ھɑː	a: dʰ a:
ɣrz	ɣ ʊ r d z
zیrqیɑːd̪t̪	z i: r q iː a: d t
کیmیکl	k iː m iː k ə l
d̪d͡ʒlہ	d ə d͡ʒ l a:
sɑːiːٔیns	s a: ɪ n s
mɑːہ	m aː ɦ
d̪ɑːɣ	d a: ɣ
ɡھیrneː	ɡʰ iː r n eɪ
mqfl	m ʊ q f ʊ l
ɑːٓzmɑːnɑː	a: z m a: n a:
bیuːruː	b j ʊ ɽ oː
uːʃnuː	ʋ ɪ ʃ n uː
quːm	q ɔː m
pnکھɑː	p ə ŋ kʰ a:
کھuːکs	kʰ oː k s
ɑːnɡrیzی	ə ŋ ɡ ɽ eː z iː
bھuːt̪nی	bʰ uː t ɪ n iː
nکɑːl	n ɪ k a: l
ʃrt̪	ʃ ə ɽ t
smd͡ʒھd̪ɑːr	s ə m ə d͡ʒʰ d a: ɽ
bɑːrہɑː	b a: ɽ ɦ a:
nsrt̪	n ʊ s ɽ ə t
nیlɑː	n iː l a:
shیh	s ə ɦ iː
t̪uːhیd̪یt̪	t ɔː ɦ iː d ɪ j ə t
rɑːs	ɽ aː s
nہs	n ɛ ɦ s
ɡھɽیɑːl	ɡʰ ə ɽ ɪ j a: l
fɑːlhɑːl	f ɪ l ɦ a: l
کھʈɑːiːٔی	kʰ ə ʈ a: iː
d͡ʒsuːr	d͡ʒ ə s uː ɽ
bھکt̪ی	bʰ ə k t iː
rہnɑː	ɽ ə ɦ n a:
t͡ʃʈs	t͡ʃ ə ʈ s
brt͡ʃھیt̪	b ə ɽ t͡ʃʰ ɛː t
کھɑːt̪ɑː	kʰ a: t a:
t͡ʃہɑːrm	t͡ʃ ə ɦ a: ɽ ʊ m
d͡ʒd̪uːl	d͡ʒ ʊ d ʊ l
ɑːsʈیuːn	ɪ s t iː ʋ ə n
nmɑːiːٔnd̪ہ	n ʊ m a: ɪ n d ə ɦ
rکھɑː	ɽ ʊ kʰ a:
t̪nɑːz	t ə n a: z oː ʔ
mہɑːd͡ʒrt̪	m ʊ ɦ a: d͡ʒ ə ɽ ə t
lɑːʈھی	l a: ʈʰ iː
kɑː	k a:
uːd͡ʒuːd̪	ʋ ə d͡ʒ uː d
t̪lqیn	t ə l q iː n
xd̪ɑː	x ʊ d a:
rیکɑːrɖz	ɽ eɪ k a: ɽ ɖ z
nکt̪ہ	n ʊ k t a:
ɑːuːmیʃ	oː m iː ʃ
d̪ھuːsr	dʰ uː s ə r
lیnɑː	l eː n a:
hbʃ	ɦ ə b ə ʃ
ɑːɡɑːn	ə ɡ a: n
sیnیʈr	s iː n eː ʈ ə ɽ
suːɑːr	s ʋ a: ɽ
sruːnɑːm	s ə ɽ ʋ n a: m
mzɑːکrہ	m ʊ z a: k ə r a:
ʃbہɑːt̪	ʃ ə b ɦ a: t
qlm	q ə l ə m
کuːlکɑːt̪ɑː	k oː l k a: t a:
t͡ʃکnɑː	t͡ʃ ʊ k n a:
ʃɑːʔrی	ʃ a: j ɽ iː
nuːʈs	n oː ʈ s
sst̪ی	s ʊ s t iː
muːq	m ɔː q a:
ɑːlʔrfɑːiːٔ	ə l a ɽ f a: ɪ
snd͡ʒیd̪ɡی	s ʊ n d͡ʒ iː d ɡ iː
ruːzہ	ɽ oː z a:
t̪uːsیf	t ʋ o s iː f
d͡ʒɡɑːɽ	d͡ʒ ʊ ɡ a: ɽ
ɑːd̪ɑːsی	ʊ d a: s iː
ɑːst̪qbɑːl	ɪ s t ɪ q b a: l
pھlnɑː	pʰ ə l n a:
t̪mɑːm۔t̪r	t ʊ m a: m t ɽ
suːt͡ʃnɑː	s oː t͡ʃ n a:
ɖیuːlpmnʈ	ɖ iː oʊ l p m ə n ʈ
sیrیz	s iː ɽ iː z
srsیd̪	s ə ɽ s iː d
llɑːʈ	l ə l a: ʈ
fɑːlsiːٔی	f a: l s ə iː
ɑːیf	eː f
bɣiːr	b ə ɣ ɛː ɽ
ɑːnt̪xɑːbی	ɪ n t ɪ x a: b iː
t̪mھɑːrɑː	t ʊ m a: ɽ a:
qیd̪ی	q iː d iː
sɑːiːٔbrʈɑːuːrs	s a: ɪ b ə ɽ ʈ a: ʋ ə ɽ s
snɑːt̪n	s ə n a: t ə n
کmیuːnʈی	k a m j uː n ɪ ʈ iː
zیr۔qیɑːd̪t̪	z iː ɽ q iː a: d ə t
rnɡt̪	ɽ ə ŋ ɡ ə t
t̪یmuːr	t ɛː m uː ɽ
ʈیlی	ʈ iː l iː
nqɑːd̪	a ɪ n q a: d
ɡnd͡ʒɑːn	ɡ ʊ n d͡ʒ a: n
ɖɑːl	ɖ a: l
t͡ʃnd̪rbnd̪	t͡ʃ ə n d ə ɽ ə b ɪ n d ʊ
ʃکɑːیɑːt̪	ʃ iː k aː j aː t
ɑːt̪ls	ə t l ə s
sیrsہ	s eː ɽ s ə
mt̪ھrɑː	m ə tʰ ʊ ɽ a:
کھrd͡ʒuː	kʰ ə ɽ d͡ʒ uː
کuːʃʃ	k oː ʃ ɪ ʃ
ɡmbھیr	ɡ ə m bʰ iː ɽ
zmɑːnt̪	z ə m a: n ə t
sیnکɽuː◌̃	s eː n k ə ɽ oː n
nuːuːɑː◌̃	n ə u ʋ a:
ہrɑːnɑː	ɦ ə ɽ a: n a:
sɑːiːٔnsd̪ɑː◌̃	s a: ɪ n s d a: n
ɡھɑːuː	ɡʰ a: ʋ
zlɑː	z ʊ l a: a
zmہ۔d̪ɑːrɑːnہ	z ə m ɦ ɖ a: ɽ a: n a:
ɑːnکɖl	ɪ n k ə ɖ l
luːm	ʔ ʊ l uː m
d͡ʒɽuːɑː◌̃	d͡ʒ ʊ ɽ ʋ a:
d̪lt͡ʃsp	d ɪ l t͡ʃ ə s p
rnɖی	ɽ ə n ɖ iː
ɑːqɑːmt̪	ɪ q a: m ə t
ɡیnd̪	ɡ eː n d
mqbuːzہ	m ə q b uː z ə
ruːpeː	ɽ uː p eː
bɑːzɑːbt̪ہ	b a: z a: b ɪ t ɦ a:
d̪ھɑːrɑː	dʰ a: ɽ a:
bmbہ	b ə m b
ʈھیs	ʈʰ iː s
کʃmɑː	k ʂ ə m a:
ɖھɑːnک	ɖʰ a: n k
ɑːsکuːɑːɖ	a: s k uː a: d
xɑːt̪یuː◌̃	x a: t iː j oː n
ɑːzd̪uːɑːd͡ʒ	ɪ z d ɪ ʋ a: d͡ʒ
muːd͡ʒھی	m oʊ d͡ʒʰ iː
mیnɑː	m eː n a:
uːɑːqʔɑːt̪ی	ʋ a: q eː a: t iː
xɑːld̪	x a: l ɪ d
prیmiːٔr	p r eɪ m ɪə r
rɑːiːٔeːd̪ہی	ɽ aː ɪ ə d ɦ iː
ɡd͡ʒuːیl	ɡ ə d͡ʒ ʋ ə iː l
d̪biːٔی	d ʊ b ə iː
prʃnsɑː	p ɽ ə ʃ ə n s a:
ɑːnʃɑːʔ	ɪ n ʃ a: ʔ
nuːmuːہیuːn	n ʊ m ʊ ɦ iː ʊ n
t͡ʃuːt̪r	t͡ʃ uː t ə ɽ
کɑːr	k a: ɽ
ɑːfɣɑːnst̪ɑːn	ə f ɣ a: n ɪ s t a: n
prɑːɖکʈs	p ɽ a: ʈ k ʈ s
t̪mnɑː	t ə m ə n n a:
d̪rsɡɑːہ	d ə r s ɡ a: ɦ
bt̪	b ʊ t
کuːɖɑː	k ʊ d a:
mrhuːmہ	m ə ɽ ɦ uː m ə
ɣzہ	ɣ ə z ə
mt̪uːd͡ʒہ	m ʊ t ə ʋ ə d͡ʒ d͡ʒ ʊ ɦ
bd̪d̪ʔɑː	b ə d d ʊ a:
nbz	n ə b z
ɑːst̪snی	ɪ s t ɪ s n a: iː
ɑːreː	ə ɽ eː
ɑːsکیnɖls	ə s k iː n d ə l s
mnɑːn	m ʊ n a: n
brslz	b ɽ ə s ə l z
ɑːlھnd̪	ʔ ə l ɦ ɪ n d
کpt̪ɑːn	k ə p t a: n
