ruralidad	r u ɾ a l i d a d
difónicas	d i f o n i k a s
cautelados	k a u t e l a d o s
proclamados	p ɾ o k l a m a d o s
abajáremos	a b a x a ɾ e m o s
paracaidista	p a ɾ a k a i d i s t a
comprará	k o m p ɾ a ɾ a
Cordillera	k o ɾ d i ʝ e ɾ a
desfogados	d e s f o ɡ a d o s
esprín	e s p ɾ i n
amigdalectomía	a m i ɡ d a l e ɡ t o m i a
Cardona	k a ɾ d o n a
insumir	i n s u m i ɾ
jugadas	x u ɡ a d a s
substituidos	s u b s t i t w i d o s
regido	r e x i d o
repostear	r e p o s t e a ɾ
disputáramos	d i s p u t a ɾ a m o s
libreta	l i b ɾ e t a
apellidada	a p e ʝ i d a d a
disputable	d i s p u t a b l e
solaré	s o l a ɾ e
notro	n o t ɾ o
estrígiles	e s t ɾ i x i l e s
tomatico	t o m a t i k o
leninistas	l e n i n i s t a s
angelino	a n x e l i n o
sopladas	s o p l a d a s
ahusados	a u s a d o s
onde	o n d e
desafecta	d e s a f e ɡ t a
fotografiados	f o t o ɡ ɾ a f j a d o s
traficante	t ɾ a f i k a n t e
parafraseadas	p a ɾ a f ɾ a s e a d a s
clic	k l i k
taponear	t a p o n e a ɾ
catalogadora	k a t a l o ɡ a d o ɾ a
andén	a n d e n
depredados	d e p ɾ e d a d o s
colectivista	k o l e ɡ t i b i s t a
trapera	t ɾ a p e ɾ a
deformar	d e f o ɾ m a ɾ
runa	r u n a
taquito	t a k i t o
fijar	f i x a ɾ
castigados	k a s t i ɡ a d o s
Tomasa	t o m a s a
monitorear	m o n i t o ɾ e a ɾ
cuasidelito	k w a s i d e l i t o
fosforilaras	f o s f o ɾ i l a ɾ a s
contrarrestadas	k o n t ɾ a r e s t a d a s
biodinámicos	b i o d i n a m i k o s
desintegrar	d e s i n t e ɡ ɾ a ɾ
malévolo	m a l e b o l o
autarquía	a u t a ɾ k i a
trapito	t ɾ a p i t o
germanio	x e ɾ m a n j o
hanguear	a n ɡ e a ɾ
fariano	f a ɾ j a n o
digestible	d i x e s t i b l e
adores	a d o ɾ e s
contrariado	k o n t ɾ a ɾ j a d o
presupuestario	p ɾ e s u p w e s t a ɾ j o
extrusiva	e ɡ s t ɾ u s i b a
bagual	b a ɡ w a l
Fani	f a n i
chapurreados	t͡ʃ a p u r e a d o s
baeneras	b a e n e ɾ a s
disparado	d i s p a ɾ a d o
nihilismo	n i i l i s m o
empoderadas	e m p o d e ɾ a d a s
putrefactas	p u t ɾ e f a ɡ t a s
anhedonia	a n e d o n j a
aduana	a d w a n a
sobresaltar	s o b ɾ e s a l t a ɾ
formaldehido	f o ɾ m a l d e i d o
ensalada	e n s a l a d a
abluidas	a b l w i d a s
ventoseado	b e n t o s e a d o
amillararemos	a m i ʝ a ɾ a ɾ e m o s
taheño	t a e ɲ o
Shanghái	ʃ a n ɡ a i
bebienda	b e b j e n d a
preaviso	p ɾ e a b i s o
calesa	k a l e s a
lamentaste	l a m e n t a s t e
hollado	o ʝ a d o
yudoca	ʝ u d o k a
nanorrobot	n a n o r o b o t
ilegitimidad	i l e x i t i m i d a d
detectados	d e t e ɡ t a d o s
indumentaria	i n d u m e n t a ɾ j a
alcano	a l k a n o
abastada	a b a s t a d a
comandados	k o m a n d a d o s
argüíais	a ɾ ɡ w i a i s
góndola	ɡ o n d o l a
puterío	p u t e ɾ i o
brótola	b ɾ o t o l a
resolladas	r e s o ʝ a d a s
artrósico	a ɾ t ɾ o s i k o
desagradadas	d e s a ɡ ɾ a d a d a s
agüé	a ɡ w e
farero	f a ɾ e ɾ o
reintensificado	r e i n t e n s i f i k a d o
pisamos	p i s a m o s
bolómetros	b o l o m e t ɾ o s
cantalupo	k a n t a l u p o
premeditar	p ɾ e m e d i t a ɾ
Araujo	a ɾ a u x o
mosquear	m o s k e a ɾ
agostino	a ɡ o s t i n o
pegón	p e ɡ o n
dinamita	d i n a m i t a
Pireo	p i ɾ e o
lama	l a m a
espectrómetros	e s p e ɡ t ɾ o m e t ɾ o s
alavesista	a l a b e s i s t a
Yoro	ʝ o ɾ o
emirato	e m i ɾ a t o
empapelar	e m p a p e l a ɾ
lisosómico	l i s o s o m i k o
ladrido	l a d ɾ i d o
jurídico	x u ɾ i d i k o
llamarlos	ʝ a m a ɾ l o s
cantándoos	k a n t a n d o o s
infiltrante	i n f i l t ɾ a n t e
atribular	a t ɾ i b u l a ɾ
prever	p ɾ e b e ɾ
chucho	t͡ʃ u t͡ʃ o
temblequeado	t e m b l e k e a d o
torrada	t o r a d a
indignidad	i n d i ɡ n i d a d
Marsella	m a ɾ s e ʝ a
alojara	a l o x a ɾ a
fisgoneados	f i s ɡ o n e a d o s
pavo	p a b o
rascador	r a s k a d o ɾ
aireadas	a i ɾ e a d a s
Cauquenes	k a u k e n e s
profundidad	p ɾ o f u n d i d a d
policromas	p o l i k ɾ o m a s
variables	b a ɾ j a b l e s
esponjaren	e s p o n x a ɾ e n
carcanapire	k a ɾ k a n a p i ɾ e
designado	d e s i ɡ n a d o
procrastinar	p ɾ o k ɾ a s t i n a ɾ
lobulillar	l o b u l i ʝ a ɾ
triptongo	t ɾ i b t o n ɡ o
garabateada	ɡ a ɾ a b a t e a d a
Majagua	m a x a ɡ w a
desnudamiento	d e s n u d a m j e n t o
vermiculadas	b e ɾ m i k u l a d a s
bodegonista	b o d e ɡ o n i s t a
choquear	t͡ʃ o k e a ɾ
avenarán	a b e n a ɾ a n
seriada	s e ɾ j a d a
programada	p ɾ o ɡ ɾ a m a d a
autobombeados	a u t o b o m b e a d o s
brasileñas	b ɾ a s i l e ɲ a s
otolito	o t o l i t o
m'ijo	m i x o
mielodisplasia	m j e l o d i s p l a s j a
consensuar	k o n s e n s w a ɾ
fileteada	f i l e t e a d a
resplandor	r e s p l a n d o ɾ
deletreada	d e l e t ɾ e a d a
deambuladas	d e a m b u l a d a s
oncohematológico	o n k o e m a t o l o x i k o
amentoflavona	a m e n t o f l a b o n a
empreñador	e m p ɾ e ɲ a d o ɾ
juguetonamente	x u ɡ e ˌt o n a m e n t e
monoaural	m o n o a u ɾ a l
labial	l a b j a l
operativo	o p e ɾ a t i b o
autónomos	a u t o n o m o s
capuchina	k a p u t͡ʃ i n a
desvirtuados	d e s b i ɾ t w a d o s
fornicamos	f o ɾ n i k a m o s
salteado	s a l t e a d o
alargamiento	a l a ɾ ɡ a m j e n t o
penúltima	p e n u l t i m a
elegible	e l e x i b l e
desglose	d e s ɡ l o s e
rapsoda	r a b s o d a
fontanería	f o n t a n e ɾ i a
semisedentario	s e m i s e d e n t a ɾ j o
patchwork	p a t͡ʃ w o ɾ k
flaubertianas	f l o b e ɾ t j a n a s
plantares	p l a n t a ɾ e s
imperará	i m p e ɾ a ɾ a
orbitadas	o ɾ b i t a d a s
ecléctico	e k l e ɡ t i k o
durados	d u ɾ a d o s
venerables	b e n e ɾ a b l e s
caed	k a e d
volcadas	b o l k a d a s
devotas	d e b o t a s
prestatario	p ɾ e s t a t a ɾ j o
hackearás	x a k e a ɾ a s
coreografiar	k o ɾ e o ɡ ɾ a f j a ɾ
esquivares	e s k i b a ɾ e s
okapi	o k a p i
tricoto	t ɾ i k o t o
riñón	r i ɲ o n
enfocados	e n f o k a d o s
reargüidas	r e a ɾ ɡ w i d a s
votará	b o t a ɾ a
disputador	d i s p u t a d o ɾ
tonos	t o n o s
remara	r e m a ɾ a
bilabial	b i l a b j a l
chequeados	t͡ʃ e k e a d o s
reinona	r e i n o n a
catadas	k a t a d a s
compartimentados	k o m p a ɾ t i m e n t a d o s
dentaria	d e n t a ɾ j a
encantadores	e n k a n t a d o ɾ e s
quebracho	k e b ɾ a t͡ʃ o
tirémoslas	t i ɾ e m o s l a s
galio	ɡ a l j o
limosneado	l i m o s n e a d o
babélica	b a b e l i k a
superaremos	s u p e ɾ a ɾ e m o s
cojinúa	k o x i n u a
mal	m a l
beguina	b e ɡ i n a
acábalos	a k a b a l o s
amenguados	a m e n ɡ w a d o s
pielero	p j e l e ɾ o
comprensivo	k o m p ɾ e n s i b o
opinas	o p i n a s
hipsómetros	i b s o m e t ɾ o s
panarabista	p a n a ɾ a b i s t a
chele	t͡ʃ e l e
elaborados	e l a b o ɾ a d o s
continuando	k o n t i n w a n d o
jactá	x a ɡ t a
derribar	d e r i b a ɾ
glaseado	ɡ l a s e a d o
mirla	m i ɾ l a
hidrométricas	i d ɾ o m e t ɾ i k a s
posesivos	p o s e s i b o s
espongiforme	e s p o n x i f o ɾ m e
twittero	t w i t e ɾ o
hidrográfico	i d ɾ o ɡ ɾ a f i k o
vieran	b j e ɾ a n
cuico	k w i k o
subida	s u b i d a
litigares	l i t i ɡ a ɾ e s
retirado	r e t i ɾ a d o
paliada	p a l j a d a
redimidos	r e d i m i d o s
solerlo	s o l e ɾ l o
divinado	d i b i n a d o
banqueteada	b a n k e t e a d a
hubimos	u b i m o s
cal	k a l
definiríamos	d e f i n i ɾ i a m o s
transparente	t ɾ a n s p a ɾ e n t e
torpedeados	t o ɾ p e d e a d o s
criopreservadas	k ɾ j o p ɾ e s e ɾ b a d a s
escalonar	e s k a l o n a ɾ
haríamos	a ɾ i a m o s
chontaduro	t͡ʃ o n t a d u ɾ o
gramatical	ɡ ɾ a m a t i k a l
skúa	e s k u a
engallar	e n ɡ a ʝ a ɾ
bonarda	b o n a ɾ d a
coexistir	k o e ɡ s i s t i ɾ
