ablakból	ɒ b l ɒ ɡ b oː l
acéllemez	ɒ t͡s eː lː ɛ m ɛ z
adatainak	ɒ d ɒ t ɒ j i n ɒ k
adni	ɒ d n i
ajánlattevő	ɒ j aː n l ɒ tː ɛ v øː
akad	ɒ k ɒ d
akció	ɒ k t͡s i j oː
akihez	ɒ k i ɦ ɛ z
akiknek	ɒ k i k n ɛ k
alkalmasnak	ɒ l k ɒ l m ɒ ʃ n ɒ k
alkalmazni	ɒ l k ɒ l m ɒ z n i
alkalmazása	ɒ l k ɒ l m ɒ z aː ʃ ɒ
alkalmazásának	ɒ l k ɒ l m ɒ z aː ʃ aː n ɒ k
alkotó	ɒ l k o t oː
allen	ɛ l ɛ n
amelyen	ɒ m ɛ j ɛ n
amelynél	ɒ m ɛ j n eː l
amikkel	ɒ m i kː ɛ l
amit	ɒ m i t
analfabéták	ɒ n ɒ l f ɒ b eː t aː k
andrás	ɒ n d r aː ʃ
anesztézia	ɒ n ɛ s t eː z i j ɒ
annyi	ɒ ɲː i
annál	ɒ nː aː l
antal	ɒ n t ɒ l
anyagokat	ɒ ɲ ɒ ɡ o k ɒ t
anyuka	ɒ ɲ u k ɒ
apa	ɒ p ɒ
arca	ɒ r t͡s ɒ
arcán	ɒ r t͡s aː n
attribútum	ɒ t r i b uː t u m
ausztriában	ɒ u s t r i j aː b ɒ n
autók	ɒ u t oː k
azokat	ɒ z o k ɒ t
azért	ɒ z eː r t
balatoni	b ɒ l ɒ t o n i
be	b ɛ
befejezetlen	b ɛ f ɛ j ɛ z ɛ t l ɛ n
befejezés	b ɛ f ɛ j ɛ z eː ʃ
befektetők	b ɛ f ɛ k t ɛ t øː k
bejelenteni	b ɛ j ɛ l ɛ n t ɛ n i
belüli	b ɛ l y l i
bemutatásra	b ɛ m u t ɒ t aː ʃ r ɒ
benyomni	b ɛ ɲ o m n i
benzin	b ɛ n z i n
beszerzés	b ɛ s ɛ r z eː ʃ
beszédét	b ɛ s eː d eː t
beszéljen	b ɛ s eː jː ɛ n
betegségek	b ɛ t ɛ k ʃ eː ɡ ɛ k
betyárok	b ɛ c aː r o k
betöltött	b ɛ t ø l t ø tː
birtoka	b i r t o k ɒ
bizonytalanságok	b i z o ɲ t ɒ l ɒ n ʃ aː ɡ o k
biztató	b i s t ɒ t oː
biztonságosabb	b i s t o n ʃ aː ɡ o ʃ ɒ bː
borító	b o r iː t oː
buda	b u d ɒ
budapestre	b u d ɒ p ɛ ʃ t r ɛ
burkolat	b u r k o l ɒ t
buszok	b u s o k
bécsben	b eː d͡ʒ b ɛ n
bérelt	b eː r ɛ l t
bír	b iː r
büntetés	b y n t ɛ t eː ʃ
bűn	b yː n
ceremónia	t͡s ɛ r ɛ m oː n i j ɒ
cikket	t͡s i kː ɛ t
cipzár	t͡s i b z aː r
citromsav	t͡s i t r o m ʃ ɒ v
csaknem	t͡ʃ ɒ k n ɛ m
családja	t͡ʃ ɒ l aː ɟː ɒ
csap	t͡ʃ ɒ p
csapadék	t͡ʃ ɒ p ɒ d eː k
csapatok	t͡ʃ ɒ p ɒ t o k
csapatoknak	t͡ʃ ɒ p ɒ t o k n ɒ k
csatlakozik	t͡ʃ ɒ t l ɒ k o z i k
csehek	t͡ʃ ɛ h ɛ k
cseppet	t͡ʃ ɛ pː ɛ t
csillagok	t͡ʃ i lː ɒ ɡ o k
csodálatos	t͡ʃ o d aː l ɒ t o ʃ
csoki	t͡ʃ o k i
csoportját	t͡ʃ o p o r c aː t
csökkentése	t͡ʃ ø kː ɛ n t eː ʃ ɛ
csütörtök	t͡ʃ y t ø r t ø k
csütörtökön	t͡ʃ y t ø r t ø k ø n
cukor	t͡s u k o r
cégek	t͡s eː ɡ ɛ k
célkitűzés	t͡s eː l k i t yː z eː ʃ
célpontok	t͡s eː l p o n t o k
címe	t͡s iː m ɛ
debreceni	d ɛ b r ɛ t͡s ɛ n i
demokraták	d ɛ m o k r ɒ t aː k
dimenziók	d i m ɛ n z i j oː k
dobogó	d o b o ɡ oː
dolgát	d o l ɡ aː t
dönt	d ø n t
döntéshozó	d ø n t eː ʃ h o z oː
döntő	d ø n t øː
ebből	ɛ bː øː l
egerek	ɛ ɡ ɛ r ɛ k
egyenesen	ɛ ɟ ɛ n ɛ ʃ ɛ n
egyház	ɛ c h aː z
egykor	ɛ c k o r
egyre	ɛ ɟ r ɛ
egyének	ɛ ɟ eː n ɛ k
egyénileg	ɛ ɟ eː n i l ɛ ɡ
egészségbiztosítási	ɛ ɡ eː ʃː eː ɡ b i s t o ʃ iː t aː ʃ i
el	ɛ l
elektromos	ɛ l ɛ k t r o m o ʃ
elektronikus	ɛ l ɛ k t r o n i k u ʃ
elem	ɛ l ɛ m
elemző	ɛ l ɛ m z øː
elismerés	ɛ l i ʃ m ɛ r eː ʃ
eljáró	ɛ jː aː r oː
elkészítése	ɛ l k eː s iː t eː ʃ ɛ
elkövetkező	ɛ l k ø v ɛ t k ɛ z øː
ellentétes	ɛ lː ɛ n t eː t ɛ ʃ
elnézést	ɛ l n eː z eː ʃ t
elnöke	ɛ l n ø k ɛ
elnöki	ɛ l n ø k i
elnökének	ɛ l n ø k eː n ɛ k
elnökét	ɛ l n ø k eː t
elnököt	ɛ l n ø k ø t
elsődleges	ɛ l ʃ øː d l ɛ ɡ ɛ ʃ
eltérő	ɛ l t eː r øː
elvétve	ɛ l v eː t v ɛ
eléréséhez	ɛ l eː r eː ʃ eː ɦ ɛ z
előkészítése	ɛ l øː k eː s iː t eː ʃ ɛ
előleg	ɛ l øː l ɛ ɡ
előnye	ɛ l øː ɲ ɛ
előtti	ɛ l øː tː i
előítélet	ɛ l øː j iː t eː l ɛ t
emelkedő	ɛ m ɛ l k ɛ d øː
emlékszik	ɛ m l eː k s i k
emlő	ɛ m l øː
energiát	ɛ n ɛ r ɡ i j aː t
ennek	ɛ nː ɛ k
ennél	ɛ nː eː l
erdőkben	ɛ r d øː ɡ b ɛ n
eredmények	ɛ r ɛ d m eː ɲ ɛ k
eredményre	ɛ r ɛ d m eː ɲ r ɛ
eredményt	ɛ r ɛ d m eː ɲ t
erősítése	ɛ r øː ʃ iː t eː ʃ ɛ
esemény	ɛ ʃ ɛ m eː ɲ
esküvői	ɛ ʃ k y v øː j i
esti	ɛ ʃ t i
estig	ɛ ʃ t i ɡ
eszerint	ɛ s ɛ r i n t
eszközzel	ɛ s k ø zː ɛ l
eszközök	ɛ s k ø z ø k
esztek	ɛ s t ɛ k
esély	ɛ ʃ eː j
esélyekkel	ɛ ʃ eː j ɛ kː ɛ l
esős	ɛ ʃ øː ʃ
evezős	ɛ v ɛ z øː ʃ
expedíció	ɛ k s p ɛ d iː t͡s i j oː
export	ɛ k s p o r t
ezernyi	ɛ z ɛ r ɲ i
falat	f ɒ l ɒ t
fegyverek	f ɛ ɟ v ɛ r ɛ k
fejleszteni	f ɛ j l ɛ s t ɛ n i
fejlesztésének	f ɛ j l ɛ s t eː ʃ eː n ɛ k
fejlődése	f ɛ j l øː d eː ʃ ɛ
fejlődő	f ɛ j l øː d øː
feladatai	f ɛ l ɒ d ɒ t ɒ j i
felelősségtudat	f ɛ l ɛ l øː ʃː eː k t u d ɒ t
felelősségét	f ɛ l ɛ l øː ʃː eː ɡ eː t
felszínes	f ɛ l s iː n ɛ ʃ
felsőbb	f ɛ l ʃ øː bː
feltételek	f ɛ l t eː t ɛ l ɛ k
feltételez	f ɛ l t eː t ɛ l ɛ z
feltétlenül	f ɛ l t eː t l ɛ n y l
felvételek	f ɛ l v eː t ɛ l ɛ k
felére	f ɛ l eː r ɛ
felület	f ɛ l y l ɛ t
felülvizsgálat	f ɛ l y l v i ʒ ɡ aː l ɒ t
fesztivált	f ɛ s t i v aː l t
figurát	f i ɡ u r aː t
figyelembe	f i ɟ ɛ l ɛ m b ɛ
figyelmeztet	f i ɟ ɛ l m ɛ s t ɛ t
filozófiai	f i l o z oː f i j ɒ j i
fizikailag	f i z i k ɒ j i l ɒ ɡ
foci	f o t͡s i
foglalás	f o ɡ l ɒ l aː ʃ
fogni	f o ɡ n i
fogom	f o ɡ o m
folytat	f o j t ɒ t
folytatás	f o j t ɒ t aː ʃ
folytatódik	f o j t ɒ t oː d i k
fordulóban	f o r d u l oː b ɒ n
fordított	f o r d iː t o tː
forint	f o r i n t
formai	f o r m ɒ j i
forradalmi	f o rː ɒ d ɒ l m i
fotót	f o t oː t
francia	f r ɒ n t͡s i j ɒ
fronton	f r o n t o n
futás	f u t aː ʃ
fájdalmas	f aː j d ɒ l m ɒ ʃ
föld	f ø l d
földek	f ø l d ɛ k
földterület	f ø l t ɛ r y l ɛ t
függőlegesen	f y ɡː øː l ɛ ɡ ɛ ʃ ɛ n
füves	f y v ɛ ʃ
főbb	f øː bː
főnél	f øː n eː l
főpolgármester	f øː p o l ɡ aː r m ɛ ʃ t ɛ r
főszerkesztője	f øː s ɛ r k ɛ s t øː j ɛ
gazdaságot	ɡ ɒ z d ɒ ʃ aː ɡ o t
generációs	ɡ ɛ n ɛ r aː t͡s i j oː ʃ
gondoltam	ɡ o n d o l t ɒ m
grúz	ɡ r uː z
gusztustalan	ɡ u s t u ʃ t ɒ l ɒ n
gyakorol	ɟ ɒ k o r o l
gyakrabban	ɟ ɒ k r ɒ bː ɒ n
gyanúja	ɟ ɒ n uː j ɒ
gyanúsított	ɟ ɒ n uː ʃ iː t o tː
gyermekét	ɟ ɛ r m ɛ k eː t
gágog	ɡ aː ɡ o ɡ
géza	ɡ eː z ɒ
görög	ɡ ø r ø ɡ
ha	h ɒ
hagyma	h ɒ ɟ m ɒ
hagyománya	h ɒ ɟ o m aː ɲ ɒ
hagyományai	h ɒ ɟ o m aː ɲ ɒ j i
hajóra	h ɒ j oː r ɒ
hajótörést	h ɒ j oː t ø r eː ʃ t
hallgat	h ɒ l ɡ ɒ t
hallom	h ɒ lː o m
hallottam	h ɒ lː o tː ɒ m
halott	h ɒ l o tː
halálát	h ɒ l aː l aː t
hangszerek	h ɒ ŋ k s ɛ r ɛ k
harang	h ɒ r ɒ ŋ ɡ
harcot	h ɒ r t͡s o t
hasonlít	h ɒ ʃ o n l iː t
használni	h ɒ s n aː l n i
határidők	h ɒ t aː r i d øː k
határozni	h ɒ t aː r o z n i
határt	h ɒ t aː r t
hatással	h ɒ t aː ʃː ɒ l
helyek	h ɛ j ɛ k
helyeken	h ɛ j ɛ k ɛ n
helyen	h ɛ j ɛ n
helyett	h ɛ j ɛ tː
helyezett	h ɛ j ɛ z ɛ tː
hercegnőnek	h ɛ r t͡s ɛ ɡ n øː n ɛ k
heti	h ɛ t i
hiányos	h i j aː ɲ o ʃ
hiányosságok	h i j aː ɲ o ʃː aː ɡ o k
hordozó	h o r d o z oː
hormonok	h o r m o n o k
horthy	h o r t i
hozták	h o s t aː k
hozzátok	h o zː aː t o k
huszonnégy	h u s o nː eː ɟ
hálózat	h aː l oː z ɒ t
három	h aː r o m
háttér	h aː tː eː r
hétben	h eː d b ɛ n
hétvégén	h eː t v eː ɡ eː n
híd	h iː d
híreket	h iː r ɛ k ɛ t
hó	h oː
hócipője	h oː t͡s i p øː j ɛ
hő	h øː
hűvösebb	h yː v ø ʃ ɛ bː
időbeli	i d øː b ɛ l i
időktől	i d øː k t øː l
időközben	i d øː k ø z b ɛ n
időnkénti	i d øː ŋ k eː n t i
időpontban	i d øː p o n d b ɒ n
időre	i d øː r ɛ
idős	i d øː ʃ
időt	i d øː t
ifjúsági	i f j uː ʃ aː ɡ i
igazolvány	i ɡ ɒ z o l v aː ɲ
igazán	i ɡ ɒ z aː n
illik	i lː i k
illékony	i lː eː k o ɲ
immár	i mː aː r
ingatag	i ŋ ɡ ɒ t ɒ ɡ
ingatlant	i ŋ ɡ ɒ t l ɒ n t
inget	i ŋ ɡ ɛ t
ingyen	i ɲ ɟ ɛ n
ipar	i p ɒ r
irigykedik	i r i c k ɛ d i k
irányuló	i r aː ɲ u l oː
irányzat	i r aː ɲ z ɒ t
ismertebb	i ʃ m ɛ r t ɛ bː
isteni	i ʃ t ɛ n i
izraeli	i z r ɒ ɛ l i
izzok	i zː o k
jaj	j ɒ j
jegyzet	j ɛ ɟ z ɛ t
jelentősebb	j ɛ l ɛ n t øː ʃ ɛ bː
jellemzően	j ɛ lː ɛ m z øː ɛ n
jelöltek	j ɛ l ø l t ɛ k
jobb	j o bː
jogszabályok	j o k s ɒ b aː j o k
jogát	j o ɡ aː t
junior	j u n i j o r
jutott	j u t o tː
jutunk	j u t u ŋ k
jártak	j aː r t ɒ k
járunk	j aː r u ŋ k
járványok	j aː r v aː ɲ o k
játékban	j aː t eː ɡ b ɒ n
játékok	j aː t eː k o k
jönnek	j ø nː ɛ k
kalandor	k ɒ l ɒ n d o r
kankalin	k ɒ ŋ k ɒ l i n
kapcsolattartás	k ɒ p t͡ʃ o l ɒ tː ɒ r t aː ʃ
kapjanak	k ɒ p j ɒ n ɒ k
kapjuk	k ɒ p j u k
kapott	k ɒ p o tː
kaptak	k ɒ p t ɒ k
kar	k ɒ r
karbantartások	k ɒ r b ɒ n t ɒ r t aː ʃ o k
kategóriát	k ɒ t ɛ ɡ oː r i j aː t
katona	k ɒ t o n ɒ
kelenföld	k ɛ l ɛ ɱ f ø l d
kelljen	k ɛ jː ɛ n
kellő	k ɛ lː øː
kemény	k ɛ m eː ɲ
