yavstvenno	j a f s t vj i n a
gomer	g a mj e r
spletavshy	s p lj i t a f s i j
usynovlyaite	u s i n a v lj a j tj e
lda	lj d a
prozvuchish	p r a z v u tc i s
satirakh	s a tj i r a x
remiksov	rj i mj i k s a f
zaleplyayu	z a lj i p lj a j u
absorbirovaniyami	a p s a r bj i r a v a nj i j a mj i
plavkoyu	p l a f k a j u
zashumit	z a s u mj i t
muzhenenavistnichestvam	m u z i nj i n a vj i sj nj i tc i s t v a m
zolotistym	z a l a tj i s t i m
katerochkakh	k a tj i r o tc k a x
smeyalos	s mj i j a l a sj
zamyslu	z a m i s l u
semiugolnika	sj i mj i u g o lj nj i k a
prisyagnuvshi	p rj i sj i g n u f s i
ponosyat	p a n o sj a t
izuchites	i z u tc i tj i sj
pomoikoyu	p a m o j k a j u
anglitsizatsieyu	a n g lj i ts i z a ts i j i j u
pryshchavyi	p r i cː a v i j
usopla	u s o p l a
poletat	p a lj i t a tj
ukutyvayushchy	u k u t i v a j u cː i j
murui	m u r u j
summiruesh	s u mj i r u j i s
sekta	sj e k t a
zakleite	z a k lj e j tj e
amilazoi	a mj i l a z a j
posodeistvovat	p a s a dj e j s t v a v a tj
opyanivshy	a p ⁽j ⁾ j i nj i f s i j
zagovarivaites	z a g a v a rj i v a j tj i sj
uzhestocheniya	u z i s t a tc e nj i j a
raspravakh	r a s p r a v a x
letnyi	lj e t n i j
dubu	d u b u
zagadit	z a g a dj i t
propitaites	p r a pj i t a j tj i sj
otschetakh	a tc cː o t a x
desnitsu	dj i sj nj i ts u
obuevala	a b u j i v a l a
vertlug	vj i r t l u k
navevavshy	n a vj i v a f s i j
poligrafiyakh	p a lj i g r a fj i j a x
zapadaesh	z a p a d a j i s
dozreyu	d a z rj e j u
vzyskivaete	v z i s kj i v a j i tj e
izyanami	i z j a n a mj i
metafiziku	mj i t a fj i zj i k u
veseleesh	vj i sj i lj e j i s
tekhnokratiyu	tj i x n a k r a tj i j u
prigorodom	p rj i g a r a d a m
pionerov	pj i a nj e r a f
poruchitelstvom	p a r u tc i tj i lj s t v a m
gostyakh	g o sj tj j a x
podtyagivayus	p a tjː a gj i v a j u sj
prischityvai	p rj i cː i t i v a j
ottayalo	a t a j i l a
opushalas	a p u s a l a sj
poklonnichestvo	p a k l o nj i tc i s t v a
ablautov	a b l a u t a f
otekayu	a tj i k a j u
stipendy	sj tj i pj e nj dj i j
kromkoi	k r o m k a j
vlyapalsya	v lj a p a l s ⁽j ⁾ a
uverovat	u vj e r a v a tj
tusknevshi	t u s k nj e f s i
prokalyvaesh	p r a k a l i v a j i s
skonfuzyat	s k a n f u zj a t
izvinyali	i z vj i nj a lj i
pofigizmami	p a fj i gj i z m a mj i
murzikami	m u r zj i k a mj i
rekvizitsiyami	rj i k vj i zj i ts i j a mj i
administratsiyakh	a d mj i nj i s t r a ts i j a x
ottashchila	a t a cː i l a
srodnivshy	s r a dj nj i f s i j
nedolyublivaite	nj i d a lj u b lj i v a j tj e
mnozhitsya	m n o z i ts a
nardy	n a r d i
isteki	i sj tj i kj i
pravookhranitelnyi	p r a v a a x r a nj i tj i lj n i j
vyskablivaya	v i s k a b lj i v a j a
audite	a u dj i tj e
obvil	a b vj i l
shepnuv	s i p n u f
gorkoi	g o r k a j
fleksiynyi	f lj i k sj i j n i j
svyatoyu	s vj i t o j u
kastanety	k a s t a nj j e t i
podeistvovat	p a dj e j s t v a v a tj
kebabakh	kj i b a b a x
ozhivlyaites	a z i v lj a j tj i sj
osklablyayu	a s k l a b lj a j u
uklonenii	u k l a nj e nj i i
adekvatnostyakh	a d i k v a t n a sj tj a x
analiziruet	a n a lj i zj i r u j i t
lososya	l a s o sj a
babosam	b a b o s a m
vosstanut	v a s t a n u t
krasiv	k r a sj i f
chaikovsky	tc i j k o f s kj i j
asinkhronnyi	a sj i n x r o n i j
mirovymi	mj i r a v i mj i
vakansiyu	v a k a n ⁽j ⁾ sj i j u
vodyanogo	v a dj i n o v a
obrosshy	a b r o s i j
tekilakh	tj i kj i l a x
nasazhdavshi	n a s a z d a f s i
disketakh	dj i s kj e t a x
priplyasyvat	p rj i p lj a s i v a tj
plesh	p lj e s
predyavitsya	p rj i d j a vj i ts a
razmyagchaemyi	r a z mj i x tc a j i m i j
zapryagut	z a p rj i g u t
nastuchav	n a s t u tc a f
guberniyakh	g u bj e r nj i j a x
unesetes	u nj i sj o tj i sj
raskachivaemsya	r a s k a tc i v a j i m sj a
bolnai	b a lj n a i
pomazannikov	p a m a z a nj i k a f
numeratsiei	n u mj i r a ts i j i j
izgotovleniem	i z g a t a v lj e nj i j i m
derzhava	dj i r z a v a
umirish	u mj i rj i s
