آر	ɑ r
آره	ɑ r a
آسو	ɑ s u
آيات	ɑ j ɑ t̪
ابادول	a b ɑ d̪ a w ə l
اتل	a t̪ ə l
اتله	a t̪ ə l a
اته	a t̪ ə
اتيا	a t̪ j ɑ
اتڼ	a t̪ a ɳ
اخته	a x t̪ a
اخلم	a x l ə m
اخيستل	a x i s t ə l
اخښل	a . ˈx ə l
اخښی	ˈa x . ʂ a i
ارزان	a r . z ɑ n
ارزانه	a r z ɑ n a
ارزښت	a r . z ə ʂ t̪
ارمان	a r m ɑ n
اري	a r i
اس	a s
استول	a s t a w ə l
اسمان	a s m ɑ n
اسماني	a s m ɑ n i
اسټراليا	a s ʈ r ɑ l j ɑ
اسپانيا	ɑ s p ɑ n j ɑ
اسپه	a s p a
اغزی	a ɣ z a i
اغوندم	a ɣ u n d ə m
اغږم	a ɣ a ʐ ə m
افغانستان	a f ˈɣ ɑ n ˈɪ s ˈt ɑ n
البند	i l ˈb a n d
المانيا	a l m ɑ n j ɑ
الوبالو	a l u b ɑ l u
الوتل	a l w ə t ə l
الوتکه	a l w a t̪ ə k a
الوزم	a l w ə z ə m
امريکا	a m r i k ɑ
امريکايی	a m r i k ɑ j a ɪ
املوک	a m l u k
امېل	a ˈm e l
انا	a n ɑ
اند	a n d̪
انځور	a n d͡z o r
انځورګر	a n d͡z o r ɡ a r
انګلستان	ɪ ŋ ɡ . l ɪ s . t̪ ɑ n
انګوړی	a n ɡ o ɺ ˞ a i
اهاړ	a h ɑ ɻ
اهوړ	a ˈh u ɽ
او	a w
اوباسم	u b ɑ s ə m
اوبه	o b ə
اور	o r
اورلوبه	o r l o b a
اورم	a w r ə m
اورول	a w r a w ə l
اوريګامي	o r i ɡ ɑ m i
اورګاډی	o r . ɡ ɑ . ɖ a ɪ
اورېدل	a w r e d ə l
اورېدونکی	a w r e d u n k a i
اوسم	o s ə m
اوسېدونکی	o s e d̪ u n k a ɪ
اوسېدونکې	o s e d̪ u n k e
اوش	o ʃ
اوشه	o ʃ a
اولس	u l ə s
اوم	u m
اومامي	u m ɑ m i
اووه	u w ə
اويم	o j ə m
اوړم	a w ɺ ˞ ə m
اوړی	o ɻ a ɪ
اوږه	o ʐ a
ايستل	i s t ə l
ايسلنډ	a i s ˈl ə ŋ ɖ
اينو	i n o
اپريدی	a p r i d̪ a ɪ
اپيم	a p i m
اپين	a p i n
اچول	a t͡ʃ a w ə l
اړخ	a ɺ̢ x
اګل	a ɡ a l
اېخ	e x
اېسټونيا	e s ʈ o n j ɑ
اېموجي	e m o d͡ʒ i
اېکوادور	e k w ɑ d o r
بابا	b ɑ ˈb ɑ
بادول	b ɑ d a w ə l
باران	b ɑ ˈr ɑ n
بارول	b ɑ r a w ə l
بازو	b ɑ z u
باغ	b ɑ ɣ
باغوان	b ɑ ɣ w ɑ n
بالښت	b ɑ ˈl ə ʂ t
بام	b ɑ m
باندې	b ɑ n d e
بته	b ə t̪ a
بخښل	b a ˈx ə l
بخښنه	b a x . x ə . n a
بد	b ə d
بدرو	b a d̪ r u
بدسترګی	b a d s t ə r ɡ a i
بدلاری	b a d l ɑ r a i
بدلېدل	b a d l e d ə l
بدمخی	b ə d m ə x a i
بده	b ə d a
برابر	b a r ɑ ˈb a r
برايي	b ə r ɑ j i
بربنډ	b ə r b ə ŋ ɖ
برتانيه	b a r t ɑ n j a
برج	b r a d͡ʒ
برجۍ	b ʊ r d͡ʒ ə i
برطانيه	b a r t . ɑ n . j a
برغټ	b ə r ɣ ə ʈ
بريتانيا	b r i t ɑ n i ˈj ɑ
برېت	b r e t̪
بغری	b a ɣ a r a ɪ
بغور	b ə ɣ w ə r
بلا	b ə ˈl ɑ
بلغارستان	b o l . ɣ ɑ . r ɪ s . t̪ ɑ n
بلغاريا	b o l ɣ ɑ r ˈj ɑ
بلغاريه	b u l ɣ ɑ r j a
بلل	b a l ə l
بن	b ə n
بنج	b a n d͡ʒ
بنده	b a n d̪ a
بندي	b ə n d̪ i
بنګېدل	b ə ŋ ɡ e d ə l
به	b a
بهېدل	b ə h e d ə l
بهېږم	b a h e ɡ ə m
بوخت	b o x t̪
بوره	b u r a
بوزېدل	b u z e d ə l
بولم	b o l ə m
بونا	b o n ɑ
بوټان	b u ʈ ɑ n
بوټپوهنه	b u ʈ p o h ə n a
بوڼېدل	b u ɳ e d ə l
بيا	b j ɑ
بيايم	b j ɑ j ə m
بيزو	b i z o
بيول	b i w ə l
بييی	b i j a ɪ
بيژکۍ	b i ʒ a k ə i
بڅرکی	b ə t͡s ə r k a ɪ
بچ	b a t͡ʃ
بډایه	b u ˈd aː . j a
بړستن	b ɺ ˞ ə s t ə n
بکاڼه	b a k ɑ ɳ a
بڼ	b a ɳ
بڼکی	b ə ɳ k a ɪ
بې	b e
بېخي	b e x i
بېـ	b e
بېل	b e l
بېلتون	b e l t̪ u n
بېلچه	b e l c h a
بېړۍ	b e ɽ ə i
تاسو	t ɑ s o
تاسې	ˈt ɑ s e
تانوکی	t̪ ɑ n u k a ɪ
تانۀ	t̪ ɑ n ə
تاو	t ɑ w
تاوول	t ɑ w a w ə l
تل	t æ l
تلل	t̪ l ə l
تنور	t̪ ə n u r
ته	t a
توت	t̪ u t̪
تود	t̪ o d̪
تودوخي	t ə w d u x i
تويول	t o j a w ə l
توپان	t̪ o p ɑ n
تَپُوس	t a ˈp o s
تڼۍ	t̪ a ɳ ə i
تۀ	t ə
تېروتل	t̪ e r w a t̪ ə l
تېروتنه	t̪ e r w a t̪ ə n a
تېرۀ	t̪ e r ə
جلا	d ʒ ə l ɑ
جنکۍ	d͡ʒ i n ə k ə i
جنګول	d ʒ a ŋ ɡ a w ə l
جنګيالی	d͡ʒ ə ŋ ɡ j ɑ l a i
جنۍ	d ʒ i n ə i
جوړ	d ʒ o ɻ
جوړول	d͡ʒ o ɽ a w ə l
جکړ	d͡ʒ a k a ɽ
جګتيا	d͡ʒ ə ɡ t̪ j ɑ
جګړن	d͡ʒ ə ɡ ɺ ˞ ə n
جګړه	d͡ʒ ə ɡ ə ɺ ˞ a
جګړول	d ʒ a ɡ ɺ ˞ a w ə l
جې	d͡ʒ e
جېبوتي	j e b u t̪ i
خام	x ɑ m
خت	x ə t̪
ختل	x a t̪ ə l
ختيځ	x a t̪ i d͡z
خمچې	x ə m a t͡ʃ e
خواشينی	x w ɑ ʃ i n a i
خواږه	x w ɑ ʐ ə
خور	x o r
خوله	x w l ə
خونه	ˈx u n a
خوټه	x w ə ʈ a
خوړنځی	x w ə ɻ ə n d͡z a ɪ
خوږ	x o ʐ
خيدک	x a i d ə k
خيرن	x i r ə n
خپرونه	x p a r a w ə n a
خپسه	x ə p ə s a
خپه	x ə p a
خړ	x ə ɻ
خېټه	x e ʈ a
دا	d̪ ɑ
دارو	d ɑ ˈr u
داسې	d ɑ s e
دانه	d ɑ n a
دانګ	ɖ ɑ ŋ ɡ
داړل	d ɑ ɺ ˞ ə l
در	d a r
درزي	d̪ a r z i
درمل	d̪ a r m a l
درملتون	d̪ ə r m ə l t̪ u n
درملپوهنه	d̪ ə r m ə l p o h ə n a
دروزه	d̪ r u z a
دروستل	d ə r w ə s t̪ ə l
دروغ	d̪ r o ɣ
دروند	d̪ r u ŋ d̪
درکول	d a r k a w ə l
درېدل	d̪ r e d̪ ə l
درېږم	d a ˈr e ɡ ə m
دعوه	d̪ ɑ w a
دوبی	d̪ o b a i
دود	d̪ o d̪
دونه	d̪ o n a
دوه	d w a
دوولس	d w o l a s
دويم	d̪ w a i m
ديارلس	d̪ j ɑ r l ə s
دړد	d̪ ə ɺ ˞ d̪
دی	d̪ a i
دې	d̪ e
دېو	d̪ e w
دېګ	d̪ e ɡ
دېګلی	d̪ e ɡ l a ɪ
ذکر	z ɪ k ə r
را	r ɑ
راتلل	r ɑ t̪ l ə l
راسې	r ɑ s e
راهیسې	r ɑ h i s e
راوستل	r ɑ w ə s t̪ ə l
راولم	r ɑ w a l ə m
راوړل	r ɑ w ɽ ə l
راکول	r ɑ k a w ə l
رحم	r a ˈh ə m
رسنۍ	r ə s ə n a i
رنډۍ	r ə n ɖ ə i̯
روسيه	r u s j a
روغتون	r o ɣ t̪ u n
روغتيا	r o ɣ t j ɑ
رول	r o l
رڼا	r ə ˈɳ ɑ
رېبز	r e b ə z
زامبه	z ɑ m b a
زاڼه	z ɑ ɳ a
زباتل	z b ɑ t̪ ə l
زبرځواک	z ə b ə r d͡z w ɑ k
زبرګ	z b ə r ɡ
زده	z d̪ a
زر	z ə r
زرغون	z ə r ɣ u n
زغره	ˈz ɣ ə r a
زغمل	z ɣ a m ə l
زلیخا	z ʊ . l ə i . x a
زما	z m ɑ
زمری	z m a r a ɪ
زمرۍ	z m a r ə i
زمونږ	z ə m u n ɡ
زموږ	z m u ʐ
زوی	z o ɪ
زڼکی	z ɘ ɳ k ɑ i
زېږېدل	z e ˈʐ e ˈd ə l
ساپټ	s ɑ ˈp a ʈ
ساړه	s ɑ ɺ̢ ə
ساک	s ɑ k
ستا	s t̪ ɑ
ستاسو	s t̪ ɑ s o
ستاسې	s t ɑ s e
ستر	s t ə r
سترګه	s t̪ ə r ɡ a
ستوری	s t̪ o r a ɪ
سخی	s x a ɪ
سره	s ə r a
سرېښ	s r e x
سل	s ə l
سم	s ə m
سمندر	s ə m ə n d̪ ə r
سنډا	s a n ɖ ɑ
سور	s u r
سورلنډی	s u r l ə n ɖ a i
سوماليا	s o m ɑ l j ɑ
سومر	s u m ə r
سوړ	s o ɻ
سوی	s o j
سوېل	s w e l
سيلۍ	s i l ə i
سيمه	s i m a
سټک	s a ʈ a k
سپرلی	s p ɑ r ˈl a i
سپره	s p ə r a
سپنج	s p ə ŋ d͡ʒ
سپوږمۍ	s p o ʐ ˈm ə i
سپين	s p i n
سپک	s p a k
سپی	s p a ɪ
سپېلني	s p e . l a ˈn i
سړه	s ə ɻ a
سړی	s a ɺ̢ a ɪ
سږى	s ə ˈ. ʐ a ɪ
سکالو	s k ɑ l o
سکه	s a k a
سېلۍ	s e l ə i
شالي	ʃ ɑ l i
شاهد	ʃ ɑ ˈh e d
شرم	ʃ a r a m
شرمښ	ʃ ə r ˈm ə ʂ
شروع	ʃ ʊː r ʊː
شغال	ʃ a ˈɣ ɑ l
شل	ʃ ə l
شلتالو	ʃ a l t̪ ɑ l u
شمېرپوهنه	ʃ m e r p o h ə n a
شوتالو	ʃ a w t̪ ɑ l u
شول	ʃ w ə l
شوملې	ʃ u m . l e
شومېر	ʃ u m e r
شونی	ʃ o n a i
شين	ʃ i n
شيګره	ʃ i ɡ a r a
شپاړس	ʃ p ɑ ɺ ˞ ə s
شپږ	ʃ p a ɡ
شپېته	ʃ p e t ə
شډل	ʃ ə ɖ ə l
طالب	t̪ ɑ l ɪ b
غاښ	ɣ ɑ ʂ
غبرګاوی	ɣ b a r ɡ ɑ w a i
غر	ɣ a r
غريز	ɣ a r ˈi z
غرڅنی	ɣ a r t͡s ə n a i
غل	ɣ a l
غلا	ɣ l ɑ
غلط	ɣ a . l a ˈt̪
غمجن	ɣ a m d͡ʒ a n
غندل	ɤ a n d̪ ə l
غنم	ɣ a n ə m
غوا	ɣ w ɑ
غواړم	ɣ w ɑ ɺ̢ ə m
غوبه	ɣ o b a
غوره	ɣ w ə r a
غورځنګ	ɣ o r ˈd͡z a ŋ ɡ
غورځول	ɣ o r d͡z a w ə l
غومبه	ɣ u m b a
غونه	ɣ u n a
غونډ	ɣ w ə ŋ ɖ
غونډاری	ɣ w ə n . ɖ ɑ . r a i
