difónicas	d i f o n i k a s
proclamados	p ɾ o k l a m a d o s
esprín	e s p ɾ i n
jugadas	x u ɡ a d a s
disputable	d i s p u t a b l e
solaré	s o l a ɾ e
leninistas	l e n i n i s t a s
fotografiados	f o t o ɡ ɾ a f j a d o s
deformar	d e f o ɾ m a ɾ
fijar	f i x a ɾ
monitorear	m o n i t o ɾ e a ɾ
cuasidelito	k w a s i d e l i t o
contrarrestadas	k o n t ɾ a r e s t a d a s
desintegrar	d e s i n t e ɡ ɾ a ɾ
germanio	x e ɾ m a n j o
hanguear	a n ɡ e a ɾ
fariano	f a ɾ j a n o
adores	a d o ɾ e s
presupuestario	p ɾ e s u p w e s t a ɾ j o
Fani	f a n i
disparado	d i s p a ɾ a d o
aduana	a d w a n a
abluidas	a b l w i d a s
amillararemos	a m i ʝ a ɾ a ɾ e m o s
lamentaste	l a m e n t a s t e
detectados	d e t e ɡ t a d o s
indumentaria	i n d u m e n t a ɾ j a
alcano	a l k a n o
góndola	ɡ o n d o l a
brótola	b ɾ o t o l a
reintensificado	r e i n t e n s i f i k a d o
pisamos	p i s a m o s
cantalupo	k a n t a l u p o
premeditar	p ɾ e m e d i t a ɾ
pegón	p e ɡ o n
espectrómetros	e s p e ɡ t ɾ o m e t ɾ o s
empapelar	e m p a p e l a ɾ
lisosómico	l i s o s o m i k o
llamarlos	ʝ a m a ɾ l o s
temblequeado	t e m b l e k e a d o
alojara	a l o x a ɾ a
pavo	p a b o
aireadas	a i ɾ e a d a s
Cauquenes	k a u k e n e s
variables	b a ɾ j a b l e s
carcanapire	k a ɾ k a n a p i ɾ e
designado	d e s i ɡ n a d o
garabateada	ɡ a ɾ a b a t e a d a
vermiculadas	b e ɾ m i k u l a d a s
consensuar	k o n s e n s w a ɾ
deambuladas	d e a m b u l a d a s
oncohematológico	o n k o e m a t o l o x i k o
juguetonamente	x u ɡ e ˌt o n a m e n t e
monoaural	m o n o a u ɾ a l
desvirtuados	d e s b i ɾ t w a d o s
elegible	e l e x i b l e
fontanería	f o n t a n e ɾ i a
semisedentario	s e m i s e d e n t a ɾ j o
ecléctico	e k l e ɡ t i k o
caed	k a e d
volcadas	b o l k a d a s
prestatario	p ɾ e s t a t a ɾ j o
coreografiar	k o ɾ e o ɡ ɾ a f j a ɾ
okapi	o k a p i
riñón	r i ɲ o n
reinona	r e i n o n a
encantadores	e n k a n t a d o ɾ e s
galio	ɡ a l j o
babélica	b a b e l i k a
superaremos	s u p e ɾ a ɾ e m o s
amenguados	a m e n ɡ w a d o s
hipsómetros	i b s o m e t ɾ o s
chele	t͡ʃ e l e
elaborados	e l a b o ɾ a d o s
continuando	k o n t i n w a n d o
derribar	d e r i b a ɾ
posesivos	p o s e s i b o s
twittero	t w i t e ɾ o
hidrográfico	i d ɾ o ɡ ɾ a f i k o
vieran	b j e ɾ a n
definiríamos	d e f i n i ɾ i a m o s
torpedeados	t o ɾ p e d e a d o s
criopreservadas	k ɾ j o p ɾ e s e ɾ b a d a s
haríamos	a ɾ i a m o s
chontaduro	t͡ʃ o n t a d u ɾ o
engallar	e n ɡ a ʝ a ɾ
andaos	a n d a o s
depilar	d e p i l a ɾ
dialogadas	d j a l o ɡ a d a s
tened	t e n e d
atutía	a t u t i a
sobrescribir	s o b ɾ e s k ɾ i b i ɾ
Donaire	d o n a i ɾ e
aviará	a b j a ɾ a
multáramos	m u l t a ɾ a m o s
numerable	n u m e ɾ a b l e
oleados	o l e a d o s
Goliat	ɡ o l j a t
tardadas	t a ɾ d a d a s
sacristía	s a k ɾ i s t i a
aglomeradas	a ɡ l o m e ɾ a d a s
sunroof	s a n r u f
peligro	p e l i ɡ ɾ o
arraigar	a r a i ɡ a ɾ
jacau	x a k a u
codifiques	k o d i f i k e s
IFE	i f e
escavar	e s k a b a ɾ
autómata	a u t o m a t a
difractada	d i f ɾ a ɡ t a d a
padouca	p a d o u k a
koala	k o a l a
compensadas	k o m p e n s a d a s
desincorporar	d e s i n k o ɾ p o ɾ a ɾ
confesora	k o n f e s o ɾ a
villalbés	b i ʝ a l b e s
impetrado	i m p e t ɾ a d o
alcaldada	a l k a l d a d a
tascó	t a s k o
archivado	a ɾ t͡ʃ i b a d o
achorar	a t͡ʃ o ɾ a ɾ
posibles	p o s i b l e s
abarrares	a b a r a ɾ e s
amohinadas	a m o i n a d a s
tururú	t u ɾ u ɾ u
atravesar	a t ɾ a b e s a ɾ
sobresaltadas	s o b ɾ e s a l t a d a s
abacoras	a b a k o ɾ a s
aserrados	a s e r a d o s
compurgar	k o m p u ɾ ɡ a ɾ
chingongo	t͡ʃ i n ɡ o n ɡ o
fondeados	f o n d e a d o s
modifico	m o d i f i k o
supuesto	s u p w e s t o
presa	p ɾ e s a
acostaste	a k o s t a s t e
súcubo	s u k u b o
intervalo	i n t e ɾ b a l o
psicofisiología	s i k o f i s j o l o x i a
encanijar	e n k a n i x a ɾ
desgarrante	d e s ɡ a r a n t e
agusánese	a ɡ u s a n e s e
coescriptas	k o e s k ɾ i b t a s
Blas	b l a s
bamba	b a m b a
trastabillear	t ɾ a s t a b i ʝ e a ɾ
tortures	t o ɾ t u ɾ e s
penco	p e n k o
envolver	e m b o l b e ɾ
mixturamos	m i ɡ s t u ɾ a m o s
caricatures	k a ɾ i k a t u ɾ e s
periquitos	p e ɾ i k i t o s
abreviara	a b ɾ e b j a ɾ a
desclasificado	d e s k l a s i f i k a d o
guiñadas	ɡ i ɲ a d a s
gobernados	ɡ o b e ɾ n a d o s
hilandera	i l a n d e ɾ a
conjuntadas	k o n x u n t a d a s
administráramos	a d m i n i s t ɾ a ɾ a m o s
alguien	a l ɡ j e n
cabreada	k a b ɾ e a d a
Alexandrescu	a l e ɡ s a n d ɾ e s k u
varsoviano	b a ɾ s o b j a n o
monárquica	m o n a ɾ k i k a
pastes	p a s t e s
influjo	i n f l u x o
dietilo	d j e t i l o
desprotegida	d e s p ɾ o t e x i d a
coordinadas	k o o ɾ d i n a d a s
remoloneada	r e m o l o n e a d a
petipuá	p e t i p w a
evangelio	e b a n x e l j o
fosforosa	f o s f o ɾ o s a
chaquetita	t͡ʃ a k e t i t a
copada	k o p a d a
Argentina	a ɾ x e n t i n a
brie	b ɾ i
legítima	l e x i t i m a
matas	m a t a s
vételo	b e t e l o
coexista	k o e ɡ s i s t a
restauraste	r e s t a u ɾ a s t e
afiebrada	a f j e b ɾ a d a
fundidas	f u n d i d a s
englobadas	e n ɡ l o b a d a s
argüimos	a ɾ ɡ w i m o s
inhabitable	i n a b i t a b l e
invernaderos	i m b e ɾ n a d e ɾ o s
hipovolémicas	i p o b o l e m i k a s
fenghuang	f e n x w a n
próximo	p ɾ o ɡ s i m o
marihuanas	m a ɾ i w a n a s
estrafalario	e s t ɾ a f a l a ɾ j o
portera	p o ɾ t e ɾ a
laudados	l a u d a d o s
reseñada	r e s e ɲ a d a
desabejar	d e s a b e x a ɾ
vedarte	b e d a ɾ t e
angostados	a n ɡ o s t a d o s
hablémoos	a b l e m o o s
suyos	s u ʝ o s
repoblar	r e p o b l a ɾ
tatuada	t a t w a d a
protesta	p ɾ o t e s t a
culito	k u l i t o
enjertal	e n x e ɾ t a l
enfriadas	e n f ɾ j a d a s
prontito	p ɾ o n t i t o
