عميق	ʕ a m iː q
منبه	m u n a b b i h
حورس	ħ uː r u s
محول	m u ħ a w w i l
بلغم	b a l ɣ a m
متسامح	m u t a s aː m i ħ
كتابة	k i t aː b a
مجري	m a d͡ʒ a r i j j
سجين	s a d͡ʒ iː n
تذكار	t a ð k aː r
خرزة	x u r z a
ترصد	t a r a sˤ sˤ a d a
طنجيرة	tˤ a n d͡ʒ iː r a
محمد	m a ħ m a d
رونق	r a w n a q
حيوان	ħ a j a w aː n
عفيف	ʕ a f iː f
إقالة	ʔ i q aː l a
كادس	k aː d i s
شحاذة	ʃ i ħ aː ð a
جرذ	d͡ʒ u r a ð
سار	s aː r r
أقرع	ʔ a q r a ʕ
إكليل	ʔ i k l iː l
ذروة	ð u r w a
استثمار	i s t i θ m aː r
حلتيث	ħ i l t iː θ
خلاعي	x a l aː ʕ i j j
تعليق	t a ʕ l iː q
مرادف	m u r aː d i f
بلغاري	b u l ɣ aː r i j j
أرسطوطاليس	ʔ a r i s tˤ uː tˤ aː l iː s
قبج	q a b a d͡ʒ
محن	m i ħ a n
وطني	w a tˤ a n i j j
خصوص	x u sˤ uː sˤ
مثنان	m a θ n aː n
تقدم	t a q a d d a m a
لوياثان	l a w i j aː θ aː n
أصطرك	ʔ a sˤ tˤ a r a k
نفقة	n a f a q a
مكسور	m a k s uː r
إناء	ʔ i n aː ʔ
عرنسية	ʕ a r a n s i j j a
تباطأ	t a b aː tˤ a ʔ a
ماعون	m aː ʕ uː n
مذيع	m u ð iː ʕ
قراءة	q i r aː ʔ a
حسناء	ħ a s n aː ʔ
شاهلوج	ʃ aː h a l uː d͡ʒ
وسع	w a s i ʕ a
موسكو	m uː s k uː
لكمة	l a k m a
عدمية	ʕ a d a m i j j a
جنسية	d͡ʒ i n s i j j a
كعك	k a ʕ k
عظم	ʕ a ðˤ m
أخدر	ʔ a x d a r
أمان	ʔ a m aː n
عناب	ʕ u n n aː b
لاسلطوي	l aː s u l tˤ a w i j j
برشيد	b a r ʃ iː d
إشبينة	ʔ i ʃ b iː n a
اليسع	a l j a s a ʕ
ساء	s aː ʔ a
كانون	k aː n uː n
عمى	ʕ a m m aː
نادل	n aː d i l
اختل	i x t a l l a
عاصف	ʕ aː sˤ i f
وقود	w a q uː d
عنيف	ʕ a n iː f
زعتر	z a ʕ t a r
مروحة	m i r w a ħ a
سرخس	s a r x a s
مظهر	m a ðˤ h a r
نبذة	n u b ð a
مقدونس	m a q d uː n i s
إهليلج	ʔ i h l iː l a d͡ʒ
حوب	ħ uː b
جاذبية	d͡ʒ aː ð i b i j j a
مكتب	m a k t a b
سلح	s a l a ħ a
أيهقان	ʔ a j h a q aː n
كويكب	k u w a j k i b
شبح	ʃ a b a ħ
برقوق	b a r q uː q
داعش	d aː ʕ i ʃ
وراط	w i r aː tˤ
غالبية	ɣ aː l i b i j j a
هجوم	h u d͡ʒ uː m
فسيفساء	f u s a j f i s aː ʔ
نخاع	n u x aː ʕ
جزدان	d͡ʒ i z d aː n
أذاع	ʔ a ð aː ʕ a
استيقظ	i s t a j q a ðˤ a
عربيزي	ʕ a r a b iː z i j j
إسكتلندي	ʔ i s k u t l a n d i j j
زوم	z uː m
ذئبة	ð i ʔ b a
طعام	tˤ a ʕ aː m
فاسد	f aː s i d
الصربية	a sˤ sˤ i r b i j j a
لكنة	l u k n a
ذرة	ð a r r a
عباءة	ʕ a b aː ʔ a
مقاص	m a q aː sˤ sˤ
تعطى	t a ʕ a tˤ tˤ aː
قطيفة	q a tˤ iː f a
رخخة	r i x a x a
أصبح	ʔ a sˤ b a ħ
تصادم	t a sˤ aː d a m a
قندهار	q u n d u h aː r
أموي	ʔ u m a w i j j
أعرن	ʔ a ʕ r a n a
الآن	a l ʔ aː n a
رطانة	r a tˤ aː n a
هدس	h a d a s
الحبشة	a l ħ a b a ʃ a
أتاح	ʔ a t aː ħ a
صنارة	sˤ i n aː r a
صلابة	sˤ a l aː b a
كشتبان	k u ʃ t u b aː n
تدريج	t a d r iː d͡ʒ
