swsmar	s uː s m ɒː r
twsi	t uː s iː
asfnd	e s f æ n d̪
mshkl	m u ʃ k i l
laih	l ɒː j e
'jan	ʔ e d ʒ ɒː n
shwrwi	ʃ uː ɾ æ v iː
khwshgltrin	x o ʃ ɡ e l t æ ɾ iː n
mrmi	m a r m iː
tqsir	t æ ɣ s iː ɾ
sda	s æ d ɒː
mshq	m æ ʃ ɢ
tmbr	t æ m b ɾ
bng	b æ ŋ ɡ
drha	d æ ɾ h ɒː
gaz	ɡ ɒː z
almzdh	æ l æ m z æ d e
afiwn	ʔ æ f j uː n
baet	b æː t
shlwghtr	ʃ o l uː ɣ t æ ɾ
shik	ʃ iː k
bal	b ɒː l
rhim	r æ h iː m
ashrj	æ ʃ r æ d ʒ
had	h ɒː d
spahi	s e p ɒː h iː
laih	l ɒː j e
shadman	ʃ ɒː d m ɒː n
fsil	f o s iː l
gstrdh	ɡ o s t æ ɾ d e
gab	ɡ ɒː b
shmal	ʃ o m ɒː l
arami	ɒː ɾ ɒː m iː
drzi	d æ ɾ z iː
lthh	l a s e
psi	p o s eː
admha	ɒː d æ m h ɒː
migm	m iː ɡ æ m
wijgiha	v iː ʒ e ɡ iː h ɒː
thati	z ɒː t iː
fanws	f ɒː n uː s
gz	ɡ æ z
nirwmnd	n iː ɾ uː m æ n d̪
knsrt	k o n s e ɾ t
dwdl	d o d e l
shrw'	ʃ o r uː ʔ
naw	n ɒː w
nwmd	n o w m a d
gita	ɡ iː t ɒː
bimartrin	b iː m ɒː ɾ t æ ɾ iː n
tchasht	t ʃʰ ɒː ʃ tʰ
trsaii	t æ ɾ s ɒː j iː
wai	v ɒː j
hjran	h i d͡ʒ ɾ ɒː n
rkhtn	r e x t æ n
filip	f i l i p
parsh	p ɒː ɾ s e
angikhtn	æ ŋ ɡ iː x t æ n
mjrd	m o d͡ʒ æ ɾ ɾ æ d
abrisazi	ʔ æ b ɾ iː s ɒː z iː
tariktrin	t ɒː ɾ iː k t æ ɾ iː n
khastrin	x ɒː s tʰ æ ɾ iː n
pirtr	p iː ɾ t æ ɾ
bridn	b o ɾ iː d æ n
twzi'	tʰ o ʊ̯ z iː ʔ
mrdad	m o ɾ d̪ ɒː d̪
srai	s æ ɾ ɒː j
zistshnasi	z iː s t ʃ e n ɒː s iː
wnws	v e n uː s
khwastar	x ɒː s t̪ ɒː ɾ
sridn	s o ɾ iː d æ n
fk	f æ k
bkhtr	b e x t æ ɾ
ahwaz	æ h w ɒː z
shmal	ʃ o m ɒː l
shkstni	ʃ i k æ s t̪ æ n iː
n'wz	n o ʔ uː z
mkhtl	m o x t æ l
bzaq	b o z ɒː ɣ
gari	ɡ ɒː ɾ iː
tqriba	t æ ɣ ɾ iː b æ n
jkfr	ʒ æ k f æ ɾ
kti	k a t iː
ashti	ɒː ʃ t iː
sng	s æ ŋ ɡ
wijgiha	v iː ʒ e ɡ iː h ɒː
rkhtn	r e x t æ n
pshiman	p æ ʃ iː m ɒː n
hi	h e j
