ʕmiːq	ʕ a m iː q
mnbh	m u n a b b i h
ħuːrs	ħ uː r u s
mħuːl	m u ħ a w w i l
blɣm	b a l ɣ a m
mtsaːmħ	m u t a s aː m i ħ
ktaːbة	k i t aː b a
md͡ʒriː	m a d͡ʒ a r i j j
sd͡ʒiːn	s a d͡ʒ iː n
tðkaːr	t a ð k aː r
xrzة	x u r z a
trsˤd	t a r a sˤ sˤ a d a
tˤnd͡ʒiːrة	tˤ a n d͡ʒ iː r a
mħmd	m a ħ m a d
ruːnq	r a w n a q
ħiːuːaːn	ħ a j a w aː n
ʕfiːf	ʕ a f iː f
aٕqaːlة	ʔ i q aː l a
kaːds	k aː d i s
ʃħaːðة	ʃ i ħ aː ð a
d͡ʒrð	d͡ʒ u r a ð
saːr	s aː r r
aٔqrʕ	ʔ a q r a ʕ
aٕkliːl	ʔ i k l iː l
ðruːة	ð u r w a
astθmaːr	i s t i θ m aː r
ħltiːθ	ħ i l t iː θ
xlaːʕiː	x a l aː ʕ i j j
tʕliːq	t a ʕ l iː q
mraːdf	m u r aː d i f
blɣaːriː	b u l ɣ aː r i j j
aٔrstˤuːtˤaːliːs	ʔ a r i s tˤ uː tˤ aː l iː s
qbd͡ʒ	q a b a d͡ʒ
mħn	m i ħ a n
uːtˤniː	w a tˤ a n i j j
xsˤuːsˤ	x u sˤ uː sˤ
mθnaːn	m a θ n aː n
tqdm	t a q a d d a m a
luːiːaːθaːn	l a w i j aː θ aː n
aٔsˤtˤrk	ʔ a sˤ tˤ a r a k
nfqة	n a f a q a
mksuːr	m a k s uː r
aٕnaːء	ʔ i n aː ʔ
ʕrnsiːة	ʕ a r a n s i j j a
tbaːtˤʔa	t a b aː tˤ a ʔ a
maːʕuːn	m aː ʕ uː n
mðiːʕ	m u ð iː ʕ
qraːءة	q i r aː ʔ a
ħsnaːء	ħ a s n aː ʔ
ʃaːhluːd͡ʒ	ʃ aː h a l uː d͡ʒ
uːsʕ	w a s i ʕ a
muːskuː	m uː s k uː
lkmة	l a k m a
ʕdmiːة	ʕ a d a m i j j a
d͡ʒnsiːة	d͡ʒ i n s i j j a
kʕk	k a ʕ k
ʕðˤm	ʕ a ðˤ m
aٔxdr	ʔ a x d a r
aٔmaːn	ʔ a m aː n
ʕnaːb	ʕ u n n aː b
laːsltˤuːiː	l aː s u l tˤ a w i j j
brʃiːd	b a r ʃ iː d
aٕʃbiːnة	ʔ i ʃ b iː n a
aliːsʕ	a l j a s a ʕ
saːء	s aː ʔ a
kaːnuːn	k aː n uː n
ʕmى	ʕ a m m aː
naːdl	n aː d i l
axtl	i x t a l l a
ʕaːsˤf	ʕ aː sˤ i f
uːquːd	w a q uː d
ʕniːf	ʕ a n iː f
zʕtr	z a ʕ t a r
mruːħة	m i r w a ħ a
srxs	s a r x a s
mðˤhr	m a ðˤ h a r
nbðة	n u b ð a
mqduːns	m a q d uː n i s
aٕhliːld͡ʒ	ʔ i h l iː l a d͡ʒ
ħuːb	ħ uː b
d͡ʒaːðbiːة	d͡ʒ aː ð i b i j j a
mktb	m a k t a b
slħ	s a l a ħ a
aٔiːhqaːn	ʔ a j h a q aː n
kuːiːkb	k u w a j k i b
ʃbħ	ʃ a b a ħ
brquːq	b a r q uː q
daːʕʃ	d aː ʕ i ʃ
uːraːtˤ	w i r aː tˤ
ɣaːlbiːة	ɣ aː l i b i j j a
hd͡ʒuːm	h u d͡ʒ uː m
fsiːfsaːء	f u s a j f i s aː ʔ
nxaːʕ	n u x aː ʕ
d͡ʒzdaːn	d͡ʒ i z d aː n
aٔðaːʕ	ʔ a ð aː ʕ a
astiːqðˤ	i s t a j q a ðˤ a
ʕrbiːziː	ʕ a r a b iː z i j j
aٕsktlndiː	ʔ i s k u t l a n d i j j
zuːm	z uː m
ðiːٔbة	ð i ʔ b a
tˤʕaːm	tˤ a ʕ aː m
faːsd	f aː s i d
alsˤrbiːة	a sˤ sˤ i r b i j j a
lknة	l u k n a
ðrة	ð a r r a
ʕbaːءة	ʕ a b aː ʔ a
mqaːsˤ	m a q aː sˤ sˤ
tʕtˤى	t a ʕ a tˤ tˤ aː
qtˤiːfة	q a tˤ iː f a
rxxة	r i x a x a
aٔsˤbħ	ʔ a sˤ b a ħ
tsˤaːdm	t a sˤ aː d a m a
qndhaːr	q u n d u h aː r
aٔmuːiː	ʔ u m a w i j j
aٔʕrn	ʔ a ʕ r a n a
alʔaːn	a l ʔ aː n a
rtˤaːnة	r a tˤ aː n a
hds	h a d a s
alħbʃة	a l ħ a b a ʃ a
aٔtaːħ	ʔ a t aː ħ a
sˤnaːrة	sˤ i n aː r a
sˤlaːbة	sˤ a l aː b a
kʃtbaːn	k u ʃ t u b aː n
tdriːd͡ʒ	t a d r iː d͡ʒ
aٔuːliːaːء	ʔ a w l i j aː ʔ
mnaːʕة	m a n aː ʕ a
td͡ʒrbة	t a d͡ʒ r i b a
msaːfة	m a s aː f a
ħniːf	ħ a n iː f
aٔʕtaːb	ʔ a ʕ t aː b
aٔrz	ʔ a r a z z a
bʔas	b a ʔ s
naːiːٔm	n aː ʔ i m
ħaːsm	ħ aː s i m
qliːة	q i l l i j j a
aٔss	ʔ a s s a s a
friːsة	f a r iː s a
nsˤraːniː	n a sˤ r aː n i j j
ʕiːdiːة	ʕ iː d i j j a
mrsˤbaːn	m a r sˤ a b aː n
nʕnaːʕ	n a ʕ n aː ʕ
ʕd͡ʒrfة	ʕ a d͡ʒ r a f a
qaːʕة	q aː ʕ a
iːuːns	j uː n u s
mʃrk	m u ʃ r i k
aٔʕsˤr	ʔ a ʕ sˤ a r a
qaːf	q aː f
ʃðr	ʃ a ð r
sˤdɣ	sˤ a d ɣ
θqbة	θ u q b a
sˤaːxة	sˤ aː x x a
msˤbnة	m a sˤ b a n a
mðkrة	m u ð a k k a r a
rtiːlة	r u t a j l a
aٕbliːz	ʔ i b l iː z
frqaːtˤة	f i r q aː tˤ a
aٓxr	ʔ aː x a r
miːaːnmaːr	m i j aː n m aː r
sˤrbiːaː	sˤ i r b i j aː
uːriːd	w a r iː d
mʕzf	m i ʕ z a f
aٔbaːxs	ʔ a b aː x i s u
fnd͡ʒnkʃt	f a n d͡ʒ a n k u ʃ t
alsfn	a s s u f u n
mnbr	m i n b a r
aٔʃuːs	ʔ a ʃ w a s
saːtˤ	s aː tˤ a
aٔtuːm	ʔ a t uː m
mkml	m u k a m m a l
sˤfʕ	sˤ a f a ʕ a
anthى	i n t a h aː
naːnxuːaːة	n aː n a x w aː h
mnuːr	m a n w a r
ħsˤaːn	ħ i sˤ aː n
mdaːm	m u d aː m
riːٔaːsة	r i ʔ aː s a
sˤrbiː	sˤ i r b i j j
rɣiːfة	r a ɣ iː f a
aٔsiːaːx	ʔ a s j aː x
hdaːr	h a d d aː r
mliːء	m a l iː ʔ
dbld͡ʒة	d a b l a d͡ʒ a
braːɣ	b r aː ɣ
ħiːθ	ħ a j θ u
dˤuːى	dˤ a w aː
aٕħsaːn	ʔ i ħ s aː n
maːd͡ʒd	m aː d͡ʒ i d
alsuːdaːn	a s s uː d aː n
mkaːlmة	m u k aː l a m a
bnaːiːة	b i n aː j a
aٕsnaːd	ʔ i s n aː d
d͡ʒzmaːzq	d͡ʒ a z m aː z a q
buːðiː	b uː ð i j j
tsʕmaːiːٔة	t i s ʕ u m i ʔ a
uːθiːqة	w a θ iː q a
baːrz	b aː r a z a
nzhة	n u z h a
blaːðr	b a l aː ð i r
xlnd͡ʒaːn	x a l a n d͡ʒ aː n
ald͡ʒmʕة	a l d͡ʒ u m a ʕ a
aٔbriːl	ʔ a b r iː l
mrfuːʕ	m a r f uː ʕ
tkmiːliː	t a k m iː l i j j
frks	f i r k i s
ʕbaːdة	ʕ i b aː d a
luːz	l a w z
tˤrq	tˤ a r a q a
ʕaːiːٔlة	ʕ aː ʔ i l a
siːٔm	s a ʔ i m a
alsnɣaːl	a s s i n i ɣ aː l
aٔuːqf	ʔ a w q a f a
blʕuːm	b u l ʕ uː m
mtmaːd	m u t a m aː d d
aٔtrd͡ʒ	ʔ u t r u d͡ʒ d͡ʒ
trbiːة	t a r b i j a
mluːxiːaː	m u l uː x i j j aː
tħss	t a ħ a s s a s a
naːdˤd͡ʒ	n aː dˤ i d͡ʒ
mdaːd	m i d aː d
antbh	i n t a b a h a
aٔnzl	ʔ a n z a l a
mɣn	m u ɣ a n n i n
aٕbaːdة	ʔ i b aː d a
ʕqaːl	ʕ i q aː l
aٔhdى	ʔ a h d aː
dˤaːl	dˤ aː l l
aٔbaːsxiːruːn	ʔ a b aː s x iː r uː n
dmɣة	d a m ɣ a
suːٔdd	s u ʔ d a d
trmiːm	t a r m iː m
mstʕrb	m u s t a ʕ r i b
aٔʃiːb	ʔ a ʃ j a b
sliːlى	s u l a j l aː
trkmaːnstaːn	t u r k u m aː n i s t aː n
tqliːdiː	t a q l iː d i j j
aٔsˤɣى	ʔ a sˤ ɣ aː
slaːħ	s i l aː ħ
tˤbaːq	tˤ a b b aː q
bnfsd͡ʒiː	b a n a f s a d͡ʒ i j j
artʕʃ	i r t a ʕ a ʃ a
fiːd͡ʒn	f a j d͡ʒ a n
rqiːq	r a q iː q
andml	i n d a m a l a
mʃʕr	m a ʃ ʕ a r
d͡ʒriːd	d͡ʒ a r iː d
ɣaːft	ɣ aː f a t
ʃuːniːz	ʃ uː n iː z
bħaːħ	b u ħ aː ħ
abtlaːl	i b t i l aː l
braːʃuːt	b a r aː ʃ uː t
uːfaːء	w a f aː ʔ
nsˤaːb	n a sˤ sˤ aː b
qraːsiːaː	q a r aː s i j aː
bʕθة	b a ʕ θ a
ansl	i n s a l l a
sˤuːrة	sˤ uː r a
qaːuːuːʃ	q aː w uː ʃ
ʃiːʕة	ʃ iː ʕ a
ʕiːaːdة	ʕ i j aː d a
tˤaːiːٔr	tˤ aː ʔ i r
alʔard͡ʒntiːn	a l ʔ a r d͡ʒ a n t iː n
slbaːħ	s i l b aː ħ
tuːðˤiːf	t a w ðˤ iː f
aٔiːqn	ʔ a j q a n a
msttˤiːlaːt	m u s t tˤ iː l aː t
xmsة	x a m s a
rfaːiːٔiːl	r u f aː ʔ iː l
btˤruːx	b a tˤ r uː x
mlaː	m u l l aː
ltuːaːniːaː	l i t u w aː n i j aː
baːb	b aː b
astθnaːiːٔiː	i s t i θ n aː ʔ i j j
dlb	d u l b
ʕrbiːة	ʕ a r a b i j j a
mʕaːuːnة	m u ʕ aː w a n a
axtrq	i x t a r a q a
rsaːtˤuːn	r a s aː tˤ uː n
tqrr	t a q a r r a r a
qdaːd	q a d aː d
hdf	h a d a f
aٕqaːmة	ʔ i q aː m a
astfrɣ	i s t a f r a ɣ a
aٔrdˤiː	ʔ a r dˤ i j j
aʃtbaːk	i ʃ t i b aː k
aٕmdˤaːء	ʔ i m dˤ aː ʔ
aٔʃnaːn	ʔ u ʃ n aː n
tlfaːf	t i l f aː f
bðrqtˤuːnaː	b a ð a r q a tˤ uː n aː
kmء	k a m ʔ
quːqʕة	q a w q a ʕ a
d͡ʒiːn	d͡ʒ iː n
astfz	i s t a f a z z a
naːdlة	n aː d i l a
qaːd	q aː d a
alqniːtˤrة	a l q u n a j tˤ i r a
aٔkl	ʔ a k a l a
ʃfaːf	ʃ a f f aː f
d͡ʒaːrة	d͡ʒ aː r a
ħd͡ʒr	ħ a d͡ʒ a r
amtʕdˤ	i m t a ʕ a dˤ a
sˤxd	sˤ a x a d a
liːrة	l a j r a
bnfsd͡ʒ	b a n a f s a d͡ʒ
krfs	k a r a f s
txdiːr	t a x d iː r
sˤʕuːbة	sˤ u ʕ uː b a
ʃlة	ʃ a l l a
md͡ʒsmة	m u d͡ʒ a s s a m a
kstbaːn	k u s t u b aː n
dˤaːd͡ʒʕ	dˤ aː d͡ʒ a ʕ a
aٔzʔam	ʔ a z ʔ a m a
ʕlة	ʕ i l l a
mkuːn	m u k a w w i n
ʃkaːrة	ʃ i k aː r a
mɣnaːtˤiːsiːة	m a ɣ n aː tˤ iː s i j j a
fdˤuːl	f dˤ uː l
mqʕdة	m a q ʕ a d a
brʃaːm	b i r ʃ aː m
ʕfriːt	ʕ a f r iː t
mdˤrb	m i dˤ r a b
θuːb	θ a w b
xrnq	x i r n i q
dˤiːuːn	dˤ a j w a n
fuːr	f a w r
duːaːsة	d a w w aː s a
ʕaːiːٔʃة	ʕ aː ʔ i ʃ a
d͡ʒnaːiːٔiː	d͡ʒ i n aː ʔ i j j
ħsˤrm	ħ a sˤ r a m
znbuːʕ	z a n b uː ʕ
ftʃ	f a t t a ʃ a
ɣlqة	ɣ a l q a
alʔaʃhl	a l ʔ a ʃ h a l
bdˤʕ	b i dˤ ʕ
ʃaːuːrmaː	ʃ aː w a r m aː
hnaːlk	h u n aː l i k a
ɣdˤaːdˤة	ɣ a dˤ aː dˤ a
rʃfة	r a ʃ f a
rɣuːة	r a ɣ w a
ʃaːkr	ʃ aː k i r
tfaːd͡ʒʔa	t a f aː d͡ʒ a ʔ a
sˤħsˤħ	sˤ a ħ sˤ a ħ
artfʕ	i r t a f a ʕ a
dnr	d a n n a r a
xsˤiːة	x i sˤ j a
brkriː	b a r k a r i j j
baːraːɣuːaːiː	b aː r aː ɣ u w aː j
qrmziː	q i r m i z i j j
ɣriːbة	ɣ a r iː b a
tʃuːiːq	t a ʃ w iː q
td͡ʒaːuːzaːt	t a d͡ʒ aː w u z aː t
zriːbة	z a r iː b a
ɣriːɣuːriːuːs	ɣ i r iː ɣ uː r i j uː s
sˤħaːf	sˤ a ħ ħ aː f
aftrى	i f t a r aː
ʃʕrى	ʃ a ʕ r aː
siːkraːn	s a j k a r aː n
biːʕة	b a j ʕ a
mlbs	m a l b a s
ftaːة	f a t aː h
qrtˤaːs	q i r tˤ aː s
aٔsmrة	ʔ a s m a r a
nrd͡ʒiːl	n a r d͡ʒ iː l
smʕiː	s a m ʕ i j j
d͡ʒziːٔiː	d͡ʒ u z ʔ i j j
atsʕ	i t t a s a ʕ a
