dlil	d a l i l
glw	g a l oː
dgrjnsgra	d e g a r dzh e n s g a r aː
mrnd	m a r a n d
hmam	h a m m aː m
ktab	k e t aː b
a'da	a ' z aː
pitchidn	p e tsh i d a
bradr	b a r aː d a r
rftar	r a f t aː r
shwr	sh oː r
bwi	b oː j
tchtwr	tsh e t o v r
bniadgra	b o n j aː d g a r aː
rai	r a ' j
ghaft	G aː f e t
hsht	h a sh t
pakstani	p aː k i s t aː n iː
thhn	z e h n
bhsht	b e h e sh t
rba'i	r o b aː ' iː
fhrst	f e h r e s t
draiidn	d a r aː j iː d a n
ks	k a s
bkhtr	b e x t a r
sh'b	sh o ' a b
ahng	aː h a n g
tchashni	t sh aː sh n iː
bz	b o z
swrti	s uː r a t iː
hi	h e j
sliman	s o l e j m aː n
ajazh	e dzh aː z e
pwshidn	p oː sh iː d a n
qsmt	G i s m a t
pkhtn	p o x t a n
brkhwrdar	b a r x o r d aː r
bamdad	b aː m d aː n
khkshanha	k a h k a sh aː n h aː
dtchar	d o tsh aː r
srwdn	s o r uː d a n
jambwn	zh aː m b o n
ptk	p o t k
aindh	aː j a n d a
hsab	h e s aː b
hfdh	h a b d a h
abdst	aː b d a s t
gian	g o j aː n
hnr	h o n a r
zwrkhanh	z oː r x aː n a
gwah	g o v aː h
srdar	s a r d aː r
mhm	m o h e m m
asprzh	e s p a r z e
gi	a g iː
nskhh	n o s x e
mrdha	m a r d h aː
mwssh	m o ' a s s a s e
kimia	k iː m i j aː
karwan	k aː r v aː n
mhrbani	m e h r a b aː n iː
fda	f a z aː
tqsim	t a G s i m
zirzmin	z iː r z a m iː n
pnahndh	p a n aː h a n d e
sdh	s a d a
trazw	t a r aː z uː
bab	b aː b
thbh	z e b h
dadar	d aː d aː r
alrji	aː l i r zh iː
zin	z i n
dzd	d o z d
thkr	z a k a r
msaft	m a s aː f a t
kndn	k a n d a n
knfrans	k o n f e r aː n s
migh	m e G
jnsi	dzh e n s iː
bish	b e sh
astanhi	aː s t aː n a iː
glabi	g o l aː b iː
ziad	z i j aː d
tkidn	t a k i d a n
bhtan	b o h t u n
jaigah	dzh aː j g aː h
zistshnas	z iː s t sh e n aː s
idwn	e d u n
babl	b aː b i l
mrbwt	m a r b u t
ghwr	G o v r
padash	p aː d aː sh
bimar	b e m aː r
lthh	l a s e
albrz	' a l b o r z
hdih	h a d i j a
mlaqat	m o l aː G aː t
fridwn	f e r e i d uː n
mjazat	m o d zh aː z aː t
shwrh	sh oː r e
wir	v i r
tchmidn	tsh a m i d a n
kalbd	k aː l b u d
srprsti	s a r p a r a s t iː
ikhtchal	j a x tsh aː l
adgham	e d G aː m
anghwzh	aː n G u z a
prdis	p a r d e s
hnwz	h a n oː z
graz	g o r aː z
qhrman	G a h r a m aː n
trsh	t o r sh
bimnak	b i n m aː k
jwlidn	zh uː l iː d a n
wash	v a sh
mikhwahm	m iː x aː h a m
prndgan	p a r a n d a g aː n
swrpraiz	s u r p e r a j z
dmagh	d a m aː G
khakstri	x aː k i s t a r iː
jrfa	zh a r f aː
zrnapa	z u r n aː p aː
dindari	d i n d aː r iː
bl'idn	b a l ' iː d a n
that	z aː t
tchish	t sh i sh
hmishh	h a m e sh a
mrgh	m o r G
fsl	f a s l
iaftn	j aː f t a n
blwr	b i l oː r
bngah	b o n g aː h
d'a	d o ' aː
pap	p aː p
amar	aː m aː r
istadn	i s t aː d a n
pzshk	p e z e sh k
khwrshid	x o r sh iː d
siast	s i j aː s a t
prtchm	p a r tsh a m
bkhatr	b a x aː t i r i
grwh	g o r uː h
'lawh	a l aː v a
kht	x a t
bhafrid	b e h aː f a r iː d
gw	g o v
iraq	j a r aː G
nwishgrdani	n e v iː s e g a r d aː n iː
mrdanh	m a r d aː n a
pnir	p a n i r
ashkal	a sh k aː l
snm	s a n a m
smnd	s a m a n d
tar	t aː r
snan	s e n aː n
jrfi	zh a r f iː
hkwmt	h o k uː m a t
gwn	g oː n
drwdn	d o r uː d a n
sfinh	s a f i n a
ashfth	aː sh u f t a
swrta	s u r a t iː
asfhani	e s f a h aː n iː
shm'dan	sh a m ' d aː n
qfs	G a f a s
prwaz	p a r v aː z
