अंकल	ə ŋ k ə l
अंकुर	ə ŋ k ʊ ɾ
अंकुरित	ə ŋ k ʊ ɾ ɪ t̪
अंगुली	ə ŋ ɡ ʊ l iː
अंजाम	ə ɲ d͡ʒ ɑː m
अंदर	ə n d̪ ə ɾ
अंबर	ə m b ə ɾ
अंश	ə n ʃ
अंशकालिक	ə n ʃ k ɑː l ɪ k
अकादमिक	ə k ɑː d̪ m ɪ k
अकादमी	ə k ɑː d̪ m iː
अकेला	ə k eː l ɑː
अक्सर	ə k s ə ɾ
अखाड़ा	ə kʰ ɑː ɽ ɑː
अखिल	ə kʰ ɪ l
अगर	ə ɡ ə ɾ
अगुआ	ə ɡ ʊ ɑː
अजान	ə d͡ʒ ɑː n
अजूबा	ə d͡ʒ uː b ɑː
अत्याचारी	ə t̪ j ɑː t͡ʃ ɑː ɾ iː
अदाकार	ə d̪ ɑː k ɑː ɾ
अधिकतम	ə d̪ʱ ɪ k t̪ ə m
अधीन	ə d̪ʱ iː n
अधीनता	ə d̪ʱ iː n t̪ ɑː
अनदेखा	ə n d̪ eː kʰ ɑː
अनपढ़	ə n p ə ɽʱ
अनाज	ə n ɑː d͡ʒ
अनिद्रा	ə n ɪ d̪ ɾ ɑː
अनियंत्रित	ə n iː j ə n t̪ ɾ ɪ t̪
अनुपात	ə n ʊ p ɑː t̪
अनुयायी	ə n ʊ j ɑː j iː
अन्याय	ə n j ɑː j
अपराधी	ə p ɾ ɑː d̪ʱ iː
अपेक्षाकृत	ə p eː k ʃ ɑː k ɾ ɪ t̪
अप्रत्यक्ष	ə p ɾ ə t̪ j ə k ʃ
अप्रत्याशित	ə p ɾ ə t̪ j ɑː ʃ ɪ t̪
अप्रैल	ə p ɾ ɛː l
अभिनेत्री	ə bʱ ɪ n eː t̪ ɾ iː
अभिलाषा	ə bʱ ɪ l ɑː ʃ ɑː
अमेरिका	ə m eː ɾ ɪ k ɑː
अयस्क	ə j ə s k
अरबिंद	ə ɾ b ɪ n d̪
अर्ज़ी	ə ɾ z iː
अर्जेंटीना	ə ɾ d͡ʒ eː n ʈ iː n ɑː
अर्थपूर्ण	ə ɾ t̪ʰ ə p uː ɾ n
अलमारी	ə l m ɑː ɾ iː
अल्पसंख्यक	ə l p s ə ŋ kʰ j ə k
अल्लाह	ə l l ɑːʱ
अवधारणा	ə ʋ d̪ʱ ɑː ɾ n ɑː
अवलोकन	ə ʋ l oː k ə n
असंगत	ə s ə ŋ ɡ ə t̪
असंतुष्ट	ə s ə n t̪ ʊ ʃ ʈ
असंवैधानिक	ə s ə m ʋ ɛː d̪ʱ ɑː n ɪ k
असम	ə s ə m
असाधारण	ə s ɑː d̪ʱ ɑː ɾ ə n
अस्तित्व	ə s t̪ ɪ t̪ ʋ
अस्पताल	ə s p ə t̪ ɑː l
अहमियत	ɛːʱ m iː j ə t̪
आँगन	ɑ̃ː ɡ ə n
आँच	ɑ̃ː t͡ʃ
आइसलैंड	ɑː ɪ s l ɛː n ɖ
आकाश	ɑː k ɑː ʃ
आक्रोश	ɑː k ɾ oː ʃ
आगे	ɑː ɡ eː
आज	ɑː d͡ʒ
आडवाणी	ɑː ɖ ʋ ɑː n iː
आतिशबाज़ी	ɑː t̪ ɪ ʃ b ɑː z iː
आत्मनिर्भर	ɑː t̪ m ə n ɪ ɾ bʱ ə ɾ
आधार	ɑː d̪ʱ ɑː ɾ
आधारभूत	ɑː d̪ʱ ɑː ɾ bʱ uː t̪
आना	ɑː n ɑː
