ɑɡdɛbs	ɑ ɡ d ɛ b s
ɑɡɛntʼis	ɑ ɡ ɛ n tʼ i s
ɑɡrɛsiulɔbɑ	ɑ ɡ r ɛ s i u l ɔ b ɑ
ɑdɑmiɑns	ɑ d ɑ m i ɑ n s
ɑdɑmiɑnuri	ɑ d ɑ m i ɑ n u r i
ɑdɑpʼtʼɑt͡sʰiɑ	ɑ d ɑ pʼ tʼ ɑ t͡s i ɑ
ɑvɑdmqʼɔpʰɔbɑ	ɑ v ɑ d m qʼ ɔ pʰ ɔ b ɑ
ɑvɑdmqʼɔpʰɔbs	ɑ v ɑ d m qʼ ɔ pʰ ɔ b s
ɑvɑldɛbulɛbs	ɑ v ɑ l d ɛ b u l ɛ b s
ɑvstʼriɑ	ɑ v s tʼ r i ɑ
ɑvtʼɔkʼɔlɔnɑ	ɑ v tʼ ɔ kʼ ɔ l ɔ n ɑ
ɑvtʼɔmɑtʼuri	ɑ v tʼ ɔ m ɑ tʼ u r i
ɑvʁɑnɛtʰi	ɑ v ɣ ɑ n ɛ tʰ i
ɑzri	ɑ z r i
ɑzris	ɑ z r i s
ɑzʁudi	ɑ z ɣ u d i
ɑtʰbɔbs	ɑ tʰ b ɔ b s
ɑtʰɛni	ɑ tʰ ɛ n i
ɑkʼrd͡zɑlvitʰɑd	ɑ kʼ r d͡z ɑ l v i tʰ ɑ d
ɑkʼustʼikʼuri	ɑ kʼ u s tʼ i kʼ u r i
ɑlɛkʰsɑndrɛ	ɑ l ɛ kʰ s ɑ n d r ɛ
ɑmɑɔ	ɑ m ɑ ɔ
ɑmɛrikʼɛli	ɑ m ɛ r i kʼ ɛ l i
ɑmtʰɑvrɛbs	ɑ m tʰ ɑ v r ɛ b s
ɑmindi	ɑ m i n d i
ɑmnistʼiɑ	ɑ m n i s tʼ i ɑ
ɑmɔmt͡sʼurɑvɑd	ɑ m ɔ m t͡sʼ u r ɑ v ɑ d
ɑnɑbɑri	ɑ n ɑ b ɑ r i
ɑnbɑni	ɑ n b ɑ n i
ɑnɔmɑlurɑd	ɑ n ɔ m ɑ l u r ɑ d
ɑpʼɑrɑtʼis	ɑ pʼ ɑ r ɑ tʼ i s
ɑpʼɔkʼɑlipʰsuri	ɑ pʼ ɔ kʼ ɑ l i pʰ s u r i
ɑpʼrilmɑ	ɑ pʼ r i l m ɑ
ɑrɑbid͡zɛ	ɑ r ɑ b i d͡z ɛ
ɑrɑbunɛbrivi	ɑ r ɑ b u n ɛ b r i v i
ɑrɑzustʼi	ɑ r ɑ z u s tʼ i
ɑrɑtʰɑnɑbɑri	ɑ r ɑ tʰ ɑ n ɑ b ɑ r i
ɑrɑpʼrɔpʰɛsiɔnɑluri	ɑ r ɑ pʼ r ɔ pʰ ɛ s i ɔ n ɑ l u r i
ɑrɑst͡sʼɔri	ɑ r ɑ s t͡sʼ ɔ r i
ɑrɡɛntʼinɑ	ɑ r ɡ ɛ n tʼ i n ɑ
ɑrɡumɛntʼɑt͡sʰiɑ	ɑ r ɡ u m ɛ n tʼ ɑ t͡s i ɑ
ɑrdi	ɑ r d i
ɑris	ɑ r i s
ɑrnɑχuli	ɑ r n ɑ x u l i
ɑrsɛnɑli	ɑ r s ɛ n ɑ l i
ɑrsitʰ	ɑ r s i tʰ
ɑrtʼistʼuli	ɑ r tʼ i s tʼ u l i
ɑrkʰitʼɛkʰtʼurulɑd	ɑ r kʰ i tʼ ɛ kʰ tʼ u r u l ɑ d
ɑrqʼɔpʰnɑ	ɑ r qʼ ɔ pʰ n ɑ
ɑrt͡sʰɛrtʰi	ɑ r t͡s ɛ r tʰ i
ɑrχi	ɑ r x i
ɑst͡sʼliɑni	ɑ s t͡sʼ l i ɑ n i
ɑtʼɛniɑnɛbs	ɑ tʼ ɛ n i ɑ n ɛ b s
ɑuditʼi	ɑ u d i tʼ i
ɑkʰɑnɛ	ɑ kʰ ɑ n ɛ
ɑkʰɛtʰ	ɑ kʰ ɛ tʰ
ɑkʰtʼiurɑd	ɑ kʰ tʼ i u r ɑ d
ɑʁbɛt͡ʃʼdili	ɑ ɣ b ɛ t͡ʃʼ d i l i
ɑʁɡznɛbuli	ɑ ɣ ɡ z n ɛ b u l i
ɑʁmɔɑt͡ʃʰinɛ	ɑ ɣ m ɔ ɑ t͡ʃ i n ɛ
ɑʁniʃnɑvs	ɑ ɣ n i ʃ n ɑ v s
ɑʁt͡sʼɛrɑ	ɑ ɣ t͡sʼ ɛ r ɑ
ɑʁt͡sʼɛritʰ	ɑ ɣ t͡sʼ ɛ r i tʰ
ɑqʼruɛbs	ɑ qʼ r u ɛ b s
ɑt͡sʰdɛnili	ɑ t͡s d ɛ n i l i
ɑt͡sʰχɔbs	ɑ t͡s x ɔ b s
ɑt͡sʼqʼvɛtʼinɛbs	ɑ t͡sʼ qʼ v ɛ tʼ i n ɛ b s
ɑχɑlɡɑzrdɑ	ɑ x ɑ l ɡ ɑ z r d ɑ
ɑχɑrisχɛbs	ɑ x ɑ r i s x ɛ b s
ɑd͡ʒikʼɑ	ɑ d͡ʒ i kʼ ɑ
bɑdmintʼɔni	b ɑ d m i n tʼ ɔ n i
bɑzɛli	b ɑ z ɛ l i
bɑirɑmi	b ɑ i r ɑ m i
bɑnkʼiri	b ɑ n kʼ i r i
bɑrdi	b ɑ r d i
bɑrikʼɑdɑ	b ɑ r i kʼ ɑ d ɑ
bɑrsɛlɔnɑ	b ɑ r s ɛ l ɔ n ɑ
bɑskʼi	b ɑ s kʼ i
bɑtʼɑrɛɑ	b ɑ tʼ ɑ r ɛ ɑ
bɛɡi	b ɛ ɡ i
bɛlɑ	b ɛ l ɑ
bɛrd͡znuli	b ɛ r d͡z n u l i
bɛt͡sʼvi	b ɛ t͡sʼ v i
binɑ	b i n ɑ
biurɔ	b i u r ɔ
bit͡ʃʼi	b i t͡ʃʼ i
bɔmbɑvs	b ɔ m b ɑ v s
bɔrkʼili	b ɔ r kʼ i l i
bɔrtʼzɛ	b ɔ r tʼ z ɛ
brd͡zɛni	b r d͡z ɛ n i
brd͡zɔlɑ	b r d͡z ɔ l ɑ
brd͡zɔlɑm	b r d͡z ɔ l ɑ m
burdʁɑ	b u r d ɣ ɑ
bukʰsiri	b u kʰ s i r i
ɡɑɑɡrd͡zɛlɛbs	ɡ ɑ ɑ ɡ r d͡z ɛ l ɛ b s
ɡɑɑmdidrɛbs	ɡ ɑ ɑ m d i d r ɛ b s
ɡɑzkʰurɑ	ɡ ɑ z kʰ u r ɑ
ɡɑmɔɑdɡɛbɑ	ɡ ɑ m ɔ ɑ d ɡ ɛ b ɑ
ɡɑmɔitʰkʰmis	ɡ ɑ m ɔ i tʰ kʰ m i s
ɡɑmɔmdinɑrɛ	ɡ ɑ m ɔ m d i n ɑ r ɛ
ɡɑmɔnɑqʼɑri	ɡ ɑ m ɔ n ɑ qʼ ɑ r i
ɡɑmɔsɑsqʼidi	ɡ ɑ m ɔ s ɑ s qʼ i d i
ɡɑmɔsɑt͡sʰdɛli	ɡ ɑ m ɔ s ɑ t͡s d ɛ l i
ɡɑmɔsqʼidvɑ	ɡ ɑ m ɔ s qʼ i d v ɑ
ɡɑmɔt͡sʰdili	ɡ ɑ m ɔ t͡s d i l i
ɡɑmd͡zlɛɔbɑ	ɡ ɑ m d͡z l ɛ ɔ b ɑ
ɡɑnɑtʰlɛbis	ɡ ɑ n ɑ tʰ l ɛ b i s
ɡɑnɑt͡ʃʰɛni	ɡ ɑ n ɑ t͡ʃ ɛ n i
ɡɑnɡɑʃi	ɡ ɑ n ɡ ɑ ʃ i
ɡɑnsɑχlɛbɑ	ɡ ɑ n s ɑ x l ɛ b ɑ
ɡɑnχilvɑ	ɡ ɑ n x i l v ɑ
ɡɑnχɔrt͡sʰiɛlɛbɑ	ɡ ɑ n x ɔ r t͡s i ɛ l ɛ b ɑ
ɡɑrdɛrɔbi	ɡ ɑ r d ɛ r ɔ b i
ɡɑsɑsvlɛli	ɡ ɑ s ɑ s v l ɛ l i
ɡɑsvlɑ	ɡ ɑ s v l ɑ
ɡɑst͡sʼɔrɛbɑ	ɡ ɑ s t͡sʼ ɔ r ɛ b ɑ
ɡɑuʃvɛbs	ɡ ɑ u ʃ v ɛ b s
ɡɑkʰrɔbɑ	ɡ ɑ kʰ r ɔ b ɑ
ɡɑʃɔrdɑ	ɡ ɑ ʃ ɔ r d ɑ
ɡɑd͡zlɛvtʰ	ɡ ɑ d͡z l ɛ v tʰ
ɡɛdi	ɡ ɛ d i
ɡvɑnt͡sʰɑ	ɡ v ɑ n t͡s ɑ
ɡvt͡sʼqʼuriɑ	ɡ v t͡sʼ qʼ u r i ɑ
ɡzɑ	ɡ z ɑ
ɡindɑ	ɡ i n d ɑ
ɡmirɔbɑ	ɡ m i r ɔ b ɑ
ɡɔɡirdi	ɡ ɔ ɡ i r d i
ɡɔɡrɑ	ɡ ɔ ɡ r ɑ
ɡɔimi	ɡ ɔ i m i
ɡɔlɡɔtʰɑ	ɡ ɔ l ɡ ɔ tʰ ɑ
ɡɔniɔ	ɡ ɔ n i ɔ
ɡrd͡zɛli	ɡ r d͡z ɛ l i
ɡrd͡znɔbtʰ	ɡ r d͡z n ɔ b tʰ
ɡuluχvɑd	ɡ u l u x v ɑ d
ɡult͡sʼrpʰɛlɑd	ɡ u l t͡sʼ r pʰ ɛ l ɑ d
ɡult͡sʼrpʰɛlɔbɑ	ɡ u l t͡sʼ r pʰ ɛ l ɔ b ɑ
ɡuriɑd	ɡ u r i ɑ d
dɑblɔbi	d ɑ b l ɔ b i
dɑbnɛlɛbɑ	d ɑ b n ɛ l ɛ b ɑ
dɑɡɛzɑrɛbɑtʰ	d ɑ ɡ ɛ z ɑ r ɛ b ɑ tʰ
dɑɛtʰmɔ	d ɑ ɛ tʰ m ɔ
dɑvɑ	d ɑ v ɑ
dɑvit͡sʼqʼɛtʰ	d ɑ v i t͡sʼ qʼ ɛ tʰ
dɑzɡɑ	d ɑ z ɡ ɑ
dɑtʰmɔbɑ	d ɑ tʰ m ɔ b ɑ
dɑinɑχɑvs	d ɑ i n ɑ x ɑ v s
dɑisi	d ɑ i s i
dɑkʼvirvɛbuli	d ɑ kʼ v i r v ɛ b u l i
dɑliɑ	d ɑ l i ɑ
dɑmɑkʼmɑqʼɔpʰilɛblɑd	d ɑ m ɑ kʼ m ɑ qʼ ɔ pʰ i l ɛ b l ɑ d
dɑmit͡ʃʼɛriɑ	d ɑ m i t͡ʃʼ ɛ r i ɑ
dɑmɔukʼidɛbɛli	d ɑ m ɔ u kʼ i d ɛ b ɛ l i
dɑsɑsruli	d ɑ s ɑ s r u l i
dɑsvɛnɛbɑ	d ɑ s v ɛ n ɛ b ɑ
dɑskʼvnitʰi	d ɑ s kʼ v n i tʰ i
dɑubrundɛbɑ	d ɑ u b r u n d ɛ b ɑ
dɑutʰmɔbs	d ɑ u tʰ m ɔ b s
dɑusd͡ʒɛlɑd	d ɑ u s d͡ʒ ɛ l ɑ d
dɑupʰlɛbɑ	d ɑ u pʰ l ɛ b ɑ
dɑkʰirɑvɛbuli	d ɑ kʰ i r ɑ v ɛ b u l i
dɑd͡zɑbulɔbɑ	d ɑ d͡z ɑ b u l ɔ b ɑ
dɑt͡sʼɛsɛbulɛbɑ	d ɑ t͡sʼ ɛ s ɛ b u l ɛ b ɑ
dɛvnɛbɑ	d ɛ v n ɛ b ɑ
dɛzinpʰɛkʰt͡sʰiɑ	d ɛ z i n pʰ ɛ kʰ t͡s i ɑ
dɛkʼɔrɑt͡sʰiɑ	d ɛ kʼ ɔ r ɑ t͡s i ɑ
dɛlpʰini	d ɛ l pʰ i n i
dɛmɑɡɔɡiɑ	d ɛ m ɑ ɡ ɔ ɡ i ɑ
dɛmɔɡrɑpʰiɑ	d ɛ m ɔ ɡ r ɑ pʰ i ɑ
dɛrɛpʰɑni	d ɛ r ɛ pʰ ɑ n i
dɛsɛrtʼi	d ɛ s ɛ r tʼ i
dɛspʼɔtʼizmi	d ɛ s pʼ ɔ tʼ i z m i
