непрепречен	n e p r e p r e t͡ʃ e n
рангирање	r a ŋ ɡ i ɾ a ɲ e
дошепнуван	d ɔ ʃ e p n u v a n
милување	m i ɫ u v a ɲ e
ксенофобично	k s e n ɔ f ɔ b i t͡ʃ n ɔ
чизбургер	t͡ʃ i z b u r ɡ e r
калкулира	k a ɫ k u l i ɾ a
нуспроизвод	n u s p r ɔ i z v ɔ t
трореден	t r ɔ ɾ e d e n
зол	z ɔ ɫ
сенце	s e n t͡s e
поништен	p ɔ n i ʃ t e n
брава	b r a v a
коскен	k ɔ s k e n
обичаи	ɔ b i t͡ʃ a i
спојува	s p ɔ j u v a
нададе	n a d a d e
циник	t͡s i n i k
бекнува	b e k n u v a
налепници	n a l e p n i t͡s i
ет	e t
кружно	k r u ʒ n ɔ
граничење	ɡ r a n i t͡ʃ e ɲ e
избројан	i z b r ɔ j a n
гурабии	ɡ u r a b i i
чачкање	t͡ʃ a t͡ʃ k a ɲ e
владар	v ɫ a d a r
орјатка	ɔ r j a t k a
нокширче	n ɔ k ʃ i r t͡ʃ e
сјај	s j a j
зарѓави	z a r̩ ɟ a v i
џавкајќи	d͡ʒ a f k a j c i
велипеток	v e l i p e t ɔ k
шура	ʃ u ɾ a
урниса	u r n i s a
ас	a s
хиероглиф	x i j e ɾ ɔ ɡ l i f
рамнодушно	r a m n ɔ d u ʃ n ɔ
настојува	n a s t ɔ j u v a
киевјанка	k i e v j a ŋ k a
пишува	p i ʃ u v a
експеримент	e k s p e ɾ i m e n t
патешественици	p a t e ʃ e s t v e n i t͡s i
невлезен	n e v l e z e n
диоптер	d i ɔ p t e r
колоквиум	k ɔ ɫ ɔ k v i j u m
дотрошуван	d ɔ t r ɔ ʃ u v a n
маврициец	m a v r i t͡s i j e t͡s
бигоросување	b i ɡ ɔ ɾ ɔ s u v a ɲ e
мотоциклистички	m ɔ t ɔ t͡s i k l i s t i t͡ʃ k i
поддржувач	p ɔ d d r̩ ʒ u v a t͡ʃ
кошаркар	k ɔ ʃ a r k a r
обвивка	ɔ b v i f k a
изгине	i z ɡ i n e
газиран	ɡ a z i ɾ a n
внедруван	v n e d r u v a n
оживее	ɔ ʒ i v e e
пишман	p i ʃ m a n
материјалистка	m a t e ɾ i j a l i s t k a
згаснување	z ɡ a s n u v a ɲ e
сталеж	s t a l e ʃ
неблокиран	n e b ɫ ɔ k i ɾ a n
сликнат	s l i k n a t
тимар	t i m a r
ломе	ɫ ɔ m e
компонирање	k ɔ m p ɔ n i ɾ a ɲ e
стажантка	s t a ʒ a n t k a
обземе	ɔ b z e m e
згоден	z ɡ ɔ d e n
гулабов	ɡ u ɫ a b ɔ f
дизелаш	d i z e ɫ a ʃ
претшколски	p r e t ʃ k ɔ ɫ s k i
ратови	r a t ɔ v i
антагонизам	a n t a ɡ ɔ n i z a m
ереванец	e r e v a n e t͡s
прослави	p r ɔ s ɫ a v i
потпадне	p ɔ t p a d n e
сузбивање	s u z b i v a ɲ e
поплави	p ɔ p ɫ a v i
соба	s ɔ b a
телефони	t e l e f ɔ n i
нераководен	n e ɾ a k ɔ v ɔ d e n
собере	s ɔ b e ɾ e
доручек	d ɔ ɾ u t͡ʃ e k
ладникав	ɫ a d n i k a f
протеран	p r ɔ t e ɾ a n
ционистички	t͡s i j ɔ n i s t i t͡ʃ k i
пожарникар	p ɔ ʒ a r n i k a r
држава	d r̩ ʒ a v a
близнак	b l i z n a k
вжарен	v ʒ a ɾ e n
кримтехника	k r i m t e x n i k a
скинува	s k i n u v a
гостилничарски	ɡ ɔ s t i ɫ n i t͡ʃ a r s k i
слободарски	s ɫ ɔ b ɔ d a r s k i
масовно	m a s ɔ v n ɔ
трубен	t r u b e n
микроскопи	m i k r ɔ s k ɔ p i
љ	ʎ a
несогласност	n e s ɔ ɡ ɫ a s n ɔ s t
неследен	n e s l e d e n
разлошеност	r a z ɫ ɔ ʃ e n ɔ s t
сродство	s r ɔ t s t v ɔ
’рмбање	r̩ m b a ɲ e
неосуетен	n e ɔ s u e t e n
урне	u r n e
вијадукти	v i j a d u k t i
неустрашен	n e u s t r a ʃ e n
нереизбран	n e r e i z b r a n
прегазуван	p r e ɡ a z u v a n
абонент	a b ɔ n e n t
конго	k ɔ ŋ ɡ ɔ
ламја	ɫ a m j a
неделегиран	n e d e l e ɡ i ɾ a n
беспричински	b e s p r i t͡ʃ i n s k i
мустаќ	m u s t a c
фиде	f i d e
болки	b ɔ ɫ k i
чоколадиште	t͡ʃ ɔ k ɔ ɫ a d i ʃ t e
вообичајување	v ɔ ɔ b i t͡ʃ a j u v a ɲ e
насмее	n a s m e e
изместува	i z m e s t u v a
перцептивен	p e r t͡s e p t i v e n
виц	v i t͡s
склучен	s k ɫ u t͡ʃ e n
буричкање	b u r i t͡ʃ k a ɲ e
кривопаланечки	k r i v ɔ p a ɫ a n e t͡ʃ k i
морожданец	m ɔ r ɔ ʒ d a n e t͡s
алергичност	a l e r ɡ i t͡ʃ n ɔ s t
отпорно	ɔ t p ɔ r n ɔ
исчашен	i ʃ t͡ʃ a ʃ e n
потпевнување	p ɔ t p e v n u v a ɲ e
дозатвори	d ɔ z a t v ɔ ɾ i
трепери	t r e p e ɾ i
неразделност	n e r a z d e ɫ n ɔ s t
дупол	d u p ɔ ɫ
заквичува	z a k v i t͡ʃ u v a
пушилница	p u ʃ i ɫ n i t͡s a
отпуштање	ɔ t p u ʃ t a ɲ e
чести	t͡ʃ e s t i
смачкување	s m a t͡ʃ k u v a ɲ e
велешанче	v e l e ʃ a n t͡ʃ e
воздивнува	v ɔ z d i v n u v a
побожно	p ɔ b ɔ ʒ n ɔ
шкаф	ʃ k a f
неклиматизиран	n e k l i m a t i z i ɾ a n
меритократски	m e ɾ i t ɔ k r a t s k i
транзитен	t r a n z i t e n
меми	m e m i
сопственост	s ɔ p s t v e n ɔ s t
крошничка	k r ɔ ʃ n i t͡ʃ k a
раштркува	r a ʃ t r̩ k u v a
раслојување	r a s ɫ ɔ j u v a ɲ e
материјалист	m a t e ɾ i j a l i s t
истретира	i s t r e t i ɾ a
расчепка	r a ʃ t͡ʃ e p k a
навидум	n a v i d u m
пипање	p i p a ɲ e
подразвесели	p ɔ d r a z v e s e l i
изебе	i z e b e
бол	b ɔ ɫ
омажи	ɔ m a ʒ i
кифличка	k i f l i t͡ʃ k a
кумановски	k u m a n ɔ f s k i
наесен	n a e s e n
свилар	s v i ɫ a r
неутешно	n e u t e ʃ n ɔ
пајачиште	p a j a t͡ʃ i ʃ t e
ќут	c u t
бенин	b e n i n
инспекторка	i n s p e k t ɔ r k a
засенчи	z a s e n t͡ʃ i
карта	k a r t a
мирнотија	m i r n ɔ t i j a
поплочи	p ɔ p ɫ ɔ t͡ʃ i
земјопоседник	z e m j ɔ p ɔ s e d n i k
разнежи	r a z n e ʒ i
потенцијално	p ɔ t e n t͡s i j a ɫ n ɔ
сурфериште	s u r f e ɾ i ʃ t e
уназаден	u n a z a d e n
есцајг	e s t͡s a j k
организми	ɔ r ɡ a n i z m i
машкоданка	m a ʃ k ɔ d a ŋ k a
закрила	z a k r i ɫ a
статистичар	s t a t i s t i t͡ʃ a r
етиопјанка	e t i ɔ p j a ŋ k a
неизгладен	n e i z ɡ ɫ a d e n
просторно	p r ɔ s t ɔ r n ɔ
издушуван	i z d u ʃ u v a n
нагрдување	n a ɡ r̩ d u v a ɲ e
камо	k a m ɔ
творец	t v ɔ ɾ e t͡s
изнаправи	i z n a p r a v i
поднесување	p ɔ d n e s u v a ɲ e
авторитетен	a f t ɔ ɾ i t e t e n
катче	k a t t͡ʃ e
курбан	k u r b a n
врста	v r̩ s t a
нелуфтирање	n e ɫ u f t i ɾ a ɲ e
неред	n e ɾ e t
малтежанка	m a ɫ t e ʒ a ŋ k a
оспособува	ɔ s p ɔ s ɔ b u v a
замав	z a m a f
конкретно	k ɔ ŋ k r e t n ɔ
злосторство	z ɫ ɔ s t ɔ r s t v ɔ
онанија	ɔ n a n i j a
