<|ARB|>عميق	ʕ a m iː q
<|ARB|>منبه	m u n a b b i h
<|ARB|>حورس	ħ uː r u s
<|ARB|>محول	m u ħ a w w i l
<|ARB|>بلغم	b a l ɣ a m
<|ARB|>متسامح	m u t a s aː m i ħ
<|ARB|>كتابة	k i t aː b a
<|ARB|>مجري	m a d͡ʒ a r i j j
<|ARB|>سجين	s a d͡ʒ iː n
<|ARB|>تذكار	t a ð k aː r
<|ARB|>خرزة	x u r z a
<|ARB|>ترصد	t a r a sˤ sˤ a d a
<|ARB|>طنجيرة	tˤ a n d͡ʒ iː r a
<|ARB|>محمد	m a ħ m a d
<|ARB|>رونق	r a w n a q
<|ARB|>حيوان	ħ a j a w aː n
<|ARB|>عفيف	ʕ a f iː f
<|ARB|>إقالة	ʔ i q aː l a
<|ARB|>كادس	k aː d i s
<|ARB|>شحاذة	ʃ i ħ aː ð a
<|ARB|>جرذ	d͡ʒ u r a ð
<|ARB|>سار	s aː r r
<|ARB|>أقرع	ʔ a q r a ʕ
<|ARB|>إكليل	ʔ i k l iː l
<|ARB|>ذروة	ð u r w a
<|ARB|>استثمار	i s t i θ m aː r
<|ARB|>حلتيث	ħ i l t iː θ
<|ARB|>خلاعي	x a l aː ʕ i j j
<|ARB|>تعليق	t a ʕ l iː q
<|ARB|>مرادف	m u r aː d i f
<|ARB|>بلغاري	b u l ɣ aː r i j j
<|ARB|>أرسطوطاليس	ʔ a r i s tˤ uː tˤ aː l iː s
<|ARB|>قبج	q a b a d͡ʒ
<|ARB|>محن	m i ħ a n
<|ARB|>وطني	w a tˤ a n i j j
<|ARB|>خصوص	x u sˤ uː sˤ
<|ARB|>مثنان	m a θ n aː n
<|ARB|>تقدم	t a q a d d a m a
<|ARB|>لوياثان	l a w i j aː θ aː n
<|ARB|>أصطرك	ʔ a sˤ tˤ a r a k
<|ARB|>نفقة	n a f a q a
<|ARB|>مكسور	m a k s uː r
<|ARB|>إناء	ʔ i n aː ʔ
<|ARB|>عرنسية	ʕ a r a n s i j j a
<|ARB|>تباطأ	t a b aː tˤ a ʔ a
<|ARB|>ماعون	m aː ʕ uː n
<|ARB|>مذيع	m u ð iː ʕ
<|ARB|>قراءة	q i r aː ʔ a
<|ARB|>حسناء	ħ a s n aː ʔ
<|ARB|>شاهلوج	ʃ aː h a l uː d͡ʒ
<|ARB|>وسع	w a s i ʕ a
<|ARB|>موسكو	m uː s k uː
<|ARB|>لكمة	l a k m a
<|ARB|>عدمية	ʕ a d a m i j j a
<|ARB|>جنسية	d͡ʒ i n s i j j a
<|ARB|>كعك	k a ʕ k
<|ARB|>عظم	ʕ a ðˤ m
<|ARB|>أخدر	ʔ a x d a r
<|ARB|>أمان	ʔ a m aː n
<|ARB|>عناب	ʕ u n n aː b
<|ARB|>لاسلطوي	l aː s u l tˤ a w i j j
<|ARB|>برشيد	b a r ʃ iː d
<|ARB|>إشبينة	ʔ i ʃ b iː n a
<|ARB|>اليسع	a l j a s a ʕ
<|ARB|>ساء	s aː ʔ a
<|ARB|>كانون	k aː n uː n
<|ARB|>عمى	ʕ a m m aː
<|ARB|>نادل	n aː d i l
<|ARB|>اختل	i x t a l l a
<|ARB|>عاصف	ʕ aː sˤ i f
<|ARB|>وقود	w a q uː d
<|ARB|>عنيف	ʕ a n iː f
<|ARB|>زعتر	z a ʕ t a r
<|ARB|>مروحة	m i r w a ħ a
<|ARB|>سرخس	s a r x a s
<|ARB|>مظهر	m a ðˤ h a r
<|ARB|>نبذة	n u b ð a
<|ARB|>مقدونس	m a q d uː n i s
<|ARB|>إهليلج	ʔ i h l iː l a d͡ʒ
<|ARB|>حوب	ħ uː b
<|ARB|>جاذبية	d͡ʒ aː ð i b i j j a
<|ARB|>مكتب	m a k t a b
<|ARB|>سلح	s a l a ħ a
<|ARB|>أيهقان	ʔ a j h a q aː n
<|ARB|>كويكب	k u w a j k i b
<|ARB|>شبح	ʃ a b a ħ
<|ARB|>برقوق	b a r q uː q
<|ARB|>داعش	d aː ʕ i ʃ
<|ARB|>وراط	w i r aː tˤ
<|ARB|>غالبية	ɣ aː l i b i j j a
<|ARB|>هجوم	h u d͡ʒ uː m
<|ARB|>فسيفساء	f u s a j f i s aː ʔ
<|ARB|>نخاع	n u x aː ʕ
<|ARB|>جزدان	d͡ʒ i z d aː n
<|ARB|>أذاع	ʔ a ð aː ʕ a
<|ARB|>استيقظ	i s t a j q a ðˤ a
<|ARB|>عربيزي	ʕ a r a b iː z i j j
<|ARB|>إسكتلندي	ʔ i s k u t l a n d i j j
<|ARB|>زوم	z uː m
<|ARB|>ذئبة	ð i ʔ b a
<|ARB|>طعام	tˤ a ʕ aː m
<|ARB|>فاسد	f aː s i d
<|ARB|>الصربية	a sˤ sˤ i r b i j j a
<|ARB|>لكنة	l u k n a
<|ARB|>ذرة	ð a r r a
<|ARB|>عباءة	ʕ a b aː ʔ a
<|ARB|>مقاص	m a q aː sˤ sˤ
<|ARB|>تعطى	t a ʕ a tˤ tˤ aː
<|ARB|>قطيفة	q a tˤ iː f a
<|ARB|>رخخة	r i x a x a
<|ARB|>أصبح	ʔ a sˤ b a ħ
<|ARB|>تصادم	t a sˤ aː d a m a
<|ARB|>قندهار	q u n d u h aː r
<|ARB|>أموي	ʔ u m a w i j j
<|ARB|>أعرن	ʔ a ʕ r a n a
<|ARB|>الآن	a l ʔ aː n a
<|ARB|>رطانة	r a tˤ aː n a
<|ARB|>هدس	h a d a s
<|ARB|>الحبشة	a l ħ a b a ʃ a
<|ARB|>أتاح	ʔ a t aː ħ a
<|ARB|>صنارة	sˤ i n aː r a
<|ARB|>صلابة	sˤ a l aː b a
<|ARB|>كشتبان	k u ʃ t u b aː n
<|ARB|>تدريج	t a d r iː d͡ʒ
<|ARB|>أولياء	ʔ a w l i j aː ʔ
<|ARB|>مناعة	m a n aː ʕ a
<|ARB|>تجربة	t a d͡ʒ r i b a
<|ARB|>مسافة	m a s aː f a
<|ARB|>حنيف	ħ a n iː f
<|ARB|>أعتاب	ʔ a ʕ t aː b
<|ARB|>أرز	ʔ a r a z z a
<|ARB|>بأس	b a ʔ s
