ŋkəl	ə ŋ k ə l
ŋkur	ə ŋ k ʊ ɾ
ŋkurit	ə ŋ k ʊ ɾ ɪ t̪
ŋɡuliː	ə ŋ ɡ ʊ l iː
ɲd͡ʒaːm	ə ɲ d͡ʒ ɑː m
ndər	ə n d̪ ə ɾ
mbər	ə m b ə ɾ
nʃə	ə n ʃ
nʃəkaːlik	ə n ʃ k ɑː l ɪ k
akaːdmik	ə k ɑː d̪ m ɪ k
akaːdmiː	ə k ɑː d̪ m iː
akelaː	ə k eː l ɑː
aksər	ə k s ə ɾ
akʰaːɽaː	ə kʰ ɑː ɽ ɑː
akʰil	ə kʰ ɪ l
aɡər	ə ɡ ə ɾ
aɡuaː	ə ɡ ʊ ɑː
ad͡ʒaːn	ə d͡ʒ ɑː n
ad͡ʒuːbaː	ə d͡ʒ uː b ɑː
atjaːt͡ʃaːriː	ə t̪ j ɑː t͡ʃ ɑː ɾ iː
adaːkaːr	ə d̪ ɑː k ɑː ɾ
ad̤iktəm	ə d̪ʱ ɪ k t̪ ə m
ad̤iːn	ə d̪ʱ iː n
ad̤iːntaː	ə d̪ʱ iː n t̪ ɑː
andekʰaː	ə n d̪ eː kʰ ɑː
anpəɽ̥ə	ə n p ə ɽʱ
anaːd͡ʒ	ə n ɑː d͡ʒ
anidraː	ə n ɪ d̪ ɾ ɑː
anijəntrit	ə n iː j ə n t̪ ɾ ɪ t̪
anupaːt	ə n ʊ p ɑː t̪
anujaːjiː	ə n ʊ j ɑː j iː
anjaːj	ə n j ɑː j
apraːd̤iː	ə p ɾ ɑː d̪ʱ iː
apekʂaːkr̩t	ə p eː k ʃ ɑː k ɾ ɪ t̪
aprətjəkʂə	ə p ɾ ə t̪ j ə k ʃ
aprətjaːʃit	ə p ɾ ə t̪ j ɑː ʃ ɪ t̪
apræːl	ə p ɾ ɛː l
ab̤inetriː	ə bʱ ɪ n eː t̪ ɾ iː
ab̤ilaːʂaː	ə bʱ ɪ l ɑː ʃ ɑː
amerikaː	ə m eː ɾ ɪ k ɑː
ajskə	ə j ə s k
arbində	ə ɾ b ɪ n d̪
arziː	ə ɾ z iː
ard͡ʒenʈiːnaː	ə ɾ d͡ʒ eː n ʈ iː n ɑː
artʰəpuːrɳə	ə ɾ t̪ʰ ə p uː ɾ n
almaːriː	ə l m ɑː ɾ iː
alpəsəŋkʰjək	ə l p s ə ŋ kʰ j ə k
allaːɦ	ə l l ɑːʱ
avd̤aːrɳaː	ə ʋ d̪ʱ ɑː ɾ n ɑː
avlokən	ə ʋ l oː k ə n
asəŋɡət	ə s ə ŋ ɡ ə t̪
asəntuʂʈə	ə s ə n t̪ ʊ ʃ ʈ
asənvæːd̤aːnik	ə s ə m ʋ ɛː d̪ʱ ɑː n ɪ k
asəm	ə s ə m
asaːd̤aːrəɳ	ə s ɑː d̪ʱ ɑː ɾ ə n
astitvə	ə s t̪ ɪ t̪ ʋ
aspətaːl	ə s p ə t̪ ɑː l
aɦmijət	ɛːʱ m iː j ə t̪
ãːɡən	ɑ̃ː ɡ ə n
ãːt͡ʃə	ɑ̃ː t͡ʃ
aːislæːnɖə	ɑː ɪ s l ɛː n ɖ
aːkaːʃ	ɑː k ɑː ʃ
aːkroʃ	ɑː k ɾ oː ʃ
aːɡe	ɑː ɡ eː
aːd͡ʒ	ɑː d͡ʒ
aːɖvaːɳiː	ɑː ɖ ʋ ɑː n iː
aːtiʃbaːziː	ɑː t̪ ɪ ʃ b ɑː z iː
aːtmənirb̤ər	ɑː t̪ m ə n ɪ ɾ bʱ ə ɾ
aːd̤aːr	ɑː d̪ʱ ɑː ɾ
aːd̤aːrb̤uːt	ɑː d̪ʱ ɑː ɾ bʱ uː t̪
aːnaː	ɑː n ɑː
aːpkaː	ɑː p k ɑː
aːpttid͡ʒnək	ɑː p ə t̪ t̪ iː d͡ʒ ə n ə k
aːpbiːtiː	ɑː p b iː t̪ iː
aːməntrit	ɑː m ə n t̪ ɾ ɪ t̪
aːjət	ɑː j ə t̪
aːjrəlæːnɖə	ɑː j ə ɾ l ɛː n ɖ
aːjaː	ɑː j ɑː
aːrəmb̤ik	ɑː ɾ ə m bʱ ɪ k
aːlekʰ	ɑː l eː kʰ
aːʃəj	ɑː ʃ ə j
aːʃijaːnaː	ɑː ʃ iː j ɑː n ɑː
aːsaːmiː	ɑː s ɑː m iː
aːsaːr	ɑː s ɑː ɾ
aːstʰaː	ɑː s t̪ʰ ɑː
inɖsʈriː	ɪ n ɖ ə s ʈ ɾ iː
impʰaːl	ɪ m pʰ ɑː l
izɦaːr	ɪ z ɦ ɑː ɾ
itər	ɪ t̪ ə ɾ
itrə	ɪ t̪ ɾ
inko	ɪ n k oː
inɦen	ɪ n ɦ ẽ
ibaːdət	ɪ b ɑː d̪ ə t̪
imaːrət	ɪ m ɑː ɾ ə t̪
imteɦaːn	ɪ m t̪ eː ɦ ɑː n
ilaːɦiː	ɪ l ɑː ɦ iː
islaːmaːbaːd	ɪ s l ɑː m ɑː b ɑː d̪
uktə	ʊ k t̪
ut͡ʃit	ʊ t͡ʃ ɪ t̪
ut͡ʃt͡ʃaːrəɳ	ʊ t͡ʃ t͡ʃ ɑː ɾ ə n
ud͡ʒaːɡər	ʊ d͡ʒ ɑː ɡ ə ɾ
uɽiːsaː	ʊ ɽ iː s ɑː
uɖɖəjən	ʊ ɖ ɖ ə j ə n
utkr̩ʂʈə	ʊ t̪ k ɾ ɪ ʃ ʈ
uttərdaːjitvə	ʊ t̪ t̪ ə ɾ d̪ ɑː j ɪ t̪ ʋ
uttərdaːjiː	ʊ t̪ t̪ ə ɾ d̪ ɑː j iː
utted͡ʒit	ʊ t̪ː e d ʒ ɪ t̪
utpətti	ʊ t̪ p ə t̪ t̪ iː
utsaːɦ	ʊ t̪ s ɑːʱ
udaːs	ʊ d̪ ɑː s
unko	ʊ n k oː
unmaːd	ʊ n̪ m aː d̪
upjoɡ	ʊ p j oː ɡ
uld͡ʒ̤ənaː	ʊ l ə d͡ʒʱ n ɑː
ulluː	ʊ l l uː
ullekʰ	ʊ l l eː kʰ
uskaː	ʊ s k ɑː
usse	ʊ s s eː
usuːl	ʊ s uː l
ustaːd	ʊ s t̪ ɑː d̪
r̩ɡved	ɾ ɪ ɡ ʋ eː d̪
r̩ɳdaːtaː	ɾ ɪ n d̪ ɑː t̪ ɑː
ek	eː k
ekd͡ʒuʈtaː	eː k d͡ʒ ʊ ʈ t̪ ɑː
ektərfaː	eː k t̪ ə ɾ f ɑː
ekəl	eː k ə l
elaːn	eː l ɑː n
eʃijaː	eː ʃ iː j ɑː
esosieʃən	eː s oː s ɪ eː ʃ ə n
eɦsaːn	eːʱ s ɑː n
æːʃ	ɛː ʃ
æːʃvərjə	ɛː ʃ ʋ ə ɾ j
æːse	ɛː s eː
ऑkəlæːnɖə	ɔː k l ɛː n ɖ
ऑsʈrelijaː	ɔː s ʈ ɾ eː l iː j ɑː
kənd̤aː	k ə n d̪ʱ ɑː
kəʈʰuaː	k ə ʈʰ ʊ ɑː
kəɽaː	k ə ɽ ɑː
kəɽ̥aːiː	k ə ɽʱ ɑː iː
kətʰit	k ə t̪ʰ ɪ t̪
kəpɽaː	k ə p ɽ ɑː
kəbuːtər	k ə b uː t̪ ə ɾ
kəmrʃijəl	k ə m ə ɾ ʃ iː j ə l
kəmeʈiː	k ə m eː ʈ iː
kərɳiː	k ə ɾ n iː
kəraːraː	k ə ɾ ɑː ɾ ɑː
kərmə	k ə ɾ m
kəɦlaːnaː	k ɛːʱ l ɑː n ɑː
kəɦãː	k ə ɦ ɑ̃ː
kəɦaːniː	k ə ɦ ɑː n iː
